,,Passing,,,,,,Rushing,,,,Receiving,,,,Fumbles,
Player,Bye,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
Drew Brees,424.00,670,422,"5,177",43,19,0,15,5,1,0,0,0,0,0,1,0
Aaron Rodgers,411.00,552,371,"4,295",39,8,1,54,259,2,0,1,-1,0,0,4,0
Tom Brady,397.00,637,401,"4,827",34,8,0,23,32,4,0,0,0,0,0,0,0
Peyton Manning,380.00,583,400,"4,659",37,11,1,23,6,0,0,0,0,0,0,2,0
Matt Ryan,357.00,615,422,"4,719",32,14,0,34,141,1,0,0,0,0,0,2,0
Cam Newton,350.00,485,280,"3,869",19,12,0,127,741,8,0,0,6,0,0,3,0
Robert Griffin III,345.00,393,258,"3,200",20,5,0,120,815,7,0,0,0,0,0,2,0
Tony Romo,330.00,648,425,"4,903",28,19,1,30,49,1,1,1,-1,0,0,3,0
Andrew Luck,315.00,627,339,"4,374",23,18,0,62,255,5,0,0,0,0,0,5,0
Russell Wilson,314.00,393,252,"3,118",26,10,0,94,489,4,0,0,0,0,0,3,0
Matthew Stafford,307.00,727,435,"4,967",20,17,1,35,126,4,0,1,3,0,0,4,0
Adrian Peterson,299.00,0,0,0,0,0,0,348,"2,097",12,1,40,217,1,0,2,0
Andy Dalton,297.00,528,329,"3,669",27,16,0,47,120,4,0,0,0,0,0,4,0
Josh Freeman,289.00,558,306,"4,065",27,17,1,39,139,0,0,0,0,0,0,2,0
Eli Manning,277.00,536,321,"3,948",26,15,0,20,30,0,0,0,0,0,0,1,0
Joe Flacco,275.00,531,317,"3,817",22,10,1,32,22,3,0,0,0,0,0,4,0
Ben Roethlisberger,269.00,449,284,"3,265",26,8,1,26,92,0,0,0,0,0,0,3,0
Sam Bradford,263.00,551,328,"3,702",21,13,4,37,127,1,0,0,0,0,0,1,0
Carson Palmer,263.00,565,345,"4,018",22,14,2,18,36,1,0,0,0,0,0,5,0
Matt Schaub,262.00,544,350,"4,008",22,12,0,21,-9,0,0,1,-6,0,0,0,0
Philip Rivers,259.00,527,338,"3,606",26,15,0,27,40,0,0,0,0,0,0,7,0
Ryan Fitzpatrick,255.00,505,306,"3,400",24,16,0,48,197,1,0,0,0,0,0,6,0
Arian Foster,250.00,0,0,0,0,0,0,351,"1,424",15,0,40,217,2,0,2,0
Doug Martin,249.00,0,0,0,0,0,0,319,"1,454",11,0,49,472,1,0,1,0
Marshawn Lynch,236.00,0,0,0,0,0,0,315,"1,590",11,0,23,196,1,0,2,0
Alfred Morris,233.00,0,0,0,0,0,0,335,"1,613",13,0,11,77,0,0,3,0
Christian Ponder,221.00,483,300,"2,935",18,12,1,60,253,2,0,1,-15,0,0,5,0
Calvin Johnson,217.00,0,0,0,0,0,0,0,0,0,0,122,"1,964",5,0,3,0
Jay Cutler,214.00,434,255,"3,033",19,14,0,41,233,0,0,0,0,0,0,4,0
Brandon Marshall,210.00,0,0,0,0,0,0,1,-2,0,0,118,"1,508",11,0,0,0
Ray Rice,207.00,0,0,0,0,0,0,257,"1,143",9,0,61,478,1,0,0,0
Dez Bryant,203.00,0,0,0,0,0,0,2,-5,0,0,92,"1,382",12,1,2,0
C.J. Spiller,202.00,0,0,0,0,0,0,207,"1,244",6,0,43,459,2,0,3,0
Ryan Tannehill,199.00,484,282,"3,294",12,13,2,49,211,2,0,0,0,0,0,4,0
Jamaal Charles,195.00,0,0,0,0,0,0,285,"1,509",5,0,35,236,1,0,3,0
A.J. Green,195.00,0,0,0,0,0,0,4,38,0,0,97,"1,350",11,0,1,0
Demaryius Thomas,194.00,0,0,0,0,0,0,0,0,0,0,94,"1,434",10,0,3,0
Stevan Ridley,193.00,0,0,0,0,0,0,290,"1,263",12,0,6,51,0,0,2,0
Frank Gore,191.00,0,0,0,0,0,0,258,"1,214",8,0,28,234,1,0,1,1
Trent Richardson,188.00,0,0,0,0,0,0,267,950,11,0,51,367,1,0,0,0
Colin Kaepernick,186.00,218,136,"1,814",10,3,0,63,415,5,0,0,0,0,0,2,0
