
Player,Bye,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
Derrick Henry,6,260.00,2,2,4,1,0,0,349,"1,538",13,0,33,398,0,0,3,0
Josh Jacobs,6,259.00,0,0,0,0,0,0,340,"1,653",12,0,53,400,0,0,1,0
Christian McCaffrey,9,256.00,1,1,34,1,0,0,244,"1,139",8,0,85,741,5,0,0,0
Austin Ekeler,8,251.00,0,0,0,0,0,0,204,915,13,0,107,722,5,0,3,0
Nick Chubb,9,242.00,0,0,0,0,0,0,302,"1,525",12,1,27,239,1,0,1,0
Saquon Barkley,9,214.00,0,0,0,0,0,0,295,"1,312",10,0,57,338,0,1,0,0
Jamaal Williams,6,205.00,0,0,0,0,0,0,262,"1,066",17,1,12,73,0,0,2,0
Tony Pollard,9,198.00,0,0,0,0,0,0,193,"1,007",9,0,39,371,3,0,0,0
Miles Sanders,7,189.00,0,0,0,0,0,0,259,"1,269",11,0,20,78,0,0,2,0
Dalvin Cook,7,188.00,0,0,0,0,0,0,264,"1,173",8,0,39,295,2,0,4,0
Aaron Jones,14,178.00,0,0,0,0,0,0,213,"1,121",2,0,59,395,5,1,3,0
Najee Harris,9,172.00,1,1,4,0,0,0,272,"1,038",7,0,41,229,3,0,2,0
Joe Mixon,10,169.00,0,0,0,0,0,0,210,814,7,0,60,441,2,0,0,0
Rhamondre Stevenson,10,167.00,0,0,0,0,0,0,210,"1,040",5,0,69,421,1,0,1,0
Kenneth Walker,11,164.00,0,0,0,0,0,0,228,"1,050",9,0,27,165,0,0,0,0
Ezekiel Elliott,9,159.00,0,0,0,0,0,0,231,876,12,0,17,92,0,0,0,0
Travis Etienne,11,159.00,0,0,0,0,0,0,220,"1,125",5,1,35,316,0,0,3,0
Alvin Kamara,14,145.00,0,0,0,0,0,0,223,897,2,0,57,490,2,0,4,0
James Conner,13,141.00,0,0,0,0,0,0,183,782,7,0,46,300,1,0,1,0
Leonard Fournette,11,139.00,1,0,0,0,1,0,189,668,3,0,73,523,3,0,0,0
Tyler Allgeier,14,136.00,0,0,0,0,0,0,210,"1,035",3,1,16,139,1,0,0,0
David Montgomery,14,134.00,0,0,0,0,0,0,201,801,5,0,34,316,1,0,2,0
D'Andre Swift,6,132.00,0,0,0,0,0,0,99,542,5,1,48,389,3,0,0,0
Jerick McKinnon,8,131.00,0,0,0,0,0,0,72,291,1,0,56,512,9,1,1,0
AJ Dillon,14,129.00,0,0,0,0,0,0,186,770,7,0,28,206,0,0,0,0
Jeffery Wilson,11,128.00,0,0,0,0,0,0,176,860,5,0,22,185,1,0,2,0
Raheem Mostert,11,127.00,0,0,0,0,0,0,181,891,3,0,31,202,2,0,1,0
Devin Singletary,7,127.00,0,0,0,0,0,0,177,819,5,0,38,280,1,0,3,0
Dameon Pierce,6,125.00,0,0,0,0,0,0,220,939,4,0,30,165,1,0,2,0
Cam Akers,7,123.00,0,0,0,0,0,0,188,786,7,0,13,117,0,0,2,0
Cordarrelle Patterson,14,120.00,0,0,0,0,0,0,144,695,8,0,21,122,0,0,1,0
D'Onta Foreman,13,117.00,0,0,0,0,0,0,203,914,5,1,5,26,0,0,0,0
Latavius Murray,9,117.00,0,0,0,0,0,0,171,760,6,1,27,132,0,0,0,0
Jonathan Taylor,14,114.00,0,0,0,0,0,0,192,861,4,0,28,143,0,0,3,0
Isiah Pacheco,8,112.00,0,0,0,0,0,0,170,830,5,0,13,130,0,0,2,0
Antonio Gibson,14,106.00,0,0,0,0,0,0,149,546,3,0,46,353,2,0,0,0
Khalil Herbert,14,102.00,0,0,0,0,0,0,129,731,4,0,9,57,1,0,0,0
Brian Robinson,14,97.00,0,0,0,0,0,0,205,797,2,0,9,60,1,0,0,0
Breece Hall,10,92.00,0,0,0,0,0,0,80,463,4,0,19,218,1,0,1,0
