
Team,Pts*,Sack,Int,Saf,FR,Blk,TD,PA,PassYds/G,RushYds/G,TotYds/G
New England Patriots,10,257.00,47.0,25,1,11,4,7,225,180.4,95.5,275.9
Pittsburgh Steelers,7,211.00,54.0,20,0,18,1,4,303,194.6,109.6,304.1
Baltimore Ravens,8,197.00,37.0,13,1,12,2,6,282,207.2,93.4,300.6
San Francisco 49ers,4,193.00,48.0,12,0,15,0,5,310,169.2,112.6,281.8
Los Angeles Rams,9,183.00,50.0,13,1,11,0,4,364,226.6,113.1,339.6
Kansas City Chiefs,12,180.00,45.0,16,0,7,2,4,308,221.4,128.2,349.6
Minnesota Vikings,12,179.00,48.0,17,1,14,1,2,303,233.6,108.0,341.6
New Orleans Saints,9,176.00,51.0,13,1,10,1,4,341,241.8,91.3,333.1
Tennessee Titans,11,172.00,43.0,14,1,9,4,4,331,255.0,104.5,359.5
Buffalo Bills,6,171.00,44.0,14,1,9,2,1,259,195.2,103.1,298.2
New York Jets,4,160.00,35.0,12,2,9,1,6,359,236.2,86.9,323.1
Tampa Bay Buccaneers,7,158.00,47.0,12,0,16,0,6,449,270.1,73.8,343.9
Indianapolis Colts,6,157.00,41.0,15,2,8,0,3,373,248.9,97.9,346.8
Philadelphia Eagles,10,154.00,43.0,11,0,9,2,3,354,241.6,90.1,331.7
Green Bay Packers,11,149.00,41.0,17,0,8,1,0,313,232.6,120.1,352.6
Seattle Seahawks,11,143.00,28.0,16,0,16,3,3,398,263.9,117.7,381.6
Chicago Bears,6,141.00,32.0,10,1,9,0,2,298,222.1,102.0,324.1
Jacksonville Jaguars,10,141.00,47.0,10,0,9,2,2,397,236.1,139.3,375.4
Denver Broncos,10,133.00,40.0,10,0,7,1,1,316,225.6,111.4,337.0
Carolina Panthers,7,131.00,53.0,14,2,7,2,1,470,231.0,143.5,374.5
Dallas Cowboys,8,131.00,39.0,7,0,10,0,1,321,223.5,103.5,327.0
Houston Texans,10,128.00,31.0,12,0,10,2,2,385,267.2,121.1,388.3
Atlanta Falcons,9,126.00,28.0,12,0,8,1,3,399,244.9,110.9,355.8
Cleveland Browns,7,125.00,38.0,14,0,6,2,1,393,216.9,144.7,361.6
Washington Redskins,10,124.00,46.0,13,0,9,1,1,435,238.9,146.2,385.1
New York Giants,11,112.00,36.0,10,1,6,2,3,451,264.1,113.2,377.3
Los Angeles Chargers,12,108.00,30.0,11,0,3,0,1,345,200.2,112.8,313.1
Detroit Lions,5,108.00,28.0,7,0,11,0,3,423,284.4,115.9,400.4
Oakland Raiders,6,102.00,32.0,9,0,6,0,2,419,256.7,98.1,354.8
Cincinnati Bengals,9,98.00,31.0,11,1,5,0,1,420,244.8,148.9,393.7
Arizona Cardinals,12,88.00,40.0,7,0,10,0,0,442,281.9,120.1,402.0
Miami Dolphins,5,87.00,23.0,13,1,3,0,2,494,262.4,135.4,397.8
