,,Passing,,,,,,Rushing,,,,Receiving,,,,Fumbles,
Player,Bye,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
Jason Witten,4,147.00,0,0,0,0,0,0,0,0,0,0,94,"1,002",9,1,1,0
Larry Fitzgerald,6,146.00,0,0,0,0,0,0,0,0,0,0,90,"1,137",6,1,0,0
Fred Jackson,6,144.00,0,0,0,0,0,0,222,927,5,0,31,215,2,0,2,0
Mario Manningham,8,143.00,0,0,0,0,0,0,1,2,0,0,60,944,9,0,1,0
Marques Colston,10,138.00,0,0,0,0,0,0,1,1,0,0,84,"1,023",7,0,0,0
Santana Moss,9,138.00,0,0,0,0,0,0,5,-6,0,0,93,"1,115",6,0,2,0
Kerry Collins,9,136.00,278,160,"1,823",14,8,1,10,1,0,0,0,0,0,0,3,0
Antonio Gates,10,134.00,0,0,0,0,0,0,0,0,0,0,50,782,10,0,0,0
Brandon Jacobs,8,131.00,0,0,0,0,0,0,147,823,9,0,7,59,0,0,2,0
LeGarrette Blount,9,129.00,0,0,0,0,0,0,201,"1,007",6,0,5,14,0,0,3,0
Vernon Davis,9,129.00,0,0,0,0,0,0,0,0,0,0,56,914,7,1,0,0
Jahvid Best,7,127.00,1,0,0,0,0,0,171,555,4,0,58,487,2,0,1,0
Kenny Britt,9,127.00,0,0,0,0,0,0,0,0,0,0,42,775,9,1,1,0
Percy Harvin,4,127.00,0,0,0,0,0,0,18,107,1,0,71,868,5,1,1,0
Thomas Jones,4,127.00,0,0,0,0,0,0,245,896,6,0,14,122,0,0,1,0
Braylon Edwards,7,125.00,0,0,0,0,0,0,1,4,0,0,53,904,7,1,1,0
Michael Bush,10,124.00,0,0,0,0,0,0,158,655,8,0,18,194,0,0,0,0
Felix Jones,4,124.00,0,0,0,0,0,0,185,800,1,0,48,450,1,0,1,0
Marcedes Lewis,9,121.00,0,0,0,0,0,0,0,0,0,0,58,700,10,0,2,0
Wes Welker,5,121.00,0,0,0,0,0,0,0,0,0,0,86,848,7,0,0,0
Johnny Knox,8,118.00,0,0,0,0,0,0,1,2,0,0,51,960,5,0,1,0
Danny Woodhead,5,118.00,0,0,0,0,0,0,97,547,5,0,34,379,1,0,1,0
Anquan Boldin,8,117.00,1,1,-6,0,0,0,2,2,0,0,64,837,7,0,1,0
Brett Favre,4,117.00,358,217,"2,509",11,19,0,17,8,0,0,0,0,0,0,5,0
Derrick Mason,8,117.00,0,0,0,0,0,0,0,0,0,0,61,802,7,0,0,0
Tony Romo,4,117.00,213,148,"1,605",11,7,0,6,38,0,0,0,11,0,0,0,0
Lance Moore,10,115.00,0,0,0,0,0,0,0,0,0,0,66,763,8,0,1,0
Ryan Torain,9,115.00,0,0,0,0,0,0,164,742,4,0,18,125,2,0,1,0
Ronnie Brown,5,114.00,2,0,0,0,0,0,200,734,5,0,33,242,0,0,2,0
Deion Branch,5,113.00,0,0,0,0,0,0,0,0,0,0,61,818,6,0,1,0
Brandon Marshall,5,113.00,1,0,0,0,0,0,2,3,0,0,86,"1,014",3,0,1,0
Brandon Jackson,10,112.00,0,0,0,0,0,0,190,703,3,0,43,342,1,0,0,0
Ryan Mathews,10,110.00,0,0,0,0,0,0,158,678,7,0,22,145,0,0,3,0
Pierre Garcon,7,109.00,0,0,0,0,0,0,2,6,0,0,67,784,6,0,0,0
Austin Collie,7,108.00,0,0,0,0,0,0,0,0,0,0,58,649,8,0,1,0
Rob Gronkowski,5,108.00,0,0,0,0,0,0,0,0,0,0,42,546,10,0,1,0
