
Player,Pts*,XPA,XPM,FGA,FGM,50+
Daniel Carlson,8,162.00,33,30,43,40,6
Nick Folk,14,160.00,47,42,39,36,5
Matt Gay,11,152.00,49,48,34,32,4
Chris Boswell,7,151.00,29,27,40,36,8
Matt Prater,12,151.00,49,47,37,30,7
Greg Joseph,7,149.00,40,36,38,33,7
Justin Tucker,8,149.00,32,32,37,35,6
Evan McPherson,10,148.00,48,46,33,28,9
Jake Elliott,14,140.00,44,44,33,30,3
Tyler Bass,7,139.00,51,51,32,28,2
Harrison Butker,12,136.00,49,47,28,25,7
Dustin Hopkins,7,134.00,44,40,34,30,2
Greg Zuerlein,7,133.00,48,42,35,29,2
Ryan Succop,9,131.00,59,56,30,25,0
Mason Crosby,13,130.00,51,49,34,25,3
Randy Bullock,13,122.00,45,42,31,26,1
Brandon McManus,11,121.00,34,33,31,26,5
Younghoe Koo,6,119.00,30,30,29,27,4
Graham Gano,10,118.00,17,17,33,29,7
Jason Sanders,14,107.00,35,34,31,23,2
Robbie Gould,6,105.00,40,39,23,20,3
Cairo Santos,10,105.00,28,27,30,26,0
Jason Myers,9,101.00,47,44,23,17,3
Joey Slye,9,95.00,22,18,25,23,4
Michael Badgley,14,94.00,41,40,22,18,0
Chase McLaughlin,13,89.00,37,36,21,15,4
Zane Gonzalez,13,88.00,23,22,22,20,3
Matthew Wright,7,84.00,15,13,24,21,4
Ka'imi Fairbairn,10,66.00,16,13,19,15,4
Brett Maher,6,58.00,12,10,18,16,0
Riley Patterson,9,55.00,16,16,14,13,0
Matt Ammendola,6,53.00,15,14,19,13,0
Brian Johnson,9,41.00,13,9,10,10,1
Rodrigo Blankenship,14,40.00,8,7,14,11,0
Austin Seibert,9,37.00,5,5,12,10,1
Eddy Pineiro,6,35.00,10,9,8,8,1
Tristan Vizcaino,7,28.00,15,10,7,6,0
Lirim Hajrullahu,13,20.00,8,8,5,4,0
Aldrick Rosas,9,20.00,14,14,5,2,0
Ryan Santoso,11,18.00,8,6,5,4,0
Elliott Fry,10,16.00,5,4,5,4,0
Dominik Eberle,13,13.00,5,5,3,2,1
Chris Blewitt,13,10.00,2,2,5,2,1
Josh Lambo,7,5.00,7,5,3,0,0
Chris Naggar,13,4.00,2,1,1,1,0
Cody Parkey,6,3.00,5,3,0,0,0
Alex Kessman,13,0.00,2,0,0,0,0
