,,Passing,,,,,,Rushing,,,,Receiving,,,,Fumbles,
Player,Bye,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
Aaron Rodgers,8,475.00,502,343,"4,643",45,6,0,60,257,3,0,0,0,0,0,0,0
Drew Brees,11,473.00,657,468,"5,476",46,14,2,21,86,1,0,0,0,0,0,1,0
Tom Brady,7,432.00,611,401,"5,235",39,12,0,43,109,3,0,0,0,0,0,2,0
Matthew Stafford,9,416.00,663,421,"5,038",41,16,2,22,78,0,0,0,0,0,0,1,0
Cam Newton,9,396.00,517,310,"4,051",21,17,2,126,706,14,0,1,27,0,0,2,0
Eli Manning,7,335.00,589,359,"4,933",29,16,0,35,15,1,0,0,0,0,0,4,0
Tony Romo,5,330.00,522,346,"4,184",31,10,0,22,46,1,0,0,0,0,0,3,0
Matt Ryan,8,321.00,566,347,"4,177",29,12,0,37,84,2,0,0,0,0,0,3,0
Philip Rivers,6,305.00,582,366,"4,624",27,20,1,26,36,1,0,0,0,0,0,5,0
Ray Rice,5,287.00,1,1,1,1,0,0,291,"1,364",12,0,76,704,3,0,2,0
Mark Sanchez,8,287.00,543,308,"3,474",26,18,0,37,103,6,0,0,0,0,0,8,0
LeSean McCoy,7,271.00,0,0,0,0,0,0,273,"1,309",17,0,48,315,3,0,1,0
Michael Vick,7,262.00,423,253,"3,303",18,14,0,76,589,1,0,0,0,0,0,4,0
Ryan Fitzpatrick,7,257.00,569,353,"3,832",24,23,0,56,215,0,1,0,0,0,0,2,0
Calvin Johnson,9,255.00,0,0,0,0,0,0,1,11,0,0,96,"1,681",16,0,1,0
Ben Roethlisberger,11,253.00,513,324,"4,077",21,14,0,31,70,0,0,0,0,0,0,5,0
Maurice Jones-Drew,9,250.00,0,0,0,0,0,0,343,"1,606",8,0,43,374,3,0,1,0
Joe Flacco,5,241.00,542,312,"3,610",20,12,0,39,88,1,0,1,-8,0,0,6,0
Arian Foster,11,241.00,0,0,0,0,0,0,278,"1,224",10,0,53,617,2,0,3,0
Andy Dalton,7,237.00,516,300,"3,398",20,13,0,37,152,1,0,0,0,0,0,2,0
Alex Smith,7,237.00,445,273,"3,144",17,5,1,52,179,2,0,0,0,0,0,2,0
Rob Gronkowski,7,233.00,0,0,0,0,0,0,1,2,1,0,90,"1,327",17,0,0,0
Josh Freeman,8,227.00,551,346,"3,592",16,22,2,55,238,4,0,0,-4,0,0,5,0
Tim Tebow,6,216.00,271,126,"1,729",12,6,0,122,660,6,2,0,0,0,0,6,0
Matt Hasselbeck,6,215.00,518,319,"3,571",18,14,0,20,52,0,0,0,0,0,0,1,0
Jordy Nelson,8,210.00,0,0,0,0,0,0,0,0,0,0,68,"1,263",15,0,0,0
Wes Welker,7,206.00,0,0,0,0,0,0,4,30,0,0,122,"1,569",9,0,0,0
Marshawn Lynch,6,205.00,2,0,0,0,0,0,285,"1,204",12,0,28,212,1,0,2,0
Michael Turner,8,205.00,0,0,0,0,0,0,301,"1,340",11,0,17,168,0,0,2,0
Victor Cruz,7,199.00,0,0,0,0,0,0,1,3,0,0,82,"1,536",9,0,1,0
Jimmy Graham,11,188.00,0,0,0,0,0,0,0,0,0,0,99,"1,310",11,0,1,0
Matt Moore,5,183.00,347,210,"2,497",16,9,0,32,65,2,0,0,0,0,0,6,0
Matt Schaub,11,182.00,292,178,"2,479",15,6,0,15,9,2,0,0,0,0,0,1,0
Larry Fitzgerald,6,181.00,0,0,0,0,0,0,0,0,0,0,80,"1,411",8,0,0,0
Adrian Peterson,9,181.00,0,0,0,0,0,0,208,970,12,0,18,139,1,0,0,0
Tarvaris Jackson,6,179.00,450,271,"3,091",14,13,0,40,108,1,0,0,0,0,0,5,0
Colt McCoy,5,179.00,463,265,"2,733",14,11,0,61,212,0,0,1,-5,0,0,2,0
Rex Grossman,5,178.00,458,265,"3,151",16,20,0,20,11,1,0,0,0,0,0,5,0
Steve Smith,9,177.00,0,0,0,0,0,0,6,56,0,0,79,"1,394",7,1,2,0
Ryan Mathews,6,175.00,0,0,0,0,0,0,222,"1,091",6,0,50,455,0,0,2,0
Roddy White,8,172.00,0,0,0,0,0,0,0,0,0,0,100,"1,296",8,0,0,0
Michael Bush,8,171.00,0,0,0,0,0,0,256,977,7,0,37,418,1,0,1,0
Steven Jackson,5,171.00,0,0,0,0,0,0,260,"1,145",5,0,42,333,1,0,1,0
Darren Sproles,11,170.00,0,0,0,0,0,0,87,603,2,0,86,710,7,0,0,0
Reggie Bush,5,167.00,0,0,0,0,0,0,216,"1,086",6,0,43,296,1,0,2,0
Frank Gore,7,164.00,0,0,0,0,0,0,282,"1,211",8,0,17,114,0,0,2,0
Fred Jackson,7,164.00,0,0,0,0,0,0,170,934,6,0,39,442,0,0,2,0
Mike Wallace,11,163.00,0,0,0,0,0,0,5,57,0,0,72,"1,193",8,0,1,0
Vincent Jackson,6,162.00,0,0,0,0,0,0,3,51,0,0,60,"1,106",9,0,0,0
Percy Harvin,9,161.00,0,0,0,0,0,0,52,345,2,0,87,967,6,0,2,0
Beanie Wells,6,161.00,0,0,0,0,0,0,245,"1,047",10,0,10,52,0,0,2,0
Jay Cutler,8,159.00,314,182,"2,319",13,7,0,18,55,1,0,0,0,0,0,3,0
Matt Forte,8,159.00,1,0,0,0,0,0,203,997,3,0,52,490,1,0,2,0
Chris Johnson,6,158.00,0,0,0,0,0,0,262,"1,047",4,0,57,418,0,0,1,0
Carson Palmer,8,156.00,328,199,"2,753",13,16,0,16,20,1,0,0,0,0,0,1,0
Marques Colston,11,155.00,0,0,0,0,0,0,0,0,0,0,80,"1,143",8,0,1,0
Hakeem Nicks,7,154.00,0,0,0,0,0,0,0,0,0,0,76,"1,192",7,0,0,0
Brandon Marshall,5,150.00,0,0,0,0,0,0,1,13,0,0,81,"1,214",6,0,1,0
Rashard Mendenhall,11,150.00,0,0,0,0,0,0,228,928,9,0,18,154,0,0,1,0
Shonn Greene,8,148.00,0,0,0,0,0,0,253,"1,054",6,0,30,211,0,0,0,0
Ahmad Bradshaw,7,147.00,0,0,0,0,0,0,171,659,9,1,34,267,2,0,1,0
Willis McGahee,6,147.00,0,0,0,0,0,0,249,"1,199",4,1,12,51,1,0,3,0
Laurent Robinson,5,145.00,0,0,0,0,0,0,0,0,0,0,54,858,11,0,0,0
Nate Washington,6,145.00,0,0,0,0,0,0,2,5,1,0,74,"1,023",7,0,0,0
A.J. Green,7,144.00,0,0,0,0,0,0,5,53,0,0,65,"1,057",7,0,0,0
Greg Jennings,8,143.00,0,0,0,0,0,0,0,0,0,0,67,949,9,0,0,0
Dez Bryant,5,140.00,0,0,0,0,0,0,1,5,0,0,63,928,9,0,1,0
Julio Jones,8,140.00,0,0,0,0,0,0,6,56,0,0,54,959,8,0,1,0
Cedric Benson,7,139.00,0,0,0,0,0,0,273,"1,067",6,0,15,82,0,0,2,0
BenJarvus Green-Ellis,7,138.00,0,0,0,0,0,0,181,667,11,0,9,159,0,0,0,0
Mike Tolbert,6,138.00,0,0,0,0,0,0,121,490,8,0,54,433,2,0,1,0
Dwayne Bowe,6,137.00,0,0,0,0,0,0,1,12,0,0,81,"1,159",5,0,0,0
Christian Ponder,9,136.00,291,158,"1,853",13,13,0,28,219,0,0,0,0,0,0,2,0
Stevie Johnson,7,134.00,0,0,0,0,0,0,0,0,0,0,76,"1,004",7,0,0,0
Jonathan Stewart,9,133.00,0,0,0,0,0,0,142,761,4,0,47,413,1,0,0,0
Blaine Gabbert,9,130.00,413,210,"2,214",12,11,0,48,98,0,0,0,0,0,0,5,0
Aaron Hernandez,7,128.00,0,0,0,0,0,0,5,45,0,0,79,910,7,0,1,0
DeAngelo Williams,9,128.00,0,0,0,0,0,0,155,836,7,0,16,135,0,0,0,0
Pierre Garcon,11,124.00,0,0,0,0,0,0,4,28,0,0,70,947,6,0,2,0
Tony Gonzalez,8,123.00,0,0,0,0,0,0,0,0,0,0,80,875,7,0,0,0
Torrey Smith,5,123.00,0,0,0,0,0,0,4,39,0,0,50,841,7,0,0,0
Brandon Lloyd,5,120.00,1,0,0,0,0,0,0,0,0,0,70,966,5,0,0,0
Pierre Thomas,11,120.00,0,0,0,0,0,0,110,562,5,0,50,425,1,0,1,0
Jermichael Finley,8,118.00,0,0,0,0,0,0,0,0,0,0,55,767,8,0,0,0
Jabar Gaffney,5,118.00,0,0,0,0,0,0,0,0,0,0,68,947,5,0,1,0
Ben Tate,11,118.00,0,0,0,0,0,0,175,942,4,0,13,98,0,0,3,0
Jason Witten,5,117.00,0,0,0,0,0,0,0,0,0,0,79,942,5,0,0,0
Antonio Brown,11,116.00,0,0,0,0,0,0,7,41,0,0,69,"1,108",2,0,0,0
DeSean Jackson,7,116.00,0,0,0,0,0,0,7,41,0,0,58,961,4,0,1,0
John Skelton,6,116.00,275,151,"1,913",11,14,0,28,128,0,0,0,0,0,0,1,0
Antonio Gates,6,115.00,0,0,0,0,0,0,0,0,0,0,64,778,7,0,0,0
