,,Passing,,,,,,Rushing,,,,Receiving,,,,Fumbles,
Taysom Hill,14,124.00,19,13,240,2,0,0,91,551,7,0,8,75,2,0,0,0
D'Andre Swift,6,124.00,0,0,0,0,0,0,93,517,5,1,41,328,3,0,0,0
Tyler Allgeier,14,123.00,0,0,0,0,0,0,186,900,3,1,16,139,1,0,0,0
Cooper Kupp,7,122.00,1,0,0,0,0,0,9,52,1,0,75,812,6,0,1,0
Jeffery Wilson,11,121.00,0,0,0,0,0,0,160,788,5,0,20,183,1,0,2,0
T.J. Hockenson,7,120.00,0,0,0,0,0,0,0,0,0,0,85,898,6,2,1,0
George Kittle,9,120.00,0,0,0,0,0,0,0,0,0,0,56,736,9,0,1,0
Raheem Mostert,11,120.00,0,0,0,0,0,0,170,820,3,0,29,212,2,0,1,0
Garrett Wilson,10,118.00,1,0,0,0,0,0,4,4,0,0,74,"1,014",4,0,1,0
Gabriel Davis,7,114.00,0,0,0,0,0,0,0,0,0,0,45,797,7,0,1,0
Jonathan Taylor,14,114.00,0,0,0,0,0,0,192,861,4,0,28,143,0,0,3,0
Chris Olave,14,113.00,0,0,0,0,0,0,0,0,0,0,67,982,3,1,1,0
Cordarrelle Patterson,14,113.00,0,0,0,0,0,0,139,677,7,0,19,121,0,0,1,0
Jerry Jeudy,9,112.00,0,0,0,0,0,0,1,1,0,0,62,818,6,0,0,0
Cam Akers,7,111.00,0,0,0,0,0,0,167,682,7,0,10,93,0,0,2,0
Mark Andrews,10,111.00,0,0,0,0,0,0,3,8,0,0,73,847,5,1,0,0
D'Onta Foreman,13,111.00,0,0,0,0,0,0,191,846,5,1,5,26,0,0,0,0
Chris Godwin,11,111.00,0,0,0,0,0,0,3,5,0,0,98,968,3,1,1,0
Antonio Gibson,14,106.00,0,0,0,0,0,0,149,546,3,0,46,353,2,0,0,0
Zay Jones,11,106.00,0,0,0,0,0,0,4,18,0,0,78,802,5,1,0,0
Mike Williams,8,105.00,0,0,0,0,0,0,0,0,0,0,59,863,4,0,0,0
Michael Pittman,14,104.00,0,0,0,0,0,0,2,30,0,0,96,895,3,0,1,0
Zach Wilson,10,104.00,242,132,"1,688",6,7,0,28,102,1,0,1,2,1,0,1,0
Jakobi Meyers,10,103.00,0,0,0,0,0,0,2,-11,0,0,64,771,5,1,2,0
Brock Purdy,9,103.00,150,99,"1,196",10,4,0,18,6,1,0,0,0,0,0,0,0
Deebo Samuel,9,103.00,0,0,0,0,0,0,41,228,3,0,54,612,2,0,2,0
Christian Watson,14,103.00,0,0,0,0,0,0,5,68,2,0,36,507,7,0,0,0
Curtis Samuel,14,102.00,0,0,0,0,0,0,37,191,1,0,63,658,4,0,1,0
Latavius Murray,9,100.00,0,0,0,0,0,0,156,657,5,1,26,117,0,0,0,0
Isiah Pacheco,8,100.00,0,0,0,0,0,0,162,766,4,0,13,130,0,0,2,0
Sam Darnold,13,98.00,125,77,"1,100",7,1,0,20,74,2,0,0,0,0,0,2,0
JuJu Smith-Schuster,8,98.00,0,0,0,0,0,0,0,0,0,0,76,898,3,0,2,0
Tyler Boyd,10,97.00,1,1,23,0,0,0,0,0,0,0,53,711,5,1,0,0
Khalil Herbert,14,97.00,0,0,0,0,0,0,119,681,4,0,8,58,1,0,0,0
Allen Lazard,14,97.00,0,0,0,0,0,0,0,0,0,0,56,747,5,0,0,0
Brian Robinson,14,97.00,0,0,0,0,0,0,205,797,2,0,9,60,1,0,0,0
Adam Thielen,7,95.00,0,0,0,0,0,0,0,0,0,0,68,708,5,1,0,0
George Pickens,9,94.00,0,0,0,0,0,0,3,24,1,0,49,729,3,1,0,0
Evan Engram,11,93.00,0,0,0,0,0,0,2,13,0,0,69,739,4,1,0,0
Donovan Peoples-Jones,9,93.00,0,0,0,0,0,0,1,2,0,0,59,797,3,0,1,0
Breece Hall,10,92.00,0,0,0,0,0,0,80,463,4,0,19,218,1,0,1,0
Drake London,14,90.00,0,0,0,0,0,0,0,0,0,0,66,746,4,1,3,0
Samaje Perine,10,90.00,0,0,0,0,0,0,89,376,2,0,37,283,4,0,0,0
Mack Hollins,6,89.00,1,1,4,0,0,0,4,40,0,0,55,675,4,0,0,0
Juwan Johnson,14,86.00,0,0,0,0,0,0,0,0,0,0,41,487,7,0,0,0
Jahan Dotson,14,85.00,0,0,0,0,0,0,2,-7,0,0,32,451,7,1,0,0
DeAndre Hopkins,13,84.00,0,0,0,0,0,0,0,0,0,0,64,717,3,0,1,0
Josh Palmer,8,84.00,0,0,0,0,0,0,1,4,0,0,68,730,3,0,0,0
Marquise Brown,10,82.00,0,0,0,0,0,0,1,1,0,0,66,702,3,0,0,0
Diontae Johnson,9,81.00,0,0,0,0,0,0,7,25,0,0,84,844,0,1,0,0
Courtland Sutton,9,81.00,0,0,0,0,0,0,1,5,0,0,61,796,1,0,0,0
Dallas Goedert,7,79.00,0,0,0,0,0,0,0,0,0,0,49,656,3,0,1,0
Cole Kmet,14,79.00,0,0,0,0,0,0,2,9,0,0,46,487,6,0,0,0
Pat Freiermuth,9,78.00,0,0,0,0,0,0,0,0,0,0,63,732,2,0,0,0
Dalton Schultz,9,78.00,0,0,0,0,0,0,0,0,0,0,53,544,5,0,1,0
Darius Slayton,9,77.00,0,0,0,0,0,0,0,0,0,0,46,724,2,0,1,0
Rachaad White,11,77.00,0,0,0,0,0,0,125,466,1,0,50,290,2,0,3,0
Clyde Edwards-Helaire,8,76.00,0,0,0,0,0,0,71,302,3,0,17,151,3,0,0,0
Kareem Hunt,9,75.00,0,0,0,0,0,0,119,455,3,0,32,195,1,0,0,0
Dawson Knox,7,75.00,0,0,0,0,0,0,0,0,0,0,46,504,5,0,0,0
Mitchell Trubisky,9,75.00,180,117,"1,252",4,5,1,19,38,2,0,0,0,0,0,0,0
Deshaun Watson,6,75.00,141,80,872,5,3,0,30,131,1,0,0,0,0,0,0,0
K.J. Osborn,7,74.00,0,0,0,0,0,0,3,6,0,0,55,533,5,0,0,0
Michael Carter,10,73.00,0,0,0,0,0,0,111,398,3,0,39,287,0,0,1,0
Marquez Valdes-Scantling,8,73.00,0,0,0,0,0,0,1,-3,0,0,39,660,2,0,0,0
Keenan Allen,8,72.00,0,0,0,0,0,0,1,8,0,0,58,650,2,0,1,0
Parris Campbell,14,72.00,0,0,0,0,0,0,4,32,0,0,57,581,3,0,0,0
Richie James,9,72.00,0,0,0,0,0,0,2,6,0,0,57,569,4,0,3,0
Tyler Higbee,7,71.00,0,0,0,0,0,0,0,0,0,0,68,587,3,0,0,0
James Robinson,10,71.00,0,0,0,0,0,0,110,425,3,0,11,51,2,0,0,0
James Cook,7,70.00,0,0,0,0,0,0,80,462,2,0,19,174,1,0,1,0
J.K. Dobbins,10,70.00,0,0,0,0,0,0,92,520,2,0,7,42,1,0,0,0
Gerald Everett,8,69.00,0,0,0,0,0,0,1,0,0,0,55,547,3,1,0,0
David Njoku,9,68.00,0,0,0,0,0,0,2,-8,0,0,54,586,3,0,1,0
Noah Brown,9,66.00,0,0,0,0,0,0,0,0,0,0,42,545,3,0,1,0
Brandin Cooks,6,66.00,0,0,0,0,0,0,2,7,0,0,52,593,2,0,0,0
Devin Duvernay,10,66.00,0,0,0,0,0,0,12,84,1,0,37,407,3,0,0,0
Tyler Conklin,10,65.00,0,0,0,0,0,0,2,3,0,0,56,539,3,0,0,0
Zach Ertz,13,65.00,0,0,0,0,0,0,0,0,0,0,47,406,4,2,0,0
Isaiah McKenzie,7,65.00,0,0,0,0,0,0,9,55,1,0,40,404,4,0,0,0
Kenyan Drake,10,64.00,0,0,0,0,0,0,93,422,3,0,15,70,1,0,0,0
Noah Fant,11,64.00,0,0,0,0,0,0,0,0,0,0,46,466,4,0,0,0
Mecole Hardman,8,64.00,0,0,0,0,0,0,4,31,2,0,25,297,4,0,0,0
Cooper Rush,9,63.00,161,94,"1,051",5,3,0,9,6,0,0,0,0,0,0,0,0
Rashid Shaheed,14,63.00,0,0,0,0,0,0,3,50,1,0,25,454,2,0,0,0
D.J. Chark,6,62.00,0,0,0,0,0,0,0,0,0,0,27,488,3,0,0,0
Chuba Hubbard,13,62.00,0,0,0,0,0,0,74,397,2,0,14,171,0,0,1,0
Marvin Jones,11,62.00,0,0,0,0,0,0,0,0,0,0,44,500,3,0,0,0
Alec Pierce,14,62.00,0,0,0,0,0,0,0,0,0,0,38,551,2,0,0,0
Russell Gage,11,61.00,0,0,0,0,0,0,0,0,0,0,48,411,4,1,1,0
Damien Harris,10,61.00,0,0,0,0,0,0,93,415,3,0,16,93,0,0,0,0
Chris Moore,6,61.00,0,0,0,0,0,0,2,5,0,0,46,526,2,0,0,0
DeAndre Carter,8,60.00,0,0,0,0,0,0,2,-15,0,0,43,495,3,0,1,0
Michael Gallup,9,60.00,0,0,0,0,0,0,0,0,0,0,38,414,4,0,0,0
Isaiah Hodgins,9,60.00,0,0,0,0,0,0,0,0,0,0,37,392,4,1,1,0
Mike White,10,60.00,175,103,"1,192",3,4,0,6,9,1,0,0,0,0,0,1,0
Josh Reynolds,6,59.00,0,0,0,0,0,0,0,0,0,0,37,463,3,0,0,0
Corey Davis,10,58.00,0,0,0,0,0,0,0,0,0,0,31,519,2,0,0,0
Marquise Goodwin,11,58.00,0,0,0,0,0,0,2,5,0,0,27,387,4,0,0,0
Darnell Mooney,14,57.00,0,0,0,0,0,0,1,2,0,0,40,493,2,0,0,0
Mike Gesicki,11,56.00,0,0,0,0,0,0,0,0,0,0,28,316,5,0,0,0
Eno Benjamin,14,55.00,0,0,0,0,0,0,75,310,2,1,25,193,0,0,0,0
Nico Collins,6,55.00,0,0,0,0,0,0,0,0,0,0,37,481,2,0,0,0
Romeo Doubs,14,55.00,0,0,0,0,0,0,1,11,0,0,42,425,3,0,1,0
Gus Edwards,10,55.00,0,0,0,0,0,0,83,417,3,0,0,0,0,0,1,0
Joe Flacco,10,55.00,158,92,902,5,3,0,3,6,0,0,0,0,0,0,4,0
Hunter Henry,10,55.00,0,0,0,0,0,0,0,0,0,0,35,467,2,0,0,0
Jordan Akins,6,54.00,0,0,0,0,0,0,0,0,0,0,33,425,3,0,1,0
Treylon Burks,6,54.00,0,0,0,0,0,0,4,47,0,0,29,425,1,0,0,1
Olamide Zaccheaus,14,54.00,0,0,0,0,0,0,2,7,0,0,36,496,2,0,1,0
Greg Dortch,13,53.00,0,0,0,0,0,0,5,29,0,0,48,437,2,0,1,0
Melvin Gordon,8,53.00,0,0,0,0,0,0,90,318,2,0,25,223,0,0,2,0
Nick Westbrook,6,53.00,0,0,0,0,0,0,0,0,0,0,25,397,3,0,0,0
Chase Claypool,14,52.00,1,1,1,1,0,0,9,59,0,0,44,422,1,0,1,0
Robert Woods,7,52.00,0,0,0,0,0,0,0,0,0,0,49,487,2,0,1,0
Greg Dulcich,9,50.00,0,0,0,0,0,0,0,0,0,0,33,411,2,0,0,0
Dontrell Hilliard,6,50.00,0,0,0,0,0,0,22,145,0,0,21,177,4,0,0,0
Tyler Huntley,10,50.00,112,75,658,2,3,0,43,137,1,1,0,0,0,0,0,0
Chigoziem Okonkwo,6,50.00,0,0,0,0,0,0,3,2,0,0,29,408,2,1,0,0
Robert Tonyan,14,50.00,0,0,0,0,0,0,0,0,0,0,50,441,2,0,0,0
Darren Waller,6,50.00,0,0,0,0,0,0,0,0,0,0,26,353,3,0,0,0
Bailey Zappe,10,50.00,92,65,781,5,3,0,10,0,0,0,1,-6,0,0,3,0
Kenny Gainwell,7,49.00,0,0,0,0,0,0,48,205,4,0,22,162,0,0,0,0
Darrell Henderson,11,49.00,0,0,0,0,0,0,70,283,3,0,17,102,0,0,0,0
Kalif Raymond,6,49.00,0,0,0,0,0,0,7,36,0,0,43,550,0,0,1,0
Jaylen Warren,9,49.00,0,0,0,0,0,0,71,343,1,0,25,207,0,0,0,0
Jameis Winston,14,49.00,115,73,858,4,5,1,5,16,0,0,0,0,0,0,0,0
Terrace Marshall,13,48.00,0,0,0,0,0,0,0,0,0,0,26,467,1,0,0,0
Foster Moreau,6,48.00,0,0,0,0,0,0,0,2,0,0,32,410,2,0,1,0
Allen Robinson,7,48.00,0,0,0,0,0,0,0,0,0,0,33,339,3,0,0,0
Will Dissly,11,47.00,0,0,0,0,0,0,0,0,0,0,34,349,3,0,0,0
DeVante Parker,10,47.00,0,0,0,0,0,0,0,0,0,0,25,460,1,0,0,0
Demarcus Robinson,10,47.00,0,0,0,0,0,0,0,0,0,0,46,434,2,0,1,0
Hayden Hurst,10,46.00,0,0,0,0,0,0,0,0,0,0,48,400,2,0,0,0
Trent Sherfield,11,46.00,0,0,0,0,0,0,0,0,0,0,30,417,2,0,0,0
Chase Edmonds,9,45.00,0,0,0,0,0,0,59,200,2,0,16,157,1,0,0,0
Austin Hooper,6,45.00,0,0,0,0,0,0,0,0,0,0,37,406,2,0,0,0
Alexander Mattison,7,45.00,0,0,0,0,0,0,64,229,3,0,14,85,1,0,0,0
Elijah Moore,10,45.00,0,0,0,0,0,0,5,5,0,0,36,435,1,0,0,0
Rondale Moore,13,45.00,0,0,0,0,0,0,6,-5,0,0,41,414,1,0,0,0
Rashaad Penny,11,45.00,0,0,0,0,0,0,57,346,2,0,4,16,0,0,0,0
Quez Watkins,7,45.00,0,0,0,0,0,0,3,1,0,0,31,340,3,0,1,0
Teddy Bridgewater,11,44.00,79,49,683,4,4,0,3,27,0,0,0,0,0,0,0,0
Van Jefferson,7,44.00,0,0,0,0,0,0,0,0,0,0,21,308,3,0,0,0
Cade Otton,11,44.00,0,0,0,0,0,0,0,0,0,0,41,386,2,0,0,0
JaMycal Hasty,11,43.00,0,0,0,0,0,0,43,189,2,0,20,126,1,0,0,0
Trenton Irwin,10,43.00,0,0,0,0,0,0,1,11,0,0,14,219,4,0,0,0
Jelani Woods,14,43.00,0,0,0,0,0,0,0,0,0,0,24,303,3,0,0,0
Nelson Agholor,10,42.00,0,0,0,0,0,0,0,0,0,0,31,362,2,0,2,0
Kendrick Bourne,10,42.00,0,0,0,0,0,0,6,39,0,0,31,389,1,0,0,0
Phillip Walker,13,42.00,106,63,731,3,3,0,6,39,0,0,0,0,0,0,0,0
Brock Wright,6,42.00,0,0,0,0,0,0,0,0,0,0,18,216,4,0,0,0
Daniel Bellinger,9,41.00,0,0,0,0,0,0,1,2,1,0,30,268,2,1,1,0
Randall Cobb,14,41.00,0,0,0,0,0,0,0,0,0,0,32,406,1,0,0,0
Jauan Jennings,9,41.00,0,0,0,0,0,0,0,0,0,0,34,406,1,0,0,0
Gardner Minshew,7,41.00,76,44,663,3,3,0,7,3,1,0,0,0,0,0,1,0
Kyle Pitts,14,41.00,0,0,0,0,0,0,0,0,0,0,28,356,2,0,0,0
Julio Jones,11,40.00,0,0,0,0,0,0,5,45,0,0,24,299,2,0,0,0
Joshua Kelley,8,40.00,0,0,0,0,0,0,64,269,2,0,13,95,0,0,0,0
Isaiah Likely,10,40.00,0,0,0,0,0,0,0,0,0,0,28,270,3,0,0,0
Ray Ray McCloud,9,40.00,0,0,0,0,0,0,4,78,1,0,14,243,1,0,0,0
Bennett Skowronek,7,40.00,0,0,0,0,0,0,1,17,1,0,39,376,0,0,0,0
Jamal Agnew,11,39.00,0,0,0,0,0,0,12,86,0,0,22,179,3,1,0,0
Deon Jackson,14,39.00,0,0,0,0,0,0,60,201,1,0,24,134,1,0,1,0
Zonovan Knight,10,39.00,0,0,0,0,0,0,73,278,1,0,13,100,0,0,0,0
Dante Pettis,14,39.00,0,0,0,0,0,0,2,37,0,0,17,226,3,0,0,0
Caleb Huntley,14,38.00,0,0,0,0,0,0,76,366,1,0,2,3,0,0,0,0
Laviska Shenault,13,38.00,0,0,0,0,0,0,8,64,1,0,26,264,1,0,0,0
Tyquan Thornton,10,37.00,0,0,0,0,0,0,3,16,1,0,21,234,2,0,0,0
Rashod Bateman,10,36.00,0,0,0,0,0,0,0,0,0,0,15,285,2,0,1,0
Shi Smith,13,36.00,0,0,0,0,0,0,0,0,0,0,22,296,2,0,1,0
Equanimeous St. Brown,14,36.00,0,0,0,0,0,0,6,54,0,0,20,320,1,0,0,0
Damiere Byrd,14,35.00,0,0,0,0,0,0,0,0,0,0,12,268,2,0,0,0
Noah Gray,8,35.00,0,0,0,0,0,0,1,1,1,0,27,285,1,0,0,0
Braxton Berrios,10,34.00,1,1,2,1,0,0,9,91,2,0,18,145,0,0,0,0
Colby Parkinson,11,34.00,0,0,0,0,0,0,0,0,0,0,23,275,2,0,0,0
Chatarius Atwell,7,33.00,0,0,0,0,0,0,8,23,0,0,16,271,1,0,0,0
Nyheim Hines,7,33.00,0,0,0,0,0,0,24,33,1,0,30,241,1,0,0,0
Jarrett Stidham,6,33.00,47,31,437,3,2,0,7,34,0,0,0,0,0,0,0,0
Michael Thomas,14,33.00,0,0,0,0,0,0,0,0,0,0,16,171,3,0,0,0
Justin Watson,8,33.00,0,0,0,0,0,0,0,0,0,0,14,248,2,0,0,0
Raheem Blackshear,13,32.00,0,0,0,0,0,0,22,76,3,0,10,93,0,0,1,0
Jarvis Landry,14,32.00,0,0,0,0,0,0,0,0,0,0,25,272,1,1,0,0
Robby Anderson,13,31.00,0,0,0,0,0,0,0,0,0,0,20,282,1,0,1,0
Rex Burkhead,6,31.00,1,0,0,0,0,0,26,80,0,0,36,203,1,0,0,1
Colt McCoy,13,31.00,132,90,780,1,3,0,14,36,0,0,0,0,0,0,0,0
Logan Thomas,14,31.00,0,0,0,0,0,0,0,0,0,0,37,307,1,0,0,0
Mark Ingram,14,30.00,0,0,0,0,0,0,62,233,1,1,16,68,0,0,2,0
Justin Jackson,6,30.00,0,0,0,0,0,0,41,168,1,0,11,90,1,0,0,0
Tommy Tremble,13,30.00,0,0,0,0,0,0,0,0,0,0,18,172,3,0,1,0
C.J. Uzomah,10,30.00,0,0,0,0,0,0,0,0,0,0,21,232,2,0,0,0
Zack Moss,14,29.00,0,0,0,0,0,0,75,342,0,0,8,32,0,0,1,0
Tre'Quan Smith,14,29.00,0,0,0,0,0,0,0,0,0,0,18,272,1,0,0,0
Kadarius Toney,8,29.00,0,0,0,0,0,0,4,56,0,0,14,153,2,0,1,0
Peyton Hendershot,9,27.00,0,0,0,0,0,0,1,2,1,0,11,103,2,0,0,0
Kendall Hinton,9,27.00,0,0,0,0,0,0,2,13,0,0,24,311,0,0,0,0
Hunter Renfrow,6,27.00,0,0,0,0,0,0,0,0,0,0,29,267,1,0,1,0
Wan'Dale Robinson,9,27.00,0,0,0,0,0,0,2,-1,0,0,23,227,1,0,0,0
Shane Zylstra,6,27.00,0,0,0,0,0,0,0,0,0,0,11,60,4,0,0,0
Phillip Dorsett,6,26.00,1,0,0,0,0,0,0,0,0,0,20,257,1,0,0,0
Kyle Juszczyk,9,26.00,0,0,0,0,0,0,6,23,1,0,18,174,1,0,0,0
Marlon Mack,9,26.00,0,0,0,0,0,0,16,84,1,0,8,99,1,0,0,0
Jordan Mason,9,26.00,0,0,0,0,0,0,35,230,1,0,0,0,0,0,0,0
Irv Smith,7,26.00,0,0,0,0,0,0,0,0,0,0,22,168,2,0,0,0
Dyami Brown,14,25.00,0,0,0,0,0,0,1,15,0,0,5,143,2,0,0,0
Jake Ferguson,9,25.00,0,0,0,0,0,0,0,0,0,0,18,170,2,0,0,0
MyCole Pruitt,14,25.00,0,0,0,0,0,0,0,0,0,0,13,116,3,0,0,0
Mo Alie-Cox,14,24.00,0,0,0,0,0,0,0,0,0,0,18,185,2,0,1,0
Matt Breida,9,24.00,0,0,0,0,0,0,50,192,1,0,13,106,0,0,0,0
Kylen Granson,14,24.00,0,0,0,0,0,0,1,0,0,0,31,302,0,0,0,0
Khadarel Hodge,14,24.00,0,0,0,0,0,0,0,0,0,0,13,202,1,1,0,0
Trey McBride,13,24.00,0,0,0,0,0,0,0,0,0,0,26,224,1,0,0,0
Javonte Williams,9,24.00,0,0,0,0,0,0,47,204,0,0,16,76,0,0,1,0
J.D. McKissic,14,23.00,0,0,0,0,0,0,22,95,0,0,27,173,0,1,0,0
Josh Oliver,10,23.00,0,0,0,0,0,0,0,0,0,0,14,149,2,0,0,0
