
Player,Pts*,XPA,XPM,FGA,FGM,50+
Stephen Gostkowski,10,168.00,44,44,41,38,5
Matt Prater,9,162.00,75,75,26,25,6
Justin Tucker,8,152.00,26,26,41,38,6
Mason Crosby,4,151.00,42,42,37,33,5
Stephen Hauschka,12,149.00,44,44,35,33,3
Phil Dawson,9,148.00,44,44,36,32,4
Nick Novak,8,148.00,42,42,37,34,2
Adam Vinatieri,8,147.00,34,34,40,35,4
Dan Bailey,11,143.00,47,47,30,28,6
Dan Carpenter,10,139.00,32,32,36,33,4
Jay Feely,9,133.00,37,37,36,30,3
Nick Folk,10,132.00,27,27,36,33,3
Robbie Gould,8,129.00,46,45,29,26,3
Shaun Suisham,5,129.00,39,39,32,30,0
Graham Gano,4,126.00,42,42,27,24,6
Blair Walsh,5,125.00,44,43,30,26,2
Rob Bironas,8,120.00,41,41,29,25,2
Ryan Succop,10,120.00,52,52,28,22,1
Matt Bryant,6,117.00,39,39,27,24,3
Caleb Sturgis,6,117.00,33,33,34,26,3
Alex Henery,12,116.00,45,45,28,23,1
Greg Zuerlein,11,114.00,34,34,28,26,1
Mike Nugent,12,112.00,53,52,22,18,3
Garrett Hartley,7,109.00,41,41,30,22,1
Rian Lindell,5,108.00,31,31,29,23,4
Randy Bullock,8,106.00,26,26,35,26,1
Sebastian Janikowski,7,106.00,37,37,30,21,3
David Akers,9,105.00,43,42,24,19,3
Josh Brown,9,102.00,31,31,26,23,1
Billy Cundiff,10,99.00,32,32,26,21,2
Josh Scobee,9,99.00,23,22,25,23,4
Kai Forbath,5,82.00,26,26,22,18,1
John Potter,5,16.00,7,7,4,3,0
Shayne Graham,10,13.00,7,7,2,2,0
