
Player,Bye,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
Lamar Jackson,8,474.00,401,265,"3,127",36,6,0,176,"1,206",7,0,0,0,0,0,2,0
Dak Prescott,8,385.00,596,388,"4,902",30,11,1,52,277,3,0,0,0,0,0,2,0
Russell Wilson,11,379.00,516,341,"4,110",31,5,1,75,342,3,0,0,0,0,0,2,0
Jameis Winston,7,365.00,626,380,"5,109",33,30,2,59,250,1,2,0,0,0,0,5,0
Deshaun Watson,10,363.00,495,333,"3,852",26,12,1,82,413,7,0,1,6,1,0,3,0
Patrick Mahomes,12,329.00,484,319,"4,031",26,5,1,43,218,2,0,0,0,0,0,2,0
Aaron Rodgers,11,322.00,569,353,"4,002",26,4,2,46,183,1,1,0,0,0,0,4,0
Carson Wentz,10,322.00,607,388,"4,039",27,7,2,62,243,1,0,0,0,0,0,7,0
Josh Allen,6,318.00,461,271,"3,089",20,9,2,109,510,9,1,0,0,0,0,4,0
Kyler Murray,12,311.00,542,349,"3,722",20,12,3,93,544,4,0,0,0,0,0,2,0
Matt Ryan,9,311.00,616,408,"4,466",26,14,1,34,147,1,0,0,0,0,0,5,0
Tom Brady,10,304.00,613,373,"4,057",24,8,1,26,34,3,0,0,0,0,0,1,0
Jimmy Garoppolo,4,294.00,476,329,"3,978",27,13,2,46,62,1,0,0,0,0,0,5,0
Kirk Cousins,12,288.00,444,307,"3,603",26,6,1,31,63,1,0,0,0,0,0,3,0
Jared Goff,9,284.00,626,394,"4,638",22,16,0,33,40,2,0,0,0,0,0,5,0
Derek Carr,6,276.00,513,361,"4,054",21,8,0,27,82,2,0,0,0,0,0,3,0
Philip Rivers,12,276.00,591,390,"4,615",23,20,1,12,29,0,0,0,0,0,0,3,0
Drew Brees,9,274.00,378,281,"2,979",27,4,0,9,-4,1,0,0,0,0,0,0,0
Ryan Fitzpatrick,5,269.00,502,311,"3,529",20,13,1,54,243,4,0,0,0,0,0,2,0
Gardner Minshew,10,265.00,470,285,"3,271",21,6,3,67,344,0,0,0,0,0,0,7,0
Daniel Jones,11,263.00,459,284,"3,027",24,12,2,45,279,2,0,0,0,0,0,11,0
Baker Mayfield,7,262.00,534,317,"3,827",22,21,1,28,141,3,0,0,0,0,0,2,0
Ryan Tannehill,5,261.00,286,201,"2,742",22,6,0,43,185,4,1,0,0,0,0,3,0
Jacoby Brissett,6,243.00,447,272,"2,942",18,6,1,56,228,4,0,1,2,0,0,5,0
Andy Dalton,9,231.00,528,314,"3,494",16,14,1,32,73,4,1,1,-4,0,0,4,0
Mitchell Trubisky,6,228.00,516,326,"3,138",17,10,1,48,193,2,0,0,0,0,0,2,0
Sam Darnold,4,221.00,441,273,"3,024",19,13,3,33,62,2,0,0,0,0,0,3,0
Kyle Allen,7,211.00,489,303,"3,322",17,16,0,32,106,2,0,0,0,0,0,7,0
Matthew Stafford,5,201.00,291,187,"2,499",19,5,0,20,66,0,0,0,0,0,0,3,0
Mason Rudolph,7,128.00,283,176,"1,765",13,9,0,21,42,0,0,0,0,0,0,0,0
Case Keenum,10,125.00,247,160,"1,707",11,5,0,9,12,1,0,0,0,0,0,3,0
Teddy Bridgewater,9,103.00,196,133,"1,384",9,2,0,28,31,0,0,0,0,0,0,0,0
Joe Flacco,10,94.00,262,171,"1,822",6,5,1,12,20,0,0,0,0,0,0,3,0
Marcus Mariota,11,94.00,160,95,"1,203",7,2,0,24,129,0,0,0,0,0,0,0,0
Dwayne Haskins,10,85.00,203,119,"1,365",7,7,1,20,101,0,0,0,0,0,0,2,0
Drew Lock,10,79.00,156,100,"1,020",7,3,0,18,72,0,0,0,0,0,0,1,0
Taysom Hill,9,72.00,6,3,55,0,0,0,27,156,1,0,19,234,6,0,0,0
Eli Manning,11,66.00,147,91,"1,042",6,5,0,4,7,0,0,0,0,0,0,1,0
Jeff Driskel,9,62.00,105,62,685,4,4,0,22,151,1,0,1,6,0,0,0,0
David Blough,7,58.00,174,94,984,4,6,0,8,31,0,0,1,19,1,0,0,0
Devlin Hodges,7,57.00,160,100,"1,063",5,8,0,21,68,0,0,0,0,0,0,1,0
Matt Moore,12,49.00,91,59,659,4,0,0,5,-1,0,0,0,0,0,0,0,0
Nick Foles,10,43.00,117,77,736,3,2,1,4,23,0,0,0,0,0,0,2,0
Matt Schaub,9,39.00,67,50,580,3,1,1,3,-3,0,0,0,0,0,0,1,0
Brandon Allen,10,35.00,84,39,515,3,2,0,10,39,0,0,0,0,0,0,0,0
Chase Daniel,6,30.00,64,45,435,3,2,0,6,6,0,0,0,0,0,0,0,0
Brian Hoyer,10,29.00,65,35,372,4,4,0,8,2,0,0,0,0,0,0,1,0
Ryan Finley,9,28.00,87,41,474,2,2,0,10,77,0,0,0,0,0,0,3,0
Cam Newton,7,18.00,89,50,572,0,1,0,5,-2,0,0,0,0,0,0,2,0
Josh Rosen,12,18.00,109,58,567,1,5,0,3,13,0,0,0,0,0,0,0,0
A.J. McCarron,6,16.00,37,21,225,0,1,0,5,39,1,0,0,0,0,0,0,0
Robert Griffin III,8,13.00,38,23,225,1,2,0,20,70,0,0,0,0,0,0,0,0
Ben Roethlisberger,7,12.00,62,35,351,0,1,0,1,7,0,0,0,0,0,0,0,0
Tyrod Taylor,12,8.00,6,4,33,1,0,0,10,7,0,0,0,0,0,0,0,0
Matt Barkley,6,7.00,51,27,359,0,3,0,2,-4,0,0,0,0,0,0,1,0
Luke Falk,5,7.00,73,47,416,0,3,0,0,0,0,0,0,0,0,0,1,0
Mike Glennon,6,6.00,10,6,56,1,0,0,2,0,0,0,0,0,0,0,1,0
