
Player,Bye,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
Jimmy Graham,6,144.00,0,0,0,0,0,0,0,0,0,0,85,982,9,0,0,0
Rob Gronkowski,9,140.00,0,0,0,0,0,0,0,0,0,0,55,790,11,0,1,0
Tony Gonzalez,7,135.00,0,0,0,0,0,0,0,0,0,0,93,930,8,0,0,0
Heath Miller,4,125.00,0,0,0,0,0,0,0,0,0,0,71,816,8,1,0,0
Jason Witten,5,115.00,0,0,0,0,0,0,0,0,0,0,110,"1,039",3,0,0,0
Greg Olsen,6,107.00,0,0,0,0,0,0,0,0,0,0,69,843,5,0,0,0
Dennis Pitta,8,103.00,0,0,0,0,0,0,0,0,0,0,61,669,7,0,0,0
Owen Daniels,8,100.00,0,0,0,0,0,0,0,0,0,0,62,716,6,0,0,0
Kyle Rudolph,11,99.00,0,0,0,0,0,0,0,0,0,0,53,493,9,1,0,0
Brandon Myers,5,97.00,0,0,0,0,0,0,0,0,0,0,79,806,4,0,0,0
Jermaine Gresham,8,95.00,0,0,0,0,0,0,0,0,0,0,64,737,5,0,1,0
Antonio Gates,7,89.00,0,0,0,0,0,0,0,0,0,0,49,538,7,0,0,0
Scott Chandler,8,87.00,0,0,0,0,0,0,0,0,0,0,43,571,6,0,1,0
Martellus Bennett,11,86.00,0,0,0,0,0,0,0,0,0,0,55,626,5,0,0,0
Vernon Davis,9,79.00,0,0,0,0,0,0,0,0,0,0,41,548,5,0,0,0
Aaron Hernandez,9,74.00,0,0,0,0,0,0,1,5,0,0,51,483,5,0,0,0
Jermichael Finley,10,73.00,0,0,0,0,0,0,0,0,0,0,61,667,2,0,1,0
Marcedes Lewis,6,72.00,0,0,0,0,0,0,0,0,0,0,52,540,4,0,0,0
Lance Kendricks,9,70.00,0,0,0,0,0,0,0,0,0,0,42,519,4,1,0,0
Jared Cook,11,69.00,0,0,0,0,0,0,0,0,0,0,44,523,4,0,1,0
Brandon Pettigrew,5,67.00,0,0,0,0,0,0,0,0,0,0,59,567,3,0,2,0
Brent Celek,7,66.00,0,0,0,0,0,0,0,0,0,0,57,684,1,0,1,0
Dwayne Allen,4,63.00,0,0,0,0,0,0,3,5,0,0,45,521,3,0,0,0
Dallas Clark,5,63.00,0,0,0,0,0,0,0,0,0,0,47,435,4,0,0,0
Benjamin Watson,10,61.00,0,0,0,0,0,0,0,0,0,0,49,501,3,0,0,0
Jacob Tamme,7,60.00,0,0,0,0,0,0,0,0,0,0,52,555,2,0,0,0
Joel Dreessen,7,59.00,0,0,0,0,0,0,0,0,0,0,41,356,5,0,0,0
Anthony Fasano,7,57.00,0,0,0,0,0,0,0,0,0,0,41,332,5,1,0,0
Tony Scheffler,5,51.00,0,0,0,0,0,0,0,0,0,0,42,504,1,0,0,0
Jeff Cumberland,9,48.00,0,0,0,0,0,0,0,0,0,0,29,359,3,0,0,0
Zach Miller,11,48.00,0,0,0,0,0,0,0,0,0,0,38,396,3,0,1,0
Delanie Walker,9,47.00,0,0,0,0,0,0,0,0,0,0,21,344,3,0,1,0
Tony Moeaki,7,45.00,0,0,0,0,0,0,0,0,0,0,33,453,1,0,0,0
Anthony McCoy,11,43.00,0,0,0,0,0,0,0,0,0,0,18,291,3,0,0,0
Garrett Graham,8,39.00,0,0,0,0,0,0,0,0,0,0,28,263,3,0,0,0
Dustin Keller,9,39.00,0,0,0,0,0,0,0,0,0,0,28,317,2,0,0,0
Tom Crabtree,10,36.00,0,0,0,0,0,0,0,0,0,0,8,203,3,0,0,0
