
Player,Bye,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
Josh Reynolds,9,66.00,0,0,0,0,0,0,1,5,0,0,52,618,2,0,1,0
Breshad Perriman,10,64.00,0,0,0,0,0,0,1,6,0,0,30,505,3,0,0,0
Tre'Quan Smith,6,64.00,0,0,0,0,0,0,1,3,0,0,34,448,4,0,0,0
James Washington,4,64.00,0,0,0,0,0,0,0,0,0,0,30,392,5,0,0,0
Scott Miller,13,63.00,0,0,0,0,0,0,3,14,0,0,33,501,3,0,0,0
John Brown,11,62.00,0,0,0,0,0,0,0,0,0,0,33,458,3,0,0,0
Jalen Guyton,6,62.00,0,0,0,0,0,0,2,0,0,0,28,511,3,0,0,0
Odell Beckham Jr.,9,60.00,1,1,18,0,0,0,3,72,1,0,23,319,3,0,0,0
Damiere Byrd,5,60.00,0,0,0,0,0,0,2,15,0,0,47,604,1,0,0,0
A.J. Green,9,60.00,0,0,0,0,0,0,0,0,0,0,47,523,2,0,0,0
Allen Lazard,5,59.00,0,0,0,0,0,0,2,17,0,0,33,451,3,0,0,0
Isaiah McKenzie,11,58.00,1,1,12,1,0,0,10,9,0,0,30,282,5,0,0,0
Randall Cobb,8,57.00,1,0,0,0,0,0,0,0,0,0,38,441,3,0,0,0
Tyron Johnson,6,56.00,0,0,0,0,0,0,3,17,0,0,20,398,3,0,0,0
Demarcus Robinson,10,56.00,0,0,0,0,0,0,0,0,0,0,45,466,3,0,1,0
Willie Snead,7,56.00,0,0,0,0,0,0,0,0,0,0,33,432,3,0,0,0
Danny Amendola,5,55.00,0,0,0,0,0,0,1,2,0,0,46,602,0,0,0,0
Keke Coutee,8,55.00,0,0,0,0,0,0,0,0,0,0,33,400,3,1,3,0
KJ Hamler,5,55.00,0,0,0,0,0,0,9,40,0,0,30,381,3,0,0,0
Braxton Berrios,10,54.00,0,0,0,0,0,0,3,29,0,0,37,394,3,0,0,0
Henry Ruggs,6,53.00,0,0,0,0,0,0,9,49,0,0,26,452,2,0,2,0
Preston Williams,7,53.00,0,0,0,0,0,0,0,0,0,0,18,288,4,2,0,0
Anthony Miller,11,52.00,0,0,0,0,0,0,2,12,0,0,49,485,2,0,1,0
Chris Conley,8,51.00,0,0,0,0,0,0,0,0,0,0,40,471,2,0,1,0
Michael Pittman,7,51.00,0,0,0,0,0,0,3,26,0,0,40,503,1,0,0,0
Cam Sims,8,50.00,0,0,0,0,0,0,1,5,0,0,32,477,1,0,0,0
Sammy Watkins,10,48.00,1,0,0,0,1,0,1,3,0,0,37,421,2,0,1,0
Golden Tate,11,46.00,2,1,18,0,0,0,0,0,0,0,35,388,2,0,0,0
Miles Boykin,7,45.00,0,0,0,0,0,0,0,0,0,0,19,266,4,0,0,0
Jalen Reagor,9,45.00,0,0,0,0,0,0,4,26,0,0,31,396,1,1,0,0
Kenny Golladay,5,44.00,0,0,0,0,0,0,0,0,0,0,20,338,2,0,0,0
Larry Fitzgerald,8,43.00,0,0,0,0,0,0,0,0,0,0,54,409,1,0,0,0
Deebo Samuel,11,43.00,0,0,0,0,0,0,8,26,0,0,33,391,1,0,0,0
Quintez Cephus,5,42.00,0,0,0,0,0,0,0,0,0,0,20,349,2,0,0,0
Donovan Peoples-Jones,9,42.00,0,0,0,0,0,0,0,0,0,0,14,304,2,1,0,0
Michael Thomas,6,41.00,0,0,0,0,0,0,1,1,0,0,40,438,0,0,0,0
Richie James,11,40.00,0,0,0,0,0,0,0,0,0,0,23,394,1,0,2,0
Jakeem Grant,7,39.00,0,0,0,0,0,0,3,20,0,0,36,373,1,0,0,0
Marvin Hall,9,38.00,0,0,0,0,0,0,1,1,0,0,18,302,2,0,0,0
N'Keal Harry,5,37.00,0,0,0,0,0,0,2,0,0,0,33,309,2,0,1,0
Collin Johnson,8,37.00,0,0,0,0,0,0,0,0,0,0,18,272,2,1,0,0
DaeSean Hamilton,5,35.00,0,0,0,0,0,0,0,0,0,0,23,293,2,0,1,0
Denzel Mims,10,35.00,0,0,0,0,0,0,0,0,0,0,23,357,0,1,0,0
Cedrick Wilson,10,34.00,2,2,23,1,0,0,3,-12,0,0,17,189,2,0,0,0
