
Player,Bye,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
Trey Lance,9,11.00,31,15,194,0,1,0,16,67,0,0,0,0,0,0,0,0
Trevor Siemian,14,11.00,26,15,184,1,1,0,4,8,0,0,0,0,0,0,0,0
Chase Daniel,8,10.00,12,8,52,1,0,1,1,4,0,0,0,0,0,0,0,0
Nathan Peterman,14,9.00,25,14,139,1,1,0,2,7,0,0,0,0,0,0,0,0
Chris Streveler,10,8.00,15,10,90,0,0,0,9,54,0,0,0,0,0,0,0,0
Blaine Gabbert,11,7.00,8,6,29,1,0,0,0,0,0,0,0,0,0,0,0,0
Anthony Brown,10,6.00,49,22,302,0,2,0,3,-5,0,0,0,0,0,0,1,0
Trace McSorley,13,6.00,83,45,412,0,5,0,15,61,0,0,0,0,0,0,2,0
Brian Hoyer,10,1.00,6,5,37,0,0,0,0,0,0,0,0,0,0,0,0,0
Brandon Allen,10,0.00,3,3,22,0,0,0,3,-1,0,0,0,0,0,0,0,0
Jacob Eason,9,0.00,5,3,59,0,1,0,0,0,0,0,0,0,0,0,0,0
Nick Foles,14,0.00,42,25,224,0,4,0,2,8,0,0,0,0,0,0,0,0
Chad Henne,8,0.00,2,0,0,0,0,0,5,-5,0,0,0,0,0,0,0,0
Josh Johnson,9,0.00,2,1,10,0,0,0,2,3,0,0,0,0,0,0,0,0
Case Keenum,9,0.00,7,2,8,0,0,0,5,0,0,0,0,0,0,0,0,0
Nate Sudfeld,6,0.00,0,0,0,0,0,0,5,-4,0,0,0,0,0,0,0,0
Kyle Trask,11,0.00,9,3,23,0,0,0,0,0,0,0,0,0,0,0,0,0
C.J. Beathard,11,-1.00,11,7,35,0,1,0,4,-4,0,0,0,0,0,0,0,0
Tim Boyle,14,-3.00,8,2,33,0,2,0,2,-2,0,0,0,0,0,0,0,0
