
Player,Pts*,XPA,XPM,FGA,FGM,50+
Blair Walsh,11,161.00,36,36,38,35,10
Stephen Gostkowski,9,157.00,66,66,35,29,2
Matt Bryant,7,151.00,44,44,38,33,4
Lawrence Tynes,11,147.00,46,46,39,33,1
Shayne Graham,8,146.00,45,45,38,31,4
Justin Tucker,8,140.00,42,42,33,30,4
Matt Prater,7,139.00,55,55,32,26,3
Jason Hanson,5,138.00,38,38,36,32,2
David Akers,9,135.00,44,44,42,29,2
Connor Barth,5,135.00,39,39,33,28,6
Dan Bailey,5,130.00,37,37,31,29,3
Phil Dawson,10,130.00,29,29,31,29,7
Sebastian Janikowski,5,130.00,25,25,34,31,6
Adam Vinatieri,4,123.00,37,37,33,26,4
Stephen Hauschka,11,120.00,48,46,27,24,1
Shaun Suisham,4,120.00,34,34,31,28,1
Mason Crosby,10,117.00,50,50,33,21,2
Garrett Hartley,6,117.00,57,57,22,18,3
Rob Bironas,11,112.00,35,35,31,25,1
Greg Zuerlein,9,109.00,26,26,31,23,7
Alex Henery,7,106.00,26,25,31,27,0
Ryan Succop,7,105.00,17,17,34,28,2
Jay Feely,10,104.00,25,25,28,25,2
Rian Lindell,8,104.00,39,39,24,21,1
Robbie Gould,6,100.00,33,33,25,21,2
Nick Folk,9,99.00,30,30,27,21,3
Dan Carpenter,7,96.00,26,26,27,22,2
Josh Scobee,6,95.00,19,18,28,25,1
Mike Nugent,8,94.00,35,35,23,19,1
Nick Novak,7,91.00,33,33,20,18,2
Kai Forbath,5,86.00,34,33,18,17,1
Graham Gano,10,49.00,21,20,11,9,1
Justin Medlock,6,44.00,23,23,10,7,0
Josh Brown,8,43.00,8,8,12,11,1
Billy Cundiff,9,38.00,17,17,12,7,0
Nate Kaeding,7,33.00,9,9,10,8,0
Olindo Mare,6,25.00,7,7,8,6,0
Jon Ryan,11,0.00,0,0,0,0,0
