
Player,Bye,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
Josh Hill,5,12.00,0,0,0,0,0,0,1,-8,0,0,16,125,1,0,2,0
Logan Thomas,6,11.00,0,0,0,0,0,0,0,0,0,0,7,67,1,0,0,0
Daniel Brown,9,10.00,0,0,0,0,0,0,0,0,0,0,13,129,0,0,0,0
C.J. Fiedorowicz,7,10.00,0,0,0,0,0,0,0,0,0,0,14,127,0,0,0,0
Maxx Williams,10,10.00,0,0,0,0,0,0,2,6,0,0,15,86,1,0,1,0
Michael Hoomanawanui,5,9.00,0,0,0,0,0,0,0,0,0,0,6,52,1,0,0,0
Phillip Supernaw,8,9.00,0,0,0,0,0,0,0,0,0,0,4,39,1,0,0,0
Brandon Williams,11,9.00,0,0,0,0,0,0,0,0,0,0,13,121,0,0,0,0
Niles Paul,5,8.00,0,0,0,0,0,0,2,4,0,0,13,94,0,0,0,0
Luke Stocker,8,8.00,0,0,0,0,0,0,0,0,0,0,4,30,1,0,0,0
Austin Traylor,5,8.00,0,0,0,0,0,0,0,0,0,0,8,100,0,0,0,0
Jerell Adams,8,7.00,0,0,0,0,0,0,0,0,0,0,8,92,0,0,0,0
Xavier Grimble,9,7.00,0,0,0,0,0,0,0,0,0,0,5,32,1,0,0,0
Neal Sterling,8,7.00,0,0,0,0,0,0,0,0,0,0,6,82,0,0,0,0
Vince Mayle,10,6.00,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0
Jeremy Sprinkle,5,6.00,0,0,0,0,0,0,0,0,0,0,2,13,1,0,0,0
Ross Travis,11,6.00,0,0,0,0,0,0,0,0,0,0,7,76,0,0,0,0
Clive Walford,10,6.00,0,0,0,0,0,0,0,0,0,0,9,80,0,0,0,0
Ben Koyack,8,5.00,0,0,0,0,0,0,0,0,0,0,5,38,0,1,0,0
Lee Smith,10,5.00,0,0,0,0,0,0,0,0,0,0,8,76,0,0,0,0
Derek Carrier,5,4.00,0,0,0,0,0,0,0,0,0,0,8,71,0,0,0,0
Orson Charles,10,4.00,0,0,0,0,0,0,0,0,0,0,2,53,0,0,0,0
Alan Cross,1,4.00,0,0,0,0,0,0,0,0,0,0,5,58,0,0,0,0
Tyler Eifert,6,4.00,0,0,0,0,0,0,0,0,0,0,4,46,0,0,0,0
Sean McGrath,9,4.00,0,0,0,0,0,0,0,0,0,0,4,46,0,0,0,0
Ifeanyi Momah,8,4.00,0,0,0,0,0,0,0,0,0,0,1,46,0,0,0,0
Blake Bell,11,3.00,0,0,0,0,0,0,0,0,0,0,3,19,0,1,0,0
Emanuel Byrd,8,3.00,0,0,0,0,0,0,0,0,0,0,2,31,0,0,0,0
Michael Roberts,7,3.00,0,0,0,0,0,0,0,0,0,0,4,46,0,0,0,0
Randall Telfer,9,3.00,0,0,0,0,0,0,0,0,0,0,3,36,0,0,0,0
Will Tye,8,3.00,0,0,0,0,0,0,0,0,0,0,4,38,0,0,0,0
Antony Auclair,1,2.00,0,0,0,0,0,0,0,0,0,0,2,25,0,0,0,0
Jacob Hollister,9,2.00,0,0,0,0,0,0,1,5,0,0,4,42,0,0,0,0
Darrell Daniels,11,1.00,0,0,0,0,0,0,0,0,0,0,3,26,0,0,0,0
MarQueis Gray,1,1.00,1,0,0,0,0,0,5,14,0,0,1,10,0,0,0,0
Ryan Hewitt,6,1.00,0,0,0,0,0,0,0,0,0,0,2,22,0,0,0,0
Cole Hikutini,11,1.00,0,0,0,0,0,0,0,0,0,0,2,15,0,0,0,0
Chris Manhertz,11,1.00,0,0,0,0,0,0,0,0,0,0,2,17,0,0,0,0
Geoff Swaim,6,1.00,0,0,0,0,0,0,0,0,0,0,2,25,0,0,0,0
Jeff Cumberland,9,0.00,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0
Garrett Griffin,5,0.00,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0
Ryan Malleck,7,0.00,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0
