,,Passing,,,,,,Rushing,,,,Receiving,,,,Fumbles,
Player,Bye,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
Patrick Mahomes,507.00,580,383,"5,097",50,12,0,60,272,2,1,0,0,0,0,2,0
Matt Ryan,417.00,608,422,"4,924",35,7,2,33,125,3,0,1,5,1,0,5,0
Ben Roethlisberger,400.00,675,452,"5,129",34,16,4,31,98,3,0,1,-1,0,0,2,0
Andrew Luck,392.00,639,430,"4,593",39,15,2,46,148,0,0,1,4,0,0,1,0
Deshaun Watson,374.00,505,345,"4,165",26,9,0,99,551,5,0,0,0,0,0,3,0
Jared Goff,366.00,561,364,"4,688",32,12,3,43,108,2,0,0,0,0,0,5,0
Drew Brees,360.00,489,364,"3,992",32,5,1,31,22,4,0,1,1,0,0,1,0
Russell Wilson,358.00,427,280,"3,448",35,7,1,67,376,0,0,1,-11,0,0,2,0
Aaron Rodgers,352.00,597,372,"4,442",25,2,2,43,269,2,1,0,0,0,0,3,0
Philip Rivers,343.00,508,347,"4,308",32,12,5,18,7,0,0,0,0,0,0,1,0
Kirk Cousins,336.00,606,425,"4,298",30,10,3,44,123,1,0,1,-1,0,0,7,0
Tom Brady,331.00,570,375,"4,355",29,11,0,23,35,2,0,1,6,0,0,2,0
Dak Prescott,322.00,526,356,"3,885",22,8,1,75,305,6,1,0,0,0,0,6,0
Cam Newton,319.00,471,320,"3,395",24,13,2,101,488,4,0,0,0,0,0,0,0
Todd Gurley,302.00,0,0,0,0,0,0,256,"1,251",17,2,59,580,4,1,1,0
Mitchell Trubisky,301.00,434,289,"3,223",24,12,4,68,421,3,0,0,0,0,0,3,0
Baker Mayfield,287.00,486,310,"3,725",27,14,1,39,131,0,0,0,0,0,1,3,0
Saquon Barkley,283.00,0,0,0,0,0,0,261,"1,307",11,1,91,721,4,0,0,0
Eli Manning,276.00,576,380,"4,299",21,11,3,15,20,1,0,0,0,0,0,4,0
Christian McCaffrey,267.00,1,1,50,1,0,0,219,"1,098",7,0,107,867,6,0,1,0
Alvin Kamara,259.00,0,0,0,0,0,0,194,883,14,3,81,709,4,0,0,0
Derek Carr,250.00,553,381,"4,049",19,10,1,24,47,1,0,1,-9,0,0,7,0
Matthew Stafford,243.00,555,367,"3,777",21,11,0,25,71,0,0,0,0,0,0,4,0
Ezekiel Elliott,240.00,0,0,0,0,0,0,304,"1,434",6,0,77,567,3,0,1,0
Case Keenum,240.00,586,365,"3,890",18,15,0,26,93,2,0,0,0,0,0,2,0
Carson Wentz,233.00,401,279,"3,074",21,7,1,34,93,0,0,1,4,0,0,6,0
Tyreek Hill,229.00,0,0,0,0,0,0,22,151,1,0,87,"1,479",12,0,0,0
Jameis Winston,224.00,378,244,"2,992",19,14,0,49,281,1,0,0,0,0,0,3,0
Josh Allen,218.00,320,169,"2,074",10,12,1,89,631,8,0,0,0,0,0,2,0
Melvin Gordon,216.00,0,0,0,0,0,0,175,885,10,1,50,490,4,1,0,0
James Conner,215.00,0,0,0,0,0,0,215,973,12,0,55,497,1,2,2,0
DeAndre Hopkins,215.00,1,0,0,0,0,0,1,-7,0,0,115,"1,572",11,0,2,0
Davante Adams,213.00,0,0,0,0,0,0,0,0,0,0,111,"1,386",13,1,0,0
Antonio Brown,213.00,1,0,0,0,0,0,0,0,0,0,104,"1,297",15,0,0,0
Andy Dalton,209.00,365,226,"2,566",21,11,0,16,99,0,0,0,0,0,0,0,0
Julio Jones,206.00,0,0,0,0,0,0,2,12,0,0,113,"1,677",8,0,2,0
Mike Evans,197.00,0,0,0,0,0,0,0,0,0,0,86,"1,524",8,0,1,1
Kareem Hunt,197.00,0,0,0,0,0,0,181,824,7,0,26,378,7,0,0,0
Ryan Fitzpatrick,194.00,246,164,"2,366",17,12,1,36,152,2,0,0,0,0,0,1,0
Sam Darnold,193.00,414,239,"2,865",17,15,0,44,138,1,0,0,0,0,0,2,0
Blake Bortles,192.00,403,243,"2,718",13,11,0,58,365,1,0,0,0,0,0,4,0
Joe Mixon,190.00,0,0,0,0,0,0,237,"1,168",8,0,43,296,1,0,0,0
Marcus Mariota,188.00,331,228,"2,528",11,8,0,64,357,2,0,1,21,0,0,2,0
Adam Thielen,187.00,0,0,0,0,0,0,5,30,0,0,113,"1,373",9,1,1,0
David Johnson,184.00,0,0,0,0,0,0,258,940,7,1,50,446,3,0,2,0
Travis Kelce,184.00,0,0,0,0,0,0,0,0,0,0,103,"1,336",10,0,1,0
Michael Thomas,184.00,0,0,0,0,0,0,0,0,0,0,125,"1,405",9,0,2,0
JuJu Smith-Schuster,180.00,0,0,0,0,0,0,1,13,0,0,111,"1,426",7,1,1,0
Phillip Lindsay,178.00,0,0,0,0,0,0,192,"1,037",9,0,35,241,1,0,0,0
James White,177.00,0,0,0,0,0,0,94,425,5,0,87,751,7,0,0,0
Derrick Henry,175.00,3,2,14,0,0,0,215,"1,059",12,0,15,99,0,0,1,0
Chris Carson,172.00,0,0,0,0,0,0,247,"1,151",9,0,20,163,0,0,2,0
Ryan Tannehill,171.00,274,176,"1,979",17,9,0,32,145,0,0,1,3,1,0,4,0
Robert Woods,168.00,0,0,0,0,0,0,19,157,1,0,86,"1,219",6,0,0,0
Nick Chubb,167.00,0,0,0,0,0,0,192,996,8,0,20,149,2,0,0,0
George Kittle,164.00,0,0,0,0,0,0,1,10,0,0,88,"1,377",5,1,0,0
Lamar Jackson,162.00,170,99,"1,201",6,3,0,147,695,5,0,0,0,0,0,4,0
Zach Ertz,158.00,0,0,0,0,0,0,0,0,0,0,116,"1,163",8,0,0,0
Adrian Peterson,158.00,0,0,0,0,0,0,251,"1,042",7,0,20,208,1,0,2,0
Joe Flacco,156.00,379,232,"2,465",12,6,0,19,45,0,0,0,0,0,0,1,0
T.Y. Hilton,156.00,0,0,0,0,0,0,0,0,0,0,76,"1,270",6,0,0,0
Keenan Allen,155.00,0,0,0,0,0,0,9,75,0,0,97,"1,196",6,1,1,0
Tyler Lockett,155.00,0,0,0,0,0,0,13,69,0,0,57,965,10,1,0,0
Tarik Cohen,154.00,1,1,1,1,0,0,99,444,3,0,71,725,5,0,3,0
Odell Beckham Jr.,153.00,2,2,106,2,0,0,5,19,0,0,77,"1,052",6,0,1,0
Brandin Cooks,153.00,0,0,0,0,0,0,10,68,1,0,80,"1,204",5,0,0,0
Stefon Diggs,153.00,0,0,0,0,0,0,10,62,0,0,102,"1,021",9,1,0,0
Eric Ebron,152.00,1,0,0,0,0,0,3,-8,1,0,66,750,13,0,1,0
Marlon Mack,152.00,0,0,0,0,0,0,195,908,9,2,17,103,1,0,2,0
Alex Smith,152.00,328,205,"2,180",10,5,0,41,168,1,0,0,0,0,0,1,0
Jordan Howard,150.00,0,0,0,0,0,0,250,935,9,0,20,145,0,0,1,0
Nick Mullens,148.00,274,176,"2,277",13,10,1,18,-16,0,0,0,0,0,0,0,0
Tevin Coleman,146.00,0,0,0,0,0,0,167,800,4,0,32,276,5,0,0,0
Tyler Boyd,139.00,1,0,0,0,0,0,2,3,0,0,76,"1,028",7,0,0,0
Kenyan Drake,139.00,0,0,0,0,0,0,120,535,4,0,53,477,5,0,1,0
Lamar Miller,139.00,0,0,0,0,0,0,210,973,5,0,25,163,1,0,1,0
Aaron Jones,137.00,0,0,0,0,0,0,133,728,8,0,26,206,1,0,1,0
Calvin Ridley,136.00,0,0,0,0,0,0,6,27,0,0,64,821,10,0,1,0
Amari Cooper,135.00,0,0,0,0,0,0,2,20,0,0,75,"1,005",7,0,2,0
Josh Rosen,130.00,393,217,"2,278",11,14,1,23,138,0,0,0,0,0,0,5,0
Mike Williams,130.00,0,0,0,0,0,0,7,28,1,0,43,664,10,1,0,0
Kenny Golladay,129.00,0,0,0,0,0,0,1,8,0,0,70,"1,063",5,0,0,0
Jarvis Landry,128.00,2,1,63,0,0,1,3,60,1,0,81,976,4,0,1,0
Matt Breida,127.00,0,0,0,0,0,0,153,814,3,0,27,261,2,0,1,0
Sony Michel,126.00,0,0,0,0,0,0,209,931,6,0,7,50,0,0,1,0
Julian Edelman,125.00,2,2,43,0,0,0,9,107,0,0,74,850,6,0,0,0
Jared Cook,122.00,0,0,0,0,0,0,0,0,0,0,68,896,6,0,0,0
Chris Godwin,122.00,0,0,0,0,0,0,0,0,0,0,59,842,7,1,1,0
Emmanuel Sanders,121.00,1,1,28,1,0,0,4,53,1,0,71,868,4,0,0,0
Peyton Barber,120.00,0,0,0,0,0,0,234,871,5,0,20,92,1,0,1,0
Austin Ekeler,119.00,0,0,0,0,0,0,106,554,3,0,39,404,3,0,1,0
