
Team,Pts*,Sack,Int,Saf,FR,Blk,TD,PA,PassYds/G,RushYds/G,TotYds/G
New England Patriots,10,221.00,54.0,19,0,11,1,8,347,216.5,105.5,322.0
Dallas Cowboys,9,206.00,54.0,16,0,17,2,3,342,200.9,129.3,330.2
San Francisco 49ers,9,205.00,44.0,20,0,10,0,3,277,222.9,77.7,300.6
Philadelphia Eagles,7,194.00,70.0,17,0,10,0,2,344,179.8,121.6,301.5
Buffalo Bills,7,183.00,40.0,17,2,10,1,3,286,214.6,104.6,319.1
Baltimore Ravens,10,174.00,48.0,14,0,11,2,1,315,232.2,92.1,324.3
Jacksonville Jaguars,11,170.00,35.0,14,0,13,0,4,350,238.5,114.8,353.3
New York Jets,10,157.00,45.0,12,2,4,3,1,316,189.4,121.6,311.1
Pittsburgh Steelers,9,156.00,40.0,20,0,3,3,1,346,222.3,108.1,330.4
Washington Commanders,14,155.00,43.0,9,1,9,1,3,343,191.3,113.3,304.6
Green Bay Packers,14,152.00,34.0,17,1,7,1,3,371,197.0,139.5,336.5
Indianapolis Colts,14,150.00,44.0,10,0,11,3,3,427,209.9,124.1,334.0
Kansas City Chiefs,8,150.00,55.0,11,1,9,0,2,369,220.9,107.2,328.2
Seattle Seahawks,11,149.00,45.0,14,0,11,1,2,401,211.5,150.2,361.7
Carolina Panthers,13,146.00,35.0,10,0,7,5,3,374,227.5,122.6,350.2
New York Giants,9,145.00,41.0,6,0,13,2,2,371,214.0,144.2,358.2
Tampa Bay Buccaneers,11,145.00,45.0,10,0,10,1,1,358,203.6,120.7,324.3
New Orleans Saints,14,145.00,48.0,7,0,7,1,1,345,184.4,130.5,314.8
Cleveland Browns,9,144.00,34.0,11,0,9,1,4,381,196.2,135.2,331.5
Tennessee Titans,6,143.00,39.0,14,0,6,1,1,359,274.8,76.9,351.6
Denver Broncos,9,141.00,36.0,15,1,8,1,0,359,210.2,109.8,320.0
Los Angeles Chargers,8,140.00,40.0,14,1,10,1,1,384,200.4,145.8,346.1
Arizona Cardinals,13,140.00,36.0,11,0,9,1,5,449,230.3,118.6,348.9
Minnesota Vikings,7,136.00,38.0,15,0,10,3,2,427,265.6,123.1,388.7
Cincinnati Bengals,10,135.00,30.0,13,0,11,2,1,322,229.1,106.6,335.7
Miami Dolphins,11,134.00,40.0,8,1,6,2,3,399,234.8,103.0,337.8
Houston Texans,6,132.00,39.0,16,1,11,0,1,420,209.3,170.2,379.5
Detroit Lions,6,132.00,39.0,12,1,10,1,2,427,245.8,146.5,392.4
Los Angeles Rams,7,128.00,38.0,16,0,6,1,1,384,226.0,115.1,341.1
Atlanta Falcons,14,125.00,21.0,10,1,7,3,4,386,231.9,130.2,362.1
Las Vegas Raiders,6,105.00,27.0,6,0,7,2,3,418,242.9,122.8,365.6
Chicago Bears,14,97.00,20.0,14,0,9,1,0,463,218.6,157.3,375.9
