,,Passing,,,,,,Rushing,,,,Receiving,,,,Fumbles,
Player,Bye,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
Andrew Luck,10,422.00,616,380,"4,761",40,16,0,64,273,3,0,0,0,0,0,6,0
Aaron Rodgers,9,420.00,520,341,"4,381",38,5,1,43,269,2,0,0,0,0,0,2,0
Peyton Manning,4,387.00,597,395,"4,727",39,15,2,24,-24,0,0,0,0,0,0,2,0
Ben Roethlisberger,12,364.00,608,408,"4,952",32,9,3,33,27,0,0,0,-6,0,0,5,0
Drew Brees,6,359.00,659,456,"4,952",33,17,0,27,68,1,0,1,1,0,0,3,0
Russell Wilson,4,352.00,452,285,"3,475",20,7,0,118,849,6,0,1,17,0,0,0,0
Tom Brady,10,336.00,582,373,"4,109",33,9,0,36,57,0,0,0,0,0,0,3,0
Tony Romo,11,329.00,435,304,"3,705",34,9,0,26,61,0,0,0,0,0,0,3,0
Eli Manning,8,327.00,601,379,"4,410",30,14,0,12,31,1,0,0,0,0,0,4,0
Matt Ryan,9,326.00,628,415,"4,694",28,14,1,29,145,0,0,0,0,0,0,2,0
Ryan Tannehill,5,322.00,590,392,"4,045",27,12,0,56,311,1,0,1,-4,0,0,2,0
Philip Rivers,10,318.00,570,379,"4,286",31,18,0,37,102,0,0,0,0,0,0,2,0
Jay Cutler,9,306.00,561,370,"3,812",28,18,4,39,191,2,0,0,0,0,0,6,0
Joe Flacco,11,303.00,554,344,"3,986",27,12,0,39,70,2,0,0,0,0,0,0,0
DeMarco Murray,11,287.00,0,0,0,0,0,0,392,"1,845",13,0,57,416,0,0,5,0
Matthew Stafford,9,284.00,602,363,"4,257",22,12,1,43,93,2,0,0,0,0,0,3,0
Cam Newton,12,278.00,448,262,"3,127",18,12,1,103,539,5,0,0,0,0,0,5,0
Colin Kaepernick,8,277.00,478,289,"3,369",19,10,0,104,639,1,0,0,0,0,0,5,0
Le'Veon Bell,12,272.00,0,0,0,0,0,0,290,"1,361",8,0,83,854,3,0,0,0
Marshawn Lynch,4,255.00,0,0,0,0,0,0,280,"1,306",13,0,37,367,4,0,2,0
Andy Dalton,4,250.00,481,309,"3,398",19,17,1,60,169,4,0,1,18,1,0,2,0
Antonio Brown,12,249.00,2,2,20,1,0,0,4,13,0,0,129,"1,698",13,1,2,0
Alex Smith,6,242.00,464,303,"3,265",18,6,0,49,254,1,0,0,0,0,0,1,0
Matt Forte,9,233.00,0,0,0,0,0,0,266,"1,038",6,1,102,808,4,1,2,0
Arian Foster,10,227.00,1,1,5,1,0,0,260,"1,246",8,0,38,327,5,0,2,0
Derek Carr,5,224.00,599,348,"3,270",21,12,0,29,92,0,0,0,0,0,0,4,0
Demaryius Thomas,4,223.00,0,0,0,0,0,0,0,0,0,0,111,"1,619",11,1,0,0
Dez Bryant,11,221.00,0,0,0,0,0,0,0,0,0,0,88,"1,320",16,0,0,0
Jordy Nelson,9,221.00,0,0,0,0,0,0,0,0,0,0,98,"1,519",13,0,0,0
Eddie Lacy,9,218.00,0,0,0,0,0,0,246,"1,139",9,0,42,427,4,0,2,0
Kyle Orton,9,210.00,447,287,"3,018",18,10,1,15,14,1,0,0,0,0,0,3,0
Ryan Fitzpatrick,10,206.00,312,197,"2,483",17,8,0,50,184,2,0,0,0,0,0,1,0
Jamaal Charles,6,200.00,0,0,0,0,0,0,206,"1,033",9,0,40,291,5,0,3,0
Odell Beckham Jr.,8,198.00,1,0,0,0,0,0,7,35,0,0,91,"1,305",12,0,1,0
Teddy Bridgewater,10,197.00,402,259,"2,919",14,12,2,47,209,1,0,0,0,0,0,0,0
Randall Cobb,9,193.00,0,0,0,0,0,0,11,37,0,0,91,"1,287",12,1,2,0
Emmanuel Sanders,4,192.00,0,0,0,0,0,0,8,44,0,0,101,"1,404",9,1,0,0
Justin Forsett,11,189.00,0,0,0,0,0,0,235,"1,266",8,1,44,263,0,0,0,0
Julio Jones,9,184.00,0,0,0,0,0,0,1,1,0,0,104,"1,593",6,0,1,0
Jeremy Maclin,7,182.00,0,0,0,0,0,0,0,0,0,0,85,"1,318",10,0,0,0
Blake Bortles,11,178.00,475,280,"2,908",11,17,1,56,419,0,0,0,0,0,0,1,0
Rob Gronkowski,10,178.00,0,0,0,0,0,0,0,0,0,0,82,"1,124",12,0,0,0
Lamar Miller,5,174.00,0,0,0,0,0,0,216,"1,099",8,0,38,275,1,0,3,0
Jeremy Hill,4,173.00,0,0,0,0,0,0,222,"1,124",9,0,27,215,0,0,2,0
T.Y. Hilton,10,173.00,0,0,0,0,0,0,2,20,0,0,82,"1,345",7,0,1,0
Brian Hoyer,4,173.00,438,242,"3,326",12,13,0,24,39,0,0,0,0,0,0,1,0
Mike Evans,7,168.00,0,0,0,0,0,0,0,0,0,0,68,"1,051",12,0,0,0
Geno Smith,11,168.00,367,219,"2,525",13,13,0,59,238,1,0,0,0,0,0,3,0
C.J. Anderson,4,167.00,0,0,0,0,0,0,179,849,8,0,34,324,2,0,0,0
Alshon Jeffery,9,167.00,0,0,0,0,0,0,6,33,0,0,85,"1,133",10,0,0,0
Mark Sanchez,7,163.00,309,198,"2,418",14,11,0,34,87,1,0,0,0,0,0,3,0
LeSean McCoy,7,161.00,0,0,0,0,0,0,312,"1,319",5,0,28,155,0,0,3,0
Alfred Morris,10,159.00,0,0,0,0,0,0,265,"1,074",8,0,17,155,0,0,0,0
Joique Bell,9,155.00,0,0,0,0,0,0,223,860,7,0,34,322,1,0,1,0
Mark Ingram,6,155.00,0,0,0,0,0,0,226,964,9,0,29,145,0,0,1,0
Golden Tate,9,151.00,0,0,0,0,0,0,5,30,0,0,99,"1,331",4,0,0,0
Calvin Johnson,9,149.00,0,0,0,0,0,0,0,0,0,0,71,"1,077",8,0,0,0
Antonio Gates,10,148.00,0,0,0,0,0,0,0,0,0,0,69,821,12,0,0,0
DeAndre Hopkins,10,147.00,0,0,0,0,0,0,0,0,0,0,76,"1,210",6,0,1,0
Kelvin Benjamin,12,145.00,0,0,0,0,0,0,0,0,0,0,73,"1,008",9,0,1,0
DeSean Jackson,10,144.00,0,0,0,0,0,0,4,7,0,0,56,"1,169",6,0,0,0
Josh McCown,7,144.00,327,184,"2,206",11,14,0,25,127,3,0,0,0,0,0,4,0
Nick Foles,7,142.00,311,186,"2,163",13,10,0,16,68,0,0,0,0,0,0,3,0
Matt Asiata,10,140.00,0,0,0,0,0,0,164,570,9,2,44,312,1,0,1,0
