
Team,Pts*,Sack,Int,Saf,FR,Blk,TD,PA,PassYds/G,RushYds/G,TotYds/G
Dallas Cowboys,7,222.00,41.0,26,0,8,4,9,358,238.2,112.8,351.0
New England Patriots,14,190.00,36.0,23,0,7,0,3,303,187.1,123.7,310.8
Miami Dolphins,14,189.00,48.0,14,0,12,1,6,373,227.7,109.8,337.5
Buffalo Bills,7,186.00,42.0,19,0,11,2,1,289,163.0,109.8,272.8
New Orleans Saints,6,175.00,46.0,18,0,7,2,2,335,224.8,93.5,318.2
Indianapolis Colts,14,171.00,33.0,19,1,14,2,3,365,234.1,109.1,343.2
Tampa Bay Buccaneers,9,171.00,47.0,17,0,12,0,2,353,238.9,92.5,331.5
Kansas City Chiefs,12,167.00,31.0,15,0,14,1,4,364,251.4,117.6,368.9
Tennessee Titans,13,161.00,43.0,16,0,6,1,3,354,245.2,84.6,329.8
Arizona Cardinals,12,158.00,41.0,13,0,14,0,2,366,214.4,114.8,329.2
Pittsburgh Steelers,7,158.00,55.0,13,0,9,2,1,398,215.1,146.1,361.1
Philadelphia Eagles,14,157.00,29.0,12,0,4,2,5,385,220.9,107.9,328.8
Minnesota Vikings,7,157.00,51.0,16,0,8,1,4,426,252.9,130.7,383.6
Green Bay Packers,13,151.00,39.0,18,0,8,1,2,371,219.1,109.1,328.2
Denver Broncos,11,150.00,36.0,13,0,6,3,1,322,214.8,111.3,326.1
Los Angeles Rams,11,149.00,50.0,19,0,6,0,1,372,241.7,103.2,344.9
San Francisco 49ers,6,149.00,48.0,9,0,11,1,2,365,206.5,103.5,310.0
Cleveland Browns,13,147.00,43.0,13,0,6,1,2,371,202.3,109.2,311.5
Cincinnati Bengals,10,145.00,42.0,13,0,8,0,2,376,248.4,102.5,350.8
Chicago Bears,10,141.00,49.0,8,1,8,0,3,407,191.6,125.1,316.7
Washington Football Team,9,131.00,38.0,11,0,8,1,3,434,254.9,104.4,359.3
Seattle Seahawks,9,125.00,34.0,11,1,7,1,1,366,265.5,113.6,379.1
New York Giants,10,123.00,34.0,15,1,7,0,1,416,225.8,129.0,354.8
Baltimore Ravens,8,122.00,34.0,9,0,6,1,1,392,278.9,84.5,363.4
Carolina Panthers,13,121.00,39.0,9,1,7,1,1,404,192.1,113.8,305.9
Houston Texans,10,116.00,32.0,17,1,8,0,2,452,242.2,142.2,384.4
Los Angeles Chargers,7,114.00,35.0,11,0,10,0,2,459,221.2,138.9,360.1
Detroit Lions,9,106.00,30.0,11,0,8,1,0,467,244.7,135.1,379.8
Las Vegas Raiders,8,98.00,35.0,6,1,9,0,0,439,222.9,114.3,337.2
Atlanta Falcons,6,97.00,18.0,12,1,8,1,2,459,232.5,131.9,364.4
Jacksonville Jaguars,7,96.00,32.0,7,0,2,2,2,457,227.9,125.1,353.1
New York Jets,6,88.00,33.0,7,0,7,0,2,504,259.4,138.3,397.6
