
Player,Bye,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
Adrian Peterson,11,299.00,0,0,0,0,0,0,348,"2,097",12,1,40,217,1,0,2,0
Arian Foster,8,250.00,0,0,0,0,0,0,351,"1,424",15,0,40,217,2,0,2,0
Doug Martin,5,249.00,0,0,0,0,0,0,319,"1,454",11,0,49,472,1,0,1,0
Marshawn Lynch,11,236.00,0,0,0,0,0,0,315,"1,590",11,0,23,196,1,0,2,0
Alfred Morris,10,233.00,0,0,0,0,0,0,335,"1,613",13,0,11,77,0,0,3,0
Ray Rice,8,207.00,0,0,0,0,0,0,257,"1,143",9,0,61,478,1,0,0,0
C.J. Spiller,8,202.00,0,0,0,0,0,0,207,"1,244",6,0,43,459,2,0,3,0
Jamaal Charles,7,195.00,0,0,0,0,0,0,285,"1,509",5,0,35,236,1,0,3,0
Stevan Ridley,9,193.00,0,0,0,0,0,0,290,"1,263",12,0,6,51,0,0,2,0
Frank Gore,9,191.00,0,0,0,0,0,0,258,"1,214",8,0,28,234,1,0,1,1
Trent Richardson,10,188.00,0,0,0,0,0,0,267,950,11,0,51,367,1,0,0,0
Matt Forte,6,168.00,0,0,0,0,0,0,248,"1,094",5,0,44,340,1,0,1,0
Chris Johnson,11,166.00,0,0,0,0,0,0,276,"1,243",6,0,36,232,0,0,4,0
Reggie Bush,7,161.00,0,0,0,0,0,0,227,986,6,0,35,292,2,0,2,0
Shonn Greene,9,156.00,0,0,0,0,0,0,276,"1,063",8,0,19,151,0,0,1,0
Steven Jackson,9,150.00,0,0,0,0,0,0,257,"1,042",4,0,38,321,0,1,0,0
Michael Turner,7,147.00,0,0,0,0,0,0,222,800,10,0,19,128,1,0,1,0
Ahmad Bradshaw,11,146.00,0,0,0,0,0,0,221,"1,015",6,0,23,245,0,0,3,0
BenJarvus Green-Ellis,8,142.00,0,0,0,0,0,0,278,"1,094",6,0,22,104,0,0,2,0
Mikel Leshoure,5,142.00,0,0,0,0,0,0,215,798,9,0,34,214,0,0,3,0
LeSean McCoy,7,138.00,0,0,0,0,0,0,200,840,2,0,54,373,3,0,3,0
Darren Sproles,6,131.00,0,0,0,0,0,0,48,244,1,1,75,667,7,0,0,0
DeAngelo Williams,6,121.00,0,0,0,0,0,0,173,737,5,0,13,187,2,0,2,0
Willis McGahee,7,110.00,0,0,0,0,0,0,167,731,4,0,26,221,0,1,4,0
DeMarco Murray,5,106.00,0,0,0,0,0,0,161,663,4,0,35,251,0,0,2,0
Vick Ballard,4,103.00,0,0,0,0,0,0,211,814,2,0,17,152,1,0,0,0
