
Player,Pts*,XPA,XPM,FGA,FGM,50+
David Akers,7,186.00,34,34,52,44,7
John Kasay,11,151.00,63,63,34,28,2
Stephen Gostkowski,7,145.00,59,59,33,28,1
Mason Crosby,8,144.00,69,68,28,24,2
Sebastian Janikowski,8,143.00,36,36,35,31,7
Neil Rackers,11,143.00,40,39,38,32,4
Dan Bailey,5,139.00,39,39,37,32,2
Jason Hanson,9,136.00,54,54,29,24,5
Rob Bironas,6,133.00,34,34,32,29,6
Robbie Gould,8,133.00,37,37,32,28,6
Mike Nugent,7,132.00,34,33,38,33,0
Matt Bryant,8,130.00,45,45,29,27,2
Nick Novak,6,130.00,42,41,34,27,4
Graham Gano,5,126.00,26,25,41,31,4
Billy Cundiff,5,124.00,38,38,37,28,1
Alex Henery,7,120.00,46,46,27,24,1
Dan Carpenter,5,117.00,26,26,34,29,2
Stephen Hauschka,6,113.00,34,34,30,25,2
Olindo Mare,9,110.00,45,44,28,22,0
Ryan Longwell,9,108.00,39,38,28,22,2
Nick Folk,8,107.00,44,44,25,19,3
Shaun Suisham,11,107.00,36,36,31,23,1
Phil Dawson,5,106.00,20,20,29,24,7
Connor Barth,8,105.00,23,23,28,26,2
Josh Scobee,9,103.00,24,24,25,23,5
Lawrence Tynes,7,102.00,43,43,24,19,1
Ryan Succop,6,98.00,20,20,30,24,3
Adam Vinatieri,11,97.00,24,24,27,23,2
Matt Prater,6,93.00,30,30,25,19,3
Jay Feely,6,92.00,33,33,24,19,1
Josh Brown,5,81.00,18,18,28,21,0
Rian Lindell,7,64.00,25,25,15,13,0
Dave Rayner,7,47.00,13,13,15,10,2
Shayne Graham,5,26.00,8,8,7,6,0
Brandon Coutu,7,3.00,3,3,1,0,0
