
Player,Pts*,XPA,XPM,FGA,FGM,50+
Sebastian Janikowski,10,150.00,43,43,41,33,4
David Akers,8,145.00,47,47,38,32,1
Josh Brown,9,131.00,27,26,39,33,3
Nick Folk,7,131.00,37,37,39,30,2
Matt Bryant,8,130.00,44,44,31,28,1
Neil Rackers,7,130.00,43,43,30,27,3
Adam Vinatieri,7,129.00,51,51,28,26,0
Dan Carpenter,5,123.00,25,25,41,30,4
David Buehler,4,122.00,44,42,32,24,4
Billy Cundiff,8,117.00,39,39,29,26,0
Mason Crosby,10,116.00,46,46,28,22,2
Robbie Gould,8,116.00,35,35,30,25,3
Rob Bironas,9,114.00,38,38,26,24,2
Jay Feely,6,111.00,29,29,27,24,2
Nate Kaeding,10,111.00,40,40,28,23,1
Josh Scobee,9,111.00,41,41,28,22,2
Olindo Mare,5,108.00,31,31,30,25,1
Jeff Reed,9,108.00,32,32,32,24,2
Connor Barth,4,107.00,36,36,28,23,1
Garrett Hartley,10,104.00,40,40,25,20,2
Ryan Succop,4,104.00,42,42,26,20,1
Lawrence Tynes,8,104.00,43,43,23,19,2
Graham Gano,9,100.00,28,28,35,24,0
John Kasay,6,98.00,17,17,29,25,3
Phil Dawson,8,97.00,28,28,28,23,0
Rian Lindell,6,83.00,32,31,21,16,2
Ryan Longwell,4,81.00,31,30,18,17,0
Matt Prater,9,80.00,29,28,18,16,2
Shayne Graham,5,75.00,41,39,12,12,0
Mike Nugent,6,66.00,17,17,19,15,2
Jason Hanson,7,61.00,19,19,14,12,3
Shaun Suisham,5,61.00,19,19,15,14,0
Dave Rayner,7,59.00,16,16,16,13,2
Stephen Gostkowski,5,56.00,26,26,13,10,0
Joe Nedney,9,54.00,17,17,13,11,2
Clint Stitser,5,29.00,10,8,8,7,0
Stephen Hauschka,8,28.00,10,10,7,6,0
Kris Brown,7,20.00,8,8,5,4,0
John Carney,10,18.00,3,3,6,5,0
Aaron Pettrey,6,11.00,5,5,4,2,0
Shane Andrus,9,9.00,3,3,4,2,0
Jon Ryan,5,0.00,0,0,0,0,0
