
Player,Bye,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
Devonta Freeman,10,232.00,0,0,0,0,0,0,265,"1,056",11,0,73,578,3,0,2,0
Adrian Peterson,5,220.00,0,0,0,0,0,0,327,"1,485",11,0,30,222,0,0,3,0
Doug Martin,6,192.00,0,0,0,0,0,0,288,"1,402",6,0,33,271,1,0,5,0
DeAngelo Williams,5,181.00,0,0,0,0,0,0,200,907,11,0,40,367,0,1,2,0
Todd Gurley,6,177.00,0,0,0,0,0,0,229,"1,106",10,0,21,188,0,0,1,0
Lamar Miller,5,174.00,0,0,0,0,0,0,194,872,8,0,47,397,2,0,1,0
Chris Ivory,5,161.00,0,0,0,0,0,0,247,"1,070",7,0,30,217,1,0,2,0
Matt Forte,7,160.00,0,0,0,0,0,0,218,898,4,0,44,389,3,1,1,0
David Johnson,9,159.00,0,0,0,0,0,0,125,581,8,0,36,457,4,0,1,0
Frank Gore,10,150.00,0,0,0,0,0,0,260,967,6,0,34,267,1,0,3,0
Latavius Murray,6,149.00,0,0,0,0,0,0,266,"1,066",6,0,41,232,0,0,1,0
Jeremy Hill,7,148.00,0,0,0,0,0,0,223,794,11,1,15,79,1,0,3,0
Darren McFadden,6,148.00,1,0,0,0,0,0,239,"1,089",3,0,40,328,0,1,3,0
Danny Woodhead,10,148.00,0,0,0,0,0,0,98,336,3,0,80,755,6,0,0,0
Mark Ingram,11,144.00,0,0,0,0,0,0,166,769,6,1,50,405,0,0,1,0
Jonathan Stewart,5,141.00,0,0,0,0,0,0,242,989,6,0,16,99,1,0,2,0
LeSean McCoy,8,139.00,0,0,0,0,0,0,203,895,3,1,32,292,2,0,2,0
DeMarco Murray,8,131.00,0,0,0,0,0,0,193,702,6,0,44,322,1,0,2,0
Ronnie Hillman,7,130.00,0,0,0,0,0,0,207,863,7,0,24,111,0,0,1,0
Rashad Jennings,11,127.00,0,0,0,0,0,0,195,863,3,0,29,296,1,0,2,0
Giovani Bernard,7,119.00,0,0,0,0,0,0,154,730,2,0,49,472,0,0,0,0
Charles Sims,6,119.00,0,0,0,0,0,0,107,529,0,0,51,561,4,0,2,0
Jeremy Langford,7,115.00,0,0,0,0,0,0,148,537,6,1,22,279,1,0,0,0
James Starks,7,113.00,0,0,0,0,0,0,148,601,2,0,43,392,3,0,3,0
Thomas Rawls,9,112.00,0,0,0,0,0,0,147,830,4,0,9,76,1,0,1,0
Eddie Lacy,7,111.00,0,0,0,0,0,0,187,758,3,0,20,188,2,0,2,0
LeGarrette Blount,4,110.00,0,0,0,0,0,0,165,703,6,0,6,43,1,0,0,0
Karlos Williams,8,110.00,0,0,0,0,0,0,93,517,7,0,11,96,2,0,1,0
T.J. Yeldon,8,109.00,0,0,0,0,0,0,182,740,2,0,36,279,1,0,0,0
Isaiah Crowell,11,107.00,0,0,0,0,0,0,185,706,4,0,19,182,1,0,0,0
C.J. Anderson,7,105.00,0,0,0,0,0,0,152,720,5,0,25,183,0,0,2,0
Charcandrick West,9,103.00,0,0,0,0,0,0,160,634,4,0,20,214,1,0,1,0
Chris Johnson,9,98.00,0,0,0,0,0,0,196,814,3,0,6,58,0,0,2,0
Ryan Mathews,8,98.00,0,0,0,0,0,0,106,539,6,0,20,146,1,0,3,0
Duke Johnson,11,90.00,0,0,0,0,0,0,104,379,0,0,61,534,2,0,0,0
Javorius Allen,9,89.00,0,0,0,0,0,0,137,514,1,0,45,353,2,0,2,0
Matt Jones,8,88.00,0,0,0,0,0,0,144,490,3,0,19,304,1,0,4,0
Theo Riddick,9,88.00,0,0,0,0,0,0,43,133,0,0,80,697,3,0,1,0
Shane Vereen,11,88.00,0,0,0,0,0,0,61,260,0,0,59,494,4,0,0,0
Alfred Blue,9,86.00,0,0,0,0,0,0,183,698,2,0,15,109,1,0,1,0
Le'Veon Bell,11,83.00,0,0,0,0,0,0,113,556,3,0,24,136,0,0,0,0
Justin Forsett,9,83.00,0,0,0,0,0,0,151,641,2,0,31,153,0,0,0,0
Darren Sproles,8,82.00,0,0,0,0,0,0,83,317,3,0,55,388,1,0,0,0
Antonio Andrews,4,81.00,1,1,41,1,0,0,143,520,3,0,21,174,0,0,1,0
Ameer Abdullah,9,80.00,0,0,0,0,0,0,143,597,2,0,25,183,1,0,2,0
Alfred Morris,8,79.00,0,0,0,0,0,0,202,751,1,0,10,55,0,0,0,0
Bilal Powell,5,79.00,0,0,0,0,0,0,70,313,1,0,47,388,2,0,0,0
Dion Lewis,4,78.00,0,0,0,0,0,0,49,234,2,0,36,388,2,0,1,0
Jamaal Charles,9,77.00,0,0,0,0,0,0,71,364,4,0,21,177,1,0,2,0
James White,4,73.00,0,0,0,0,0,0,22,56,2,0,40,410,4,0,0,0
Joique Bell,9,72.00,0,0,0,0,0,0,90,311,4,0,22,286,0,0,0,0
Spencer Ware,9,72.00,0,0,0,0,0,0,72,403,6,0,6,5,0,0,0,0
Tim Hightower,11,71.00,0,0,0,0,0,0,96,375,4,0,12,129,0,0,0,0
Melvin Gordon,10,68.00,0,0,0,0,0,0,184,641,0,0,33,192,0,0,4,0
Carlos Hyde,10,66.00,0,0,0,0,0,0,115,470,3,0,11,53,0,0,0,0
Marshawn Lynch,9,66.00,0,0,0,0,0,0,111,417,3,1,13,80,0,0,0,0
Joseph Randle,6,60.00,0,0,0,0,0,0,76,315,4,0,10,86,0,0,0,0
Andre Ellington,9,53.00,0,0,0,0,0,0,45,289,3,0,15,148,0,0,1,0
Mike Tolbert,5,53.00,0,0,0,0,0,0,62,256,1,0,18,154,3,0,0,0
Arian Foster,9,52.00,0,0,0,0,0,0,63,163,1,0,22,227,2,0,1,0
Jerick McKinnon,5,51.00,0,0,0,0,0,0,52,271,2,0,21,173,1,0,0,0
Kyle Juszczyk,9,50.00,0,0,0,0,0,0,2,3,0,0,41,321,4,0,0,0
Jonathan Grimes,9,48.00,1,0,0,0,0,0,56,282,1,1,26,173,1,0,0,0
Chris Thompson,8,48.00,0,0,0,0,0,0,35,216,0,0,35,240,2,0,0,0
Brandon Bolden,4,46.00,0,0,0,0,0,0,63,207,0,0,19,180,2,0,0,0
Khiry Robinson,11,46.00,0,0,0,0,0,0,56,180,4,0,17,115,0,0,0,0
Shaun Draughn,10,44.00,0,0,0,0,0,0,78,273,1,0,27,176,0,0,0,0
Chris Polk,9,44.00,0,0,0,0,0,0,99,334,1,0,16,109,1,0,0,0
Mike Gillislee,9,43.00,0,0,0,0,0,0,47,267,3,0,6,29,0,0,1,0
Tevin Coleman,10,40.00,0,0,0,0,0,0,87,392,1,0,2,14,0,0,3,0
Marcel Reece,6,40.00,0,0,0,0,0,0,10,36,0,0,30,269,3,0,0,0
Bishop Sankey,4,40.00,0,0,0,0,0,0,47,193,1,0,14,139,1,0,1,0
Denard Robinson,8,39.00,0,0,0,0,0,0,67,266,1,0,21,164,0,0,1,0
C.J. Spiller,11,39.00,0,0,0,0,0,0,36,112,0,0,34,239,2,0,0,0
Donald Brown,10,35.00,0,0,0,0,0,0,59,229,1,0,8,88,0,0,0,0
Fred Jackson,8,35.00,0,0,0,0,0,0,26,100,0,0,32,257,2,0,1,0
Jay Ajayi,5,31.00,0,0,0,0,0,0,49,187,1,1,7,90,0,0,0,0
Ka'Deem Carey,7,31.00,0,0,0,0,0,0,43,159,2,0,3,19,1,0,1,0
Benny Cunningham,6,30.00,0,0,0,0,0,0,37,140,0,0,26,250,0,0,0,0
Ahmad Bradshaw,10,28.00,0,0,0,0,0,0,31,85,0,0,10,64,3,0,0,0
Andre Williams,11,28.00,0,0,0,0,0,0,88,257,1,1,1,7,0,0,0,0
Tre Mason,6,27.00,0,0,0,0,0,0,75,207,1,0,18,88,0,0,1,0
Lance Dunbar,6,26.00,0,0,0,0,0,0,5,67,0,0,21,215,0,0,0,0
Cameron Artis-Payne,5,25.00,0,0,0,0,0,0,45,183,1,0,5,58,0,0,0,0
DuJuan Harris,10,25.00,0,0,0,0,0,0,48,189,0,0,9,97,0,0,1,0
Zach Line,5,24.00,0,0,0,0,0,0,6,10,2,0,6,95,1,0,0,0
Robert Turbin,6,24.00,0,0,0,0,0,0,50,199,1,0,7,23,0,0,0,0
Travaris Cadet,11,23.00,1,0,0,0,0,0,11,28,0,0,17,214,1,0,1,0
Jonas Gray,8,22.00,0,0,0,0,0,0,45,176,0,0,7,76,0,0,0,0
Christine Michael,9,22.00,0,0,0,0,0,0,54,243,0,0,3,16,0,0,0,0
Orleans Darkwa,11,20.00,0,0,0,0,0,0,36,153,1,0,3,31,0,0,0,0
Jamize Olawale,6,19.00,0,0,0,0,0,0,24,110,1,0,9,84,0,0,0,0
Terrance West,9,19.00,0,0,0,0,0,0,62,231,0,0,4,21,0,0,2,0
Fozzy Whittaker,5,19.00,0,0,0,0,0,0,25,108,1,0,12,64,0,0,0,0
Damien Williams,5,19.00,0,0,0,0,0,0,16,59,0,0,21,142,1,0,1,0
David Cobb,4,18.00,0,0,0,0,0,0,52,146,1,0,1,-2,0,0,0,0
Patrick DiMarco,10,18.00,0,0,0,0,0,0,1,0,0,0,13,110,2,0,0,0
Kerwynn Williams,9,18.00,0,0,0,0,0,0,27,142,1,0,2,16,0,0,1,0
John Kuhn,7,17.00,0,0,0,0,0,0,9,28,2,0,6,56,0,0,0,0
Bruce Miller,10,17.00,0,0,0,0,0,0,6,14,1,0,10,135,0,0,0,0
Branden Oliver,10,17.00,0,0,0,0,0,0,31,108,0,0,13,112,0,0,0,0
Taiwan Jones,6,16.00,0,0,0,0,0,0,16,74,0,0,7,106,1,0,1,0
Zac Stacy,6,16.00,0,0,0,0,0,0,31,89,1,0,9,65,0,0,0,0
Terron Ward,10,16.00,0,0,0,0,0,0,29,95,1,0,9,73,0,0,0,0
Jalston Fowler,4,14.00,0,0,0,0,0,0,7,13,1,0,5,44,1,0,0,0
Roy Helu,6,14.00,0,0,0,0,0,0,17,39,0,0,9,75,1,0,0,0
Matt Asiata,5,13.00,0,0,0,0,0,0,29,112,0,0,19,132,0,0,0,0
Pierre Thomas,8,13.00,0,0,0,0,0,0,15,64,0,0,9,84,0,0,0,0
Bryce Brown,8,12.00,0,0,0,0,0,0,25,72,1,0,0,0,0,0,0,0
Steven Jackson,4,12.00,0,0,0,0,0,0,21,50,1,0,1,20,0,0,0,0
Lorenzo Taliaferro,9,12.00,0,0,0,0,0,0,13,47,1,0,5,29,0,0,0,0
Kenjon Barner,8,11.00,0,0,0,0,0,0,28,124,0,0,9,22,0,0,1,0
Knile Davis,9,11.00,0,0,0,0,0,0,28,72,1,0,2,24,0,0,0,0
Anthony Dixon,8,11.00,0,0,0,0,0,0,21,44,1,0,6,44,0,0,0,0
Will Tukuafu,9,11.00,0,0,0,0,0,0,4,1,1,0,1,7,1,0,1,0
Rex Burkhead,7,9.00,0,0,0,0,0,0,4,4,0,0,10,94,1,0,1,0
Kendall Gaskins,10,9.00,0,0,0,0,0,0,16,38,0,0,8,69,0,0,0,0
Will Johnson,11,9.00,0,0,0,0,0,0,4,7,1,0,2,16,0,1,0,0
Michael Burton,9,8.00,0,0,0,0,0,0,4,2,0,0,6,39,1,0,0,0
Akeem Hunt,11,8.00,0,0,0,0,0,0,17,96,0,0,6,39,0,0,0,0
Austin Johnson,11,7.00,0,0,0,0,0,0,4,9,1,0,5,30,0,0,0,0
Stevan Ridley,5,7.00,0,0,0,0,0,0,36,90,0,0,4,-2,0,0,0,0
Juwan Thompson,7,7.00,0,0,0,0,0,0,18,48,0,0,6,51,0,0,0,0
Mike Davis,10,6.00,0,0,0,0,0,0,35,58,0,0,7,38,0,0,0,0
Dan Herron,10,6.00,0,0,0,0,0,0,25,79,0,0,9,47,0,0,0,0
Toby Gerhart,8,5.00,0,0,0,0,0,0,20,44,0,0,3,23,0,0,0,0
Joey Iosefa,4,5.00,0,0,0,0,0,0,15,51,0,0,0,0,0,0,0,0
Zurlon Tipton,10,5.00,0,0,0,0,0,0,5,20,0,0,5,57,0,0,0,0
Fitzgerald Toussaint,11,5.00,0,0,0,0,0,0,18,42,0,0,0,0,0,1,0,0
Tommy Bohanon,5,4.00,0,0,0,0,0,0,2,2,0,0,4,56,0,0,0,0
Jarryd Hayne,10,4.00,0,0,0,0,0,0,17,52,0,0,6,27,0,0,1,0
Stepfan Taylor,9,4.00,0,0,0,0,0,0,17,58,0,0,1,4,0,0,0,0
Zach Zenner,9,4.00,0,0,0,0,0,0,17,60,0,0,2,11,0,0,0,0
Reggie Bush,10,3.00,0,0,0,0,0,0,8,28,0,0,4,19,0,0,0,0
Josh Robinson,10,3.00,0,0,0,0,0,0,17,39,0,0,6,33,0,0,1,0
Jacquizz Rodgers,7,3.00,0,0,0,0,0,0,14,41,0,0,1,10,0,0,0,0
Anthony Sherman,9,3.00,0,0,0,0,0,0,1,0,0,0,4,34,0,0,0,0
Derrick Coleman,9,2.00,0,0,0,0,0,0,8,32,0,0,1,0,0,0,0,0
John Crockett,7,2.00,0,0,0,0,0,0,9,21,0,0,0,0,0,0,0,0
Jay Prosch,9,2.00,0,0,0,0,0,0,6,33,0,0,0,0,0,0,0,0
Malcolm Brown,6,1.00,0,0,0,0,0,0,4,17,0,0,1,-2,0,0,0,0
Jerome Felton,8,1.00,0,0,0,0,0,0,1,2,0,0,1,12,0,0,0,0
Alonzo Harris,7,1.00,0,0,0,0,0,0,4,19,0,0,0,0,0,0,0,0
Malcolm Johnson,11,1.00,0,0,0,0,0,0,0,0,0,0,4,15,0,0,0,0
Roosevelt Nix,11,1.00,0,0,0,0,0,0,0,0,0,0,2,16,0,0,0,0
Aaron Ripkowski,7,1.00,0,0,0,0,0,0,0,0,0,0,1,18,0,0,0,0
Antone Smith,10,1.00,0,0,0,0,0,0,1,11,0,0,0,0,0,0,0,0
Jordan Todman,5,1.00,0,0,0,0,0,0,4,22,0,0,0,0,0,0,0,0
Tyler Varga,10,1.00,0,0,0,0,0,0,1,2,0,0,1,18,0,0,0,0
Trey Williams,8,1.00,0,0,0,0,0,0,2,12,0,0,0,0,0,0,0,0
Tyler Clutts,6,0.00,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0
Kendall Hunter,11,0.00,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0
Jorvorskie Lane,6,0.00,0,0,0,0,0,0,1,0,0,0,2,13,0,0,0,0
Terrence Magee,9,0.00,0,0,0,0,0,0,2,5,0,0,1,2,0,0,0,0
Bernard Pierce,8,0.00,0,0,0,0,0,0,6,11,0,0,3,7,0,0,0,0
Bobby Rainey,6,0.00,0,0,0,0,0,0,5,18,0,0,3,16,0,0,1,0
Rod Smith,6,0.00,0,0,0,0,0,0,2,5,0,0,1,6,0,0,0,0
George Winn,9,0.00,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0
Cierre Wood,8,0.00,0,0,0,0,0,0,2,3,0,0,1,-6,0,0,0,0
Darrel Young,8,0.00,0,0,0,0,0,0,6,10,0,0,6,22,0,0,0,0
Corey Grant,8,-1.00,0,0,0,0,0,0,6,2,0,0,2,13,0,0,1,0
David Johnson,10,-1.00,0,0,0,0,0,0,2,4,0,0,1,4,0,0,1,0
Raheem Mostert,11,-1.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Marcus Murphy,11,-1.00,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Cordarrelle Patterson,5,-1.00,0,0,0,0,0,0,2,15,0,0,2,10,0,0,1,0
Isaiah Pead,6,-1.00,0,0,0,0,0,0,2,3,0,0,0,0,0,0,1,0
Glenn Winston,11,-1.00,0,0,0,0,0,0,1,-8,0,0,0,0,0,0,1,0
Marcus Thigpen,6,-2.00,0,0,0,0,0,0,1,-1,0,0,0,0,0,0,2,0
