
Player,Bye,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
Justin Forsett,11,36.00,0,0,0,0,0,0,87,291,1,0,20,85,0,0,1,0
Eddie Lacy,4,36.00,0,0,0,0,0,0,71,360,0,0,4,28,0,0,0,0
Wendell Smallwood,4,36.00,0,0,0,0,0,0,77,312,1,0,6,55,0,0,1,0
James Starks,4,33.00,0,0,0,0,0,0,63,145,0,0,19,134,2,0,0,0
John Kuhn,5,32.00,0,0,0,0,0,0,18,37,4,0,16,70,1,0,0,0
Dion Lewis,9,31.00,0,0,0,0,0,0,64,283,0,0,17,94,0,0,0,0
Alfred Morris,7,31.00,0,0,0,0,0,0,69,243,2,0,3,11,0,0,0,0
Aaron Ripkowski,4,31.00,0,0,0,0,0,0,34,150,2,0,9,46,1,0,0,0
Dwayne Washington,10,31.00,0,0,0,0,0,0,90,265,1,0,10,62,0,0,0,0
Kyle Juszczyk,8,30.00,0,0,0,0,0,0,5,22,1,0,37,266,0,1,0,0
Corey Grant,5,29.00,0,0,0,0,0,0,32,164,1,0,4,35,1,0,0,0
Kerwynn Williams,9,27.00,0,0,0,0,0,0,18,157,2,0,1,6,0,0,0,0
Cameron Artis-Payne,7,26.00,0,0,0,0,0,0,36,144,2,0,1,11,0,0,0,0
Peyton Barber,6,26.00,0,0,0,0,0,0,55,223,1,0,5,28,0,0,0,0
Kenyan Drake,8,26.00,0,0,0,0,0,0,33,179,2,0,9,46,0,0,0,0
Shane Vereen,8,25.00,0,0,0,0,0,0,33,158,1,0,11,94,0,0,2,0
Kenjon Barner,4,24.00,0,0,0,0,0,0,27,129,2,0,5,42,0,0,0,0
DuJuan Harris,8,24.00,0,0,0,0,0,0,38,138,0,0,8,115,1,0,2,0
Kapri Bibbs,11,22.00,0,0,0,0,0,0,29,129,0,0,2,75,1,0,0,0
Orleans Darkwa,8,22.00,0,0,0,0,0,0,30,111,2,0,2,12,0,0,0,0
Ameer Abdullah,10,20.00,0,0,0,0,0,0,18,101,0,0,5,57,1,0,0,0
Alex Collins,5,20.00,0,0,0,0,0,0,31,125,1,0,11,84,0,0,1,0
Kenneth Farrow,11,19.00,0,0,0,0,0,0,60,192,0,0,13,70,0,0,1,0
Ronnie Hillman,11,19.00,0,0,0,0,0,0,41,131,0,0,7,93,0,0,0,0
Mike Tolbert,7,19.00,0,0,0,0,0,0,35,114,0,0,10,72,1,0,0,0
Danny Woodhead,11,19.00,0,0,0,0,0,0,19,116,0,0,6,35,1,0,0,0
Lance Dunbar,7,17.00,0,0,0,0,0,0,9,31,1,0,16,122,0,0,0,0
Bobby Rainey,8,17.00,0,0,0,0,0,0,17,63,0,0,20,153,0,0,1,0
Reggie Bush,10,16.00,0,0,0,0,0,0,12,-3,1,0,7,90,0,1,0,0
Terron Ward,11,15.00,0,0,0,0,0,0,31,151,0,0,1,11,0,0,0,0
Mack Brown,9,14.00,0,0,0,0,0,0,8,82,1,0,1,-2,0,0,0,0
Jonathan Grimes,9,14.00,0,0,0,0,0,0,23,105,0,0,13,94,0,0,0,0
Chris Johnson,9,14.00,0,0,0,0,0,0,25,95,1,0,0,0,0,0,0,0
Benny Cunningham,8,13.00,0,0,0,0,0,0,21,101,0,0,16,91,0,0,0,0
Ka'Deem Carey,9,12.00,0,0,0,0,0,0,32,126,0,0,5,55,0,0,0,0
Denard Robinson,5,12.00,0,0,0,0,0,0,41,144,0,0,3,22,0,0,0,0
Jonathan Williams,10,12.00,1,0,0,0,0,0,27,94,1,0,1,0,0,0,2,0
Josh Ferguson,10,11.00,0,0,0,0,0,0,15,20,0,0,20,136,0,0,0,0
Andy Janovich,11,11.00,0,0,0,0,0,0,4,33,1,0,5,44,0,0,0,0
Jamaal Charles,5,10.00,0,0,0,0,0,0,12,40,1,0,2,14,0,0,0,0
Mike Davis,8,10.00,0,0,0,0,0,0,19,50,1,0,3,25,0,0,1,0
Arian Foster,8,10.00,0,0,0,0,0,0,22,55,0,0,6,78,0,0,0,0
Akeem Hunt,9,10.00,0,0,0,0,0,0,20,109,0,0,3,29,0,0,0,0
C.J. Spiller,11,10.00,0,0,0,0,0,0,6,18,0,0,6,50,1,0,0,0
George Atkinson III,10,9.00,0,0,0,0,0,0,7,34,1,0,0,0,0,0,0,0
Andre Ellington,9,9.00,0,0,0,0,0,0,34,96,0,0,12,85,0,0,0,0
Patrick DiMarco,11,8.00,0,0,0,0,0,0,0,0,0,0,7,52,1,0,0,0
Darren McFadden,7,8.00,0,0,0,0,0,0,24,87,0,0,3,17,0,0,0,0
Antone Smith,6,8.00,0,0,0,0,0,0,10,47,0,0,6,77,0,0,1,0
Terrell Watson,11,8.00,0,0,0,0,0,0,9,28,1,0,1,5,0,0,0,0
Andre Williams,8,8.00,0,0,0,0,0,0,18,87,0,0,0,0,0,0,0,0
David Johnson,8,7.00,0,0,0,0,0,0,0,0,0,0,7,80,0,1,0,0
Marcel Reece,10,7.00,0,0,0,0,0,0,2,0,0,0,5,73,0,1,0,0
Juwan Thompson,11,7.00,0,0,0,0,0,0,8,26,1,0,0,0,0,0,0,0
Byron Marshall,4,6.00,0,0,0,0,0,0,19,64,0,0,3,10,0,0,0,0
Derek Watt,11,6.00,0,0,0,0,0,0,2,4,0,0,4,83,0,0,0,0
Adrian Peterson,6,5.00,0,0,0,0,0,0,37,72,0,0,3,8,0,0,1,0
Fitzgerald Toussaint,8,5.00,0,0,0,0,0,0,14,58,0,0,3,33,0,0,0,0
Malcolm Brown,8,4.00,0,0,0,0,0,0,18,39,0,0,3,46,0,0,1,0
Jerome Felton,10,4.00,0,0,0,0,0,0,8,13,0,0,6,57,0,0,0,0
Jordan Todman,10,4.00,0,0,0,0,0,0,9,59,0,0,0,0,0,0,0,0
Javorius Allen,8,3.00,0,0,0,0,0,0,9,34,0,0,3,15,0,0,0,0
Taiwan Jones,10,3.00,0,0,0,0,0,0,1,-8,0,0,4,43,0,0,0,0
Troymaine Pope,5,3.00,0,0,0,0,0,0,12,44,0,0,1,5,0,0,0,0
Brandon Wilds,11,3.00,0,0,0,0,0,0,10,27,0,0,2,20,0,0,0,0
Knile Davis,4,2.00,0,0,0,0,0,0,18,28,0,0,5,25,0,0,0,0
Don Jackson,4,2.00,0,0,0,0,0,0,10,32,0,0,0,0,0,0,0,0
Malcolm Johnson,13,2.00,0,0,0,0,0,0,1,2,0,0,5,44,0,0,1,0
Daniel Lasco,5,2.00,0,0,0,0,0,0,11,32,0,0,2,11,0,0,0,0
Dan Vitale,6,2.00,0,0,0,0,0,0,0,0,0,0,4,27,0,0,0,0
Antonio Andrews,13,1.00,0,0,0,0,0,0,2,15,0,0,0,0,0,0,0,0
Brandon Bolden,9,1.00,0,0,0,0,0,0,1,4,0,0,2,15,0,0,0,0
James Develin,9,1.00,0,0,0,0,0,0,0,0,0,0,3,18,0,0,0,0
D.J. Foster,9,1.00,0,0,0,0,0,0,7,24,0,0,1,2,0,0,0,0
