
Team,Pts*,Sack,Int,Saf,FR,Blk,TD,PA,PassYds/G,RushYds/G,TotYds/G
Jacksonville Jaguars,8,246.00,55.0,21,0,12,2,8,268,169.9,116.2,286.1
Baltimore Ravens,10,223.00,41.0,22,0,12,1,8,303,213.8,111.2,325.1
Los Angeles Rams,8,208.00,48.0,18,2,10,5,6,329,217.2,122.3,339.5
Philadelphia Eagles,10,199.00,38.0,19,0,12,5,5,295,227.3,79.2,306.5
Los Angeles Chargers,9,189.00,43.0,18,0,9,1,4,272,197.2,131.1,328.4
Detroit Lions,7,189.00,35.0,19,0,13,3,7,376,243.2,112.5,355.8
Seattle Seahawks,6,184.00,39.0,14,2,11,1,5,332,209.2,114.0,323.2
New Orleans Saints,5,183.00,42.0,20,0,5,1,5,326,224.8,111.7,336.5
Pittsburgh Steelers,9,176.00,56.0,16,1,6,2,2,308,201.1,105.8,306.9
Chicago Bears,9,172.00,42.0,8,1,14,1,5,320,211.0,108.1,319.1
Kansas City Chiefs,10,163.00,31.0,16,0,10,1,4,339,247.0,118.1,365.1
New England Patriots,9,161.00,42.0,12,2,6,3,1,296,251.2,114.8,366.0
Carolina Panthers,11,160.00,50.0,10,0,11,1,3,327,229.1,88.1,317.1
Minnesota Vikings,9,154.00,37.0,14,1,5,0,1,252,192.4,83.6,275.9
Dallas Cowboys,6,150.00,38.0,10,0,11,1,2,332,214.1,104.0,318.1
Buffalo Bills,6,149.00,27.0,18,0,7,0,3,359,230.5,124.6,355.1
Tennessee Titans,8,144.00,43.0,12,0,9,0,1,356,239.2,88.8,328.0
Washington Redskins,5,140.00,42.0,16,0,7,1,2,388,213.8,134.1,347.9
Tampa Bay Buccaneers,1,136.00,22.0,13,0,13,3,4,382,260.6,117.5,378.1
Denver Broncos,5,136.00,33.0,10,0,7,3,4,382,200.6,89.4,290.0
Arizona Cardinals,8,133.00,37.0,15,0,6,0,2,361,221.3,89.6,310.9
Cincinnati Bengals,6,131.00,41.0,11,0,3,2,3,349,211.2,127.9,339.1
Atlanta Falcons,5,131.00,39.0,8,0,8,0,2,315,214.3,104.1,318.4
Miami Dolphins,1,125.00,30.0,9,2,6,3,3,393,225.2,110.5,335.7
Green Bay Packers,8,123.00,37.0,11,0,11,1,2,384,236.8,112.1,348.9
New York Giants,8,117.00,27.0,13,1,6,1,2,388,252.4,120.8,373.2
Indianapolis Colts,11,116.00,25.0,13,2,7,3,1,404,246.6,120.4,367.1
Houston Texans,7,114.00,32.0,11,1,5,0,4,436,237.4,109.2,346.6
San Francisco 49ers,11,112.00,30.0,10,0,10,0,1,383,235.2,116.3,351.6
New York Jets,11,100.00,28.0,11,0,9,0,0,382,234.3,117.9,352.2
Oakland Raiders,10,98.00,31.0,5,0,9,2,0,373,241.1,108.9,350.1
Cleveland Browns,9,97.00,34.0,7,0,6,2,1,410,230.2,97.9,328.1
