
Player,Pts*,XPA,XPM,FGA,FGM,50+
Younghoe Koo,10,160.00,36,33,39,37,8
Jason Sanders,7,160.00,36,36,39,36,8
Daniel Carlson,6,152.00,47,45,35,33,4
Tyler Bass,11,149.00,59,57,34,28,4
Rodrigo Blankenship,7,141.00,45,43,37,32,1
Greg Zuerlein,10,141.00,36,33,41,34,3
Ryan Succop,13,138.00,57,52,31,28,1
Justin Tucker,7,136.00,53,52,29,26,3
Harrison Butker,10,131.00,54,48,27,25,4
Cairo Santos,11,130.00,37,36,32,30,2
Wil Lutz,6,128.00,58,57,28,23,1
Brandon McManus,5,128.00,27,24,34,28,10
Ka'imi Fairbairn,8,126.00,40,37,31,27,4
Jason Myers,6,125.00,53,49,24,24,2
Graham Gano,11,124.00,23,21,32,31,5
Joey Slye,13,122.00,36,33,36,29,1
Mason Crosby,5,115.00,63,59,16,16,4
Dustin Hopkins,8,115.00,32,30,34,27,2
Stephen Gostkowski,4,114.00,48,46,26,18,7
Matt Prater,5,113.00,41,38,28,21,6
Michael Badgley,6,112.00,39,36,33,24,2
Nick Folk,5,112.00,33,30,28,26,2
Cody Parkey,9,100.00,47,43,22,19,0
Robbie Gould,11,97.00,38,36,23,19,2
Chris Boswell,4,93.00,38,34,20,19,1
Randy Bullock,9,93.00,25,24,26,21,3
Zane Gonzalez,8,90.00,39,38,22,16,2
Dan Bailey,7,86.00,43,37,22,15,2
Jake Elliott,9,70.00,26,24,19,14,2
Matt Gay,9,60.00,16,16,16,14,1
Sam Ficken,10,53.00,15,12,15,13,1
Samuel Sloman,4,53.00,26,23,13,10,0
Aldrick Rosas,8,39.00,9,9,11,8,3
Sergio Castillo,10,34.00,7,6,13,8,2
Mike Nugent,8,28.00,7,7,8,7,0
Josh Lambo,8,27.00,10,8,5,5,2
Austin Seibert,9,26.00,9,8,9,6,0
Chase McLaughlin,10,19.00,6,5,5,4,1
Matthew Wright,4,19.00,7,7,4,4,0
Tristan Vizcaino,11,11.00,2,2,3,3,0
Kai Forbath,9,10.00,5,4,3,2,0
Jonathan Brown,8,4.00,1,1,2,1,0
Elliott Fry,10,4.00,2,1,1,1,0
Stephen Hauschka,8,2.00,2,2,2,0,0
Taylor Russolino,5,1.00,3,1,1,0,0
