
Player,Pts*,XPA,XPM,FGA,FGM,50+
Matt Bryant,11,170.00,57,56,37,34,6
Justin Tucker,8,161.00,27,27,39,38,10
Dustin Hopkins,9,144.00,39,36,42,34,3
Caleb Sturgis,4,143.00,31,30,41,35,4
Wil Lutz,8,139.00,50,49,34,28,3
Adam Vinatieri,10,139.00,44,44,31,27,7
Matt Prater,10,138.00,33,31,36,31,7
Dan Bailey,7,133.00,46,46,32,27,3
Nick Novak,9,133.00,25,22,41,35,3
Cairo Santos,5,133.00,39,36,35,31,2
Stephen Gostkowski,9,131.00,49,46,32,27,2
Stephen Hauschka,5,130.00,35,29,37,33,1
Sebastian Janikowski,10,130.00,39,37,35,29,3
Graham Gano,7,127.00,34,31,38,30,3
Brandon McManus,11,125.00,33,32,34,29,3
Mason Crosby,4,124.00,47,44,30,26,1
Jason Myers,5,124.00,32,29,34,27,7
Josh Lambo,11,120.00,46,42,32,26,0
Chandler Catanzaro,9,112.00,47,43,28,21,3
Ryan Succop,13,111.00,41,39,24,22,3
Nick Folk,11,109.00,26,24,31,27,2
Chris Boswell,8,99.00,36,36,25,21,0
Dan Carpenter,10,99.00,45,40,25,19,1
Roberto Aguayo,6,98.00,34,32,31,22,0
Mike Nugent,9,92.00,29,23,29,23,0
Andrew Franks,8,91.00,42,41,21,16,1
Phil Dawson,8,89.00,34,33,21,18,1
Connor Barth,9,87.00,32,31,23,18,1
Greg Zuerlein,8,84.00,23,23,22,19,2
Cody Parkey,13,82.00,21,20,25,20,1
Kai Forbath,6,58.00,14,11,15,15,1
Blair Walsh,6,53.00,19,15,16,12,1
Robbie Gould,9,50.00,23,20,10,10,0
Josh Brown,8,42.00,9,9,12,11,0
Randy Bullock,9,33.00,10,9,9,8,0
Patrick Murray,6,6.00,4,3,2,1,0
Jon Ryan,5,2.00,0,0,0,0,0
