
Player,Pts*,XPA,XPM,FGA,FGM,50+
Stephen Gostkowski,10,158.00,51,51,37,35,1
Cody Parkey,10,158.00,54,54,36,32,4
Adam Vinatieri,10,146.00,50,50,31,30,3
Dan Carpenter,9,145.00,32,31,38,34,6
Mason Crosby,9,142.00,55,53,33,27,4
Dan Bailey,11,141.00,56,56,29,25,5
Matt Bryant,9,141.00,40,40,32,29,7
Randy Bullock,10,138.00,40,40,35,30,4
Stephen Hauschka,4,138.00,41,41,37,31,2
Justin Tucker,11,137.00,42,42,34,29,4
Caleb Sturgis,5,134.00,41,41,37,29,3
Shaun Suisham,12,134.00,45,45,32,29,1
Nick Folk,11,125.00,23,23,39,32,3
Josh Brown,8,124.00,44,44,26,24,4
Graham Gano,12,123.00,34,34,35,29,1
Phil Dawson,8,120.00,33,33,31,25,6
Chandler Catanzaro,4,118.00,27,27,33,29,2
Mike Nugent,4,117.00,39,39,33,26,0
Blair Walsh,10,117.00,29,29,35,26,5
Greg Zuerlein,4,116.00,35,34,30,24,5
Cairo Santos,6,115.00,38,38,30,25,1
Nick Novak,10,112.00,40,40,26,22,3
Shayne Graham,6,105.00,47,46,22,19,1
Kai Forbath,10,103.00,32,31,27,24,0
Patrick Murray,7,101.00,31,31,24,20,5
Billy Cundiff,4,96.00,28,28,29,22,1
Sebastian Janikowski,5,91.00,28,28,22,19,3
Matt Prater,9,90.00,21,21,26,21,3
Josh Scobee,11,89.00,23,23,26,20,3
Ryan Succop,6,88.00,27,27,22,19,2
Brandon McManus,4,68.00,41,41,13,9,0
Connor Barth,7,62.00,15,15,16,15,1
Robbie Gould,9,55.00,29,28,12,9,0
Nate Freese,9,15.00,6,6,7,3,0
Jay Feely,9,14.00,6,5,4,3,0
Garrett Hartley,4,11.00,2,2,3,3,0
Alex Henery,7,10.00,5,5,5,1,1
Jon Ryan,4,-1.00,0,0,0,0,0
