
Player,Bye,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
Rob Gronkowski,7,233.00,0,0,0,0,0,0,1,2,1,0,90,"1,327",17,0,0,0
Jimmy Graham,11,188.00,0,0,0,0,0,0,0,0,0,0,99,"1,310",11,0,1,0
Aaron Hernandez,7,128.00,0,0,0,0,0,0,5,45,0,0,79,910,7,0,1,0
Tony Gonzalez,8,123.00,0,0,0,0,0,0,0,0,0,0,80,875,7,0,0,0
Jermichael Finley,8,118.00,0,0,0,0,0,0,0,0,0,0,55,767,8,0,0,0
Jason Witten,5,117.00,0,0,0,0,0,0,0,0,0,0,79,942,5,0,0,0
Antonio Gates,6,115.00,0,0,0,0,0,0,0,0,0,0,64,778,7,0,0,0
Vernon Davis,7,106.00,0,0,0,0,0,0,2,-5,0,0,67,792,6,0,1,0
Brent Celek,7,105.00,0,0,0,0,0,0,0,0,0,0,62,811,5,0,0,0
Dustin Keller,8,105.00,0,0,0,0,0,0,0,0,0,0,65,815,5,0,1,0
Brandon Pettigrew,9,99.00,0,0,0,0,0,0,0,0,0,0,83,777,5,0,0,0
Fred Davis,5,91.00,0,0,0,0,0,0,0,0,0,0,59,796,3,0,1,0
Jermaine Gresham,7,88.00,0,0,0,0,0,0,0,0,0,0,56,596,6,0,1,0
Jared Cook,6,85.00,0,0,0,0,0,0,0,0,0,0,49,759,3,0,2,0
Kellen Winslow,8,85.00,0,0,0,0,0,0,0,0,0,0,75,763,2,2,1,0
Owen Daniels,11,80.00,0,0,0,0,0,0,0,0,0,0,54,677,3,0,0,0
Greg Olsen,9,80.00,0,0,0,0,0,0,0,0,0,0,45,540,5,1,1,0
Jake Ballard,7,78.00,0,0,0,0,0,0,0,0,0,0,38,604,4,0,0,0
Ed Dickson,5,75.00,0,0,0,0,0,0,0,0,0,0,54,528,5,0,0,0
Scott Chandler,7,69.00,0,0,0,0,0,0,0,0,0,0,38,389,6,0,1,0
Anthony Fasano,5,69.00,0,0,0,0,0,0,0,0,0,0,32,451,5,0,0,0
Heath Miller,11,68.00,0,0,0,0,0,0,1,6,0,0,51,631,2,0,1,0
Tony Scheffler,9,67.00,0,0,0,0,0,0,1,5,0,0,26,347,6,1,0,0
Joel Dreessen,11,65.00,0,0,0,0,0,0,0,0,0,0,28,353,6,0,0,0
Jeremy Shockey,9,64.00,0,0,0,0,0,0,0,0,0,0,37,455,4,0,1,0
Visanthe Shiancoe,9,53.00,0,0,0,0,0,0,0,0,0,0,36,409,3,0,0,0
Dennis Pitta,5,51.00,0,0,0,0,0,0,0,0,0,0,40,405,3,0,0,0
Kevin Boss,8,49.00,0,0,0,0,0,0,0,0,0,0,28,368,3,0,0,0
Evan Moore,5,49.00,0,0,0,0,0,0,0,0,0,0,34,324,4,0,0,0
Kellen Davis,8,48.00,0,0,0,0,0,0,0,0,0,0,18,206,5,0,0,0
Benjamin Watson,5,47.00,0,0,0,0,0,0,0,0,0,0,37,410,2,0,0,0
Dallas Clark,11,42.00,0,0,0,0,0,0,0,0,0,0,34,352,2,0,1,0
Jeff King,6,40.00,0,0,0,0,0,0,0,0,0,0,27,271,3,0,0,0
Marcedes Lewis,9,39.00,0,0,0,0,0,0,0,0,0,0,39,460,0,0,0,0
Charles Clay,5,38.00,0,0,0,0,0,0,0,0,0,0,16,233,3,0,0,0
Daniel Fells,6,37.00,0,0,0,0,0,0,0,0,0,0,19,256,3,0,1,0
Kyle Rudolph,9,37.00,0,0,0,0,0,0,0,0,0,0,26,249,3,0,0,0
Delanie Walker,7,35.00,0,0,0,0,0,0,3,5,0,0,19,198,3,0,0,0
Todd Heap,6,31.00,0,0,0,0,0,0,0,0,0,0,24,283,1,0,0,0
Lance Kendricks,5,28.00,0,0,0,0,0,0,1,-8,0,0,28,352,0,0,1,0
Leonard Pope,6,24.00,0,0,0,0,0,0,0,0,0,0,24,247,1,0,0,0
Randy McMichael,6,21.00,0,0,0,0,0,0,0,0,0,0,30,271,0,0,0,0
Jacob Tamme,11,21.00,0,0,0,0,0,0,0,0,0,0,19,177,1,0,0,0
Craig Stevens,6,19.00,0,0,0,0,0,0,0,0,0,0,9,166,1,0,0,0
Zach Miller,6,18.00,0,0,0,0,0,0,0,0,0,0,25,233,0,0,0,0
Clay Harbor,7,17.00,0,0,0,0,0,0,0,0,0,0,13,163,1,0,0,0
Travis Beckum,7,14.00,0,0,0,0,0,0,0,0,0,0,5,93,1,0,0,0
Alex Smith,5,14.00,0,0,0,0,0,0,0,0,0,0,14,131,1,0,0,0
Matt Spaeth,8,14.00,0,0,0,0,0,0,0,0,0,0,7,50,2,0,0,0
Anthony McCoy,6,12.00,0,0,0,0,0,0,0,0,0,0,13,146,0,0,0,0
Brandon Myers,8,12.00,0,0,0,0,0,0,0,0,0,0,16,151,0,0,0,0
John Phillips,5,11.00,0,0,0,0,0,0,0,0,0,0,15,101,1,0,0,0
Martellus Bennett,5,10.00,0,0,0,0,0,0,0,0,0,0,17,144,0,0,0,0
Rob Housler,6,9.00,0,0,0,0,0,0,0,0,0,0,12,133,0,0,1,0
Donald Lee,7,9.00,0,0,0,0,0,0,0,0,0,0,11,115,0,0,0,0
Zach Miller,9,9.00,0,0,0,0,0,0,0,0,0,0,4,42,1,0,0,0
Logan Paulsen,5,9.00,0,0,0,0,0,0,0,0,0,0,11,138,0,0,0,0
Dante Rosario,6,9.00,0,0,0,0,0,0,0,0,0,0,7,117,0,0,0,0
Colin Cochart,7,8.00,0,0,0,0,0,0,0,0,0,0,5,44,1,0,0,0
Daniel Graham,6,8.00,0,0,0,0,0,0,0,0,0,0,2,25,1,0,0,0
Michael Palmer,8,8.00,0,0,0,0,0,0,0,0,0,0,10,72,1,0,0,0
Weslye Saunders,11,8.00,0,0,0,0,0,0,0,0,0,0,4,29,1,0,0,0
Tom Crabtree,8,7.00,0,0,0,0,0,0,0,0,0,0,6,38,1,0,0,0
Michael Hoomanawanui,5,7.00,0,0,0,0,0,0,0,0,0,0,7,83,0,0,0,0
Billy Bajema,5,6.00,0,0,0,0,0,0,0,0,0,0,9,71,0,0,0,0
