
Player,Bye,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
Aaron Rodgers,4,449.00,610,401,"4,428",40,7,1,67,369,4,1,0,0,0,0,4,0
Matt Ryan,11,412.00,534,373,"4,944",38,7,1,35,117,0,1,0,0,0,0,2,0
Drew Brees,5,401.00,673,471,"5,208",37,15,0,23,20,2,0,0,0,0,0,4,0
Andrew Luck,10,364.00,545,346,"4,240",31,13,2,64,341,2,0,0,0,0,0,5,0
Kirk Cousins,9,343.00,606,406,"4,917",25,12,0,34,96,4,0,0,0,0,0,3,0
Dak Prescott,7,321.00,459,311,"3,667",23,4,0,57,282,6,0,0,0,0,0,4,0
Philip Rivers,11,321.00,578,349,"4,386",33,21,0,14,35,0,0,0,0,0,0,5,0
Matthew Stafford,10,317.00,594,388,"4,327",24,10,1,37,207,2,0,0,0,0,0,2,0
Derek Carr,10,316.00,560,357,"3,937",28,6,5,39,70,0,0,0,0,0,0,3,0
Blake Bortles,5,311.00,625,368,"3,905",23,16,1,58,359,3,1,1,20,1,0,6,0
Tom Brady,9,307.00,432,291,"3,554",28,2,1,28,64,0,0,0,0,0,0,0,0
Ben Roethlisberger,8,306.00,509,328,"3,819",29,13,3,16,14,1,0,0,0,0,0,2,0
Jameis Winston,6,305.00,567,345,"4,090",28,18,3,53,165,1,0,0,0,0,0,6,0
Marcus Mariota,13,304.00,451,276,"3,426",26,9,0,60,349,2,0,0,0,0,0,5,0
Russell Wilson,5,300.00,546,353,"4,219",21,11,1,72,259,1,0,2,14,1,0,2,0
Carson Palmer,9,290.00,597,364,"4,233",26,14,1,14,38,0,0,0,0,0,0,4,0
Tyrod Taylor,10,290.00,436,269,"3,023",17,6,1,95,580,6,1,0,0,0,0,2,0
Andy Dalton,9,289.00,563,364,"4,206",18,8,0,46,184,4,0,0,0,0,0,3,0
Cam Newton,7,281.00,510,270,"3,509",19,14,1,90,359,5,1,0,0,0,0,2,0
Joe Flacco,8,274.00,672,436,"4,317",20,15,4,21,58,2,0,0,0,0,0,3,0
Eli Manning,8,274.00,598,377,"4,027",26,16,0,21,-9,0,0,0,0,0,0,4,0
Sam Bradford,6,255.00,552,395,"3,877",20,5,0,20,53,0,0,1,5,0,0,5,0
Alex Smith,5,246.00,489,328,"3,502",15,8,2,48,134,5,0,1,3,0,0,4,0
Carson Wentz,4,237.00,607,379,"3,782",16,14,1,46,150,2,1,1,7,0,0,3,0
Colin Kaepernick,8,226.00,331,196,"2,241",16,4,0,69,468,2,1,0,0,0,0,3,0
Trevor Siemian,11,223.00,486,289,"3,401",18,10,1,28,57,0,0,0,0,0,0,2,0
Ryan Tannehill,8,221.00,389,261,"2,995",19,12,1,39,164,1,0,0,0,0,0,3,0
Brock Osweiler,9,190.00,510,301,"2,957",15,16,0,30,131,2,0,1,-14,0,0,1,0
Ryan Fitzpatrick,11,147.00,403,228,"2,710",12,17,0,33,130,0,0,0,0,0,0,1,0
Case Keenum,8,122.00,322,196,"2,201",9,11,0,20,51,1,0,0,0,0,0,1,0
Brian Hoyer,9,90.00,200,134,"1,445",6,0,0,7,-2,0,0,0,0,0,0,1,0
Matt Barkley,9,85.00,216,129,"1,611",8,14,0,7,2,0,0,1,2,1,0,2,0
Cody Kessler,13,85.00,195,128,"1,380",6,2,1,11,18,0,0,0,0,0,0,1,0
Blaine Gabbert,8,79.00,160,91,925,5,6,0,40,173,2,0,1,-16,0,0,0,0
Matt Moore,8,69.00,87,55,721,8,3,0,1,-1,0,0,0,0,0,0,0,0
Robert Griffin III,13,67.00,147,87,886,2,3,0,31,190,2,0,0,0,0,0,1,0
Josh McCown,13,65.00,165,90,"1,100",6,6,1,7,21,0,0,0,0,0,0,4,0
Jared Goff,8,61.00,205,112,"1,089",5,7,0,8,16,1,0,0,0,0,0,2,0
Jay Cutler,9,54.00,137,81,"1,059",4,5,0,5,24,0,0,0,0,0,0,2,0
Jimmy Garoppolo,9,43.00,63,43,502,4,0,0,10,6,0,0,1,3,0,0,1,0
Landry Jones,8,42.00,86,53,558,4,2,0,6,-4,0,0,0,0,0,0,0,0
Bryce Petty,11,36.00,133,75,809,3,7,0,5,19,0,1,0,0,0,0,1,0
Nick Foles,8,33.00,55,36,410,3,0,0,4,-4,0,0,0,0,0,0,0,0
Paxton Lynch,11,30.00,83,49,497,2,1,0,11,25,0,0,0,0,0,0,0,0
Jacoby Brissett,9,27.00,55,34,400,0,0,0,16,83,1,0,0,0,0,0,1,0
Derek Anderson,7,20.00,53,36,453,2,5,1,1,4,0,0,0,0,0,0,1,0
Matt Cassel,13,18.00,51,30,284,2,2,0,4,3,0,0,0,0,0,0,0,0
Tom Savage,9,18.00,73,46,461,0,0,0,6,12,0,0,0,0,0,0,1,0
Kevin Hogan,13,16.00,26,14,104,0,2,0,8,105,1,0,0,0,0,0,0,0
Mike Glennon,6,11.00,11,10,75,1,0,1,0,0,0,0,0,0,0,0,0,0
Drew Stanton,9,11.00,48,19,192,2,3,0,3,-3,0,0,0,0,0,0,0,0
Charlie Whitehurst,13,11.00,24,14,182,1,1,0,2,1,0,0,0,0,0,0,0,0
Scott Tolzien,10,10.00,37,23,216,1,2,0,6,3,0,0,0,0,0,0,0,0
Connor Cook,10,9.00,21,14,150,1,1,0,0,0,0,0,0,0,0,0,1,0
Shaun Hill,6,9.00,35,19,242,0,0,0,5,5,0,0,0,0,0,0,0,0
Trevone Boykin,5,8.00,18,13,145,1,1,0,8,1,0,0,0,0,0,0,0,0
Geno Smith,11,8.00,14,8,126,1,1,0,2,9,0,0,0,0,0,0,0,0
Tony Romo,7,7.00,4,3,29,1,0,0,0,0,0,0,0,0,0,0,0,0
E.J. Manuel,10,6.00,26,11,131,0,0,1,8,22,0,0,0,0,0,0,1,0
