
Player,Bye,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
Robby Anderson,11,69.00,0,0,0,0,0,0,3,42,0,0,42,587,2,0,1,0
Donte Moncrief,10,69.00,0,0,0,0,0,0,1,-1,0,0,30,307,7,0,0,0
Adam Humphries,6,68.00,0,0,0,0,0,0,5,18,0,0,55,622,2,1,0,0
Brian Quick,8,68.00,0,0,0,0,0,0,0,0,0,0,41,564,3,0,0,0
Seth Roberts,10,66.00,0,0,0,0,0,0,0,0,0,0,38,397,5,2,0,0
Breshad Perriman,8,63.00,0,0,0,0,0,0,1,2,0,0,33,499,3,0,0,0
Robert Woods,10,63.00,0,0,0,0,0,0,1,6,0,0,51,613,1,0,0,0
Tyler Boyd,9,62.00,0,0,0,0,0,0,4,58,0,0,54,603,1,0,1,0
Allen Hurns,5,61.00,0,0,0,0,0,0,0,0,0,0,35,477,3,0,0,0
John Brown,9,60.00,0,0,0,0,0,0,1,10,0,0,39,517,2,0,0,0
Jeremy Maclin,5,60.00,1,0,0,0,0,0,1,-1,0,0,44,536,2,0,0,0
Phillip Dorsett,10,59.00,0,0,0,0,0,0,2,10,0,0,33,528,2,0,0,0
Malcolm Mitchell,9,59.00,0,0,0,0,0,0,0,0,0,0,32,401,4,0,0,0
Victor Cruz,8,58.00,0,0,0,0,0,0,0,0,0,0,39,586,1,0,1,0
Tajae Sharpe,13,57.00,0,0,0,0,0,0,1,1,0,0,41,522,2,0,0,0
Marquise Goodwin,10,56.00,0,0,0,0,0,0,0,0,0,0,29,431,3,0,0,0
Kendall Wright,13,56.00,0,0,0,0,0,0,1,15,0,0,29,416,3,0,0,0
Devin Funchess,7,55.00,0,0,0,0,0,0,0,0,0,0,23,371,4,1,0,0
Corey Coleman,13,54.00,0,0,0,0,0,0,2,10,0,0,33,413,3,0,0,0
Sammy Watkins,10,53.00,0,0,0,0,0,0,0,0,0,0,28,430,2,0,0,0
Sammie Coates,8,52.00,0,0,0,0,0,0,4,14,0,0,21,435,2,0,0,0
Jermaine Kearse,5,49.00,0,0,0,0,0,0,0,0,0,0,41,510,1,0,0,0
Eddie Royal,9,47.00,0,0,0,0,0,0,0,0,0,0,33,369,2,0,0,0
Chris Conley,5,46.00,0,0,0,0,0,0,0,0,0,0,44,530,0,0,0,0
Albert Wilson,5,46.00,0,0,0,0,0,0,2,50,1,0,31,279,2,0,0,0
Nelson Agholor,4,45.00,0,0,0,0,0,0,5,14,0,0,36,365,2,1,0,0
Dorial Green-Beckham,4,45.00,0,0,0,0,0,0,0,0,0,0,36,392,2,0,0,0
Andrew Hawkins,13,44.00,0,0,0,0,0,0,2,0,0,0,33,324,3,0,0,0
Danny Amendola,9,43.00,0,0,0,0,0,0,0,0,0,0,23,243,4,0,1,0
Russell Shepard,6,40.00,0,0,0,0,0,0,1,9,0,0,23,341,2,0,0,0
Torrey Smith,8,40.00,0,0,0,0,0,0,0,0,0,0,20,267,3,0,0,0
Brandon Coleman,5,39.00,0,0,0,0,0,0,0,0,0,0,26,281,3,0,0,0
Justin Hardy,11,39.00,0,0,0,0,0,0,0,0,0,0,21,203,4,0,0,0
Justin Hunter,10,39.00,0,0,0,0,0,0,0,0,0,0,10,189,4,0,0,0
Aldrick Robinson,11,39.00,0,0,0,0,0,0,0,0,0,0,20,323,2,0,0,0
Brice Butler,7,36.00,0,0,0,0,0,0,0,0,0,0,16,219,3,0,0,0
Quinton Patton,8,36.00,0,0,0,0,0,0,0,0,0,0,37,408,0,0,0,0
Josh Bellamy,9,34.00,0,0,0,0,0,0,4,37,0,0,19,282,1,0,0,0
Darrius Heyward-Bey,8,34.00,0,0,0,0,0,0,1,60,1,0,6,114,2,0,0,0
Kamar Aiken,8,33.00,0,0,0,0,0,0,0,0,0,0,29,328,1,0,0,0
Deonte Thompson,9,33.00,0,0,0,0,0,0,0,0,0,0,22,249,2,0,1,0
Bryan Walters,5,32.00,0,0,0,0,0,0,1,4,0,0,24,231,2,0,1,0
Cobi Hamilton,7,31.00,0,0,0,0,0,0,0,0,0,0,17,234,2,0,0,0
Paul Richardson,5,31.00,0,0,0,0,0,0,1,5,0,0,21,288,1,0,0,0
Geronimo Allison,4,30.00,0,0,0,0,0,0,0,0,0,0,12,202,2,0,0,0
Eric Decker,11,30.00,0,0,0,0,0,0,0,0,0,0,9,194,2,0,0,0
Philly Brown,7,28.00,0,0,0,0,0,0,2,6,0,0,27,276,1,0,1,0
Andre Holmes,10,27.00,0,0,0,0,0,0,0,0,0,0,14,126,3,0,0,0
Rod Streater,5,27.00,0,0,0,0,0,0,0,0,0,0,18,191,2,0,0,0
Jordan Taylor,11,27.00,0,0,0,0,0,0,0,0,0,0,16,209,2,0,1,0
Tanner McEvoy,5,25.00,1,1,43,0,0,0,0,0,0,0,9,140,2,0,0,0
Chester Rogers,10,25.00,0,0,0,0,0,0,0,0,0,0,19,273,0,0,0,0
Bennie Fowler,11,23.00,0,0,0,0,0,0,0,0,0,0,11,145,2,0,0,0
Jalin Marshall,11,23.00,0,0,0,0,0,0,0,0,0,0,14,162,2,0,2,0
Jaron Brown,9,21.00,0,0,0,0,0,0,0,0,0,0,11,187,1,0,0,0
Marquess Wilson,9,21.00,0,0,0,0,0,0,0,0,0,0,9,160,1,0,0,0
Jeff Janis,4,20.00,0,0,0,0,0,0,2,38,1,0,11,93,1,0,0,0
Jordan Norwood,11,20.00,0,0,0,0,0,0,1,0,0,0,21,232,1,0,3,0
Charone Peake,11,20.00,0,0,0,0,0,0,0,0,0,0,19,186,0,0,0,1
Harry Douglas,13,19.00,0,0,0,0,0,0,0,0,0,0,15,210,0,0,0,0
Andre Johnson,13,19.00,0,0,0,0,0,0,0,0,0,0,9,85,2,0,0,0
Charles Johnson,6,19.00,0,0,0,0,0,0,0,0,0,0,20,232,0,0,0,0
Andre Roberts,9,19.00,0,0,0,0,0,0,0,0,0,0,14,188,1,0,1,0
Roger Lewis,8,18.00,0,0,0,0,0,0,0,0,0,0,7,97,2,0,0,0
Ricardo Louis,13,18.00,0,0,0,0,0,0,0,0,0,0,18,205,0,0,0,0
Cody Core,9,17.00,0,0,0,0,0,0,0,0,0,0,17,200,0,0,0,0
Freddie Martino,4,17.00,0,0,0,0,0,0,0,0,0,0,8,142,1,0,0,0
Kevin White,9,17.00,0,0,0,0,0,0,1,9,0,0,19,187,0,0,0,0
Arrelious Benn,5,15.00,0,0,0,0,0,0,0,0,0,0,5,116,1,0,0,0
Josh Huff,6,15.00,1,0,0,0,0,0,4,15,0,0,16,113,1,0,0,0
Vincent Jackson,6,14.00,0,0,0,0,0,0,0,0,0,0,15,173,0,0,0,0
Greg Salas,10,14.00,0,0,0,0,0,0,0,0,0,0,4,89,1,0,0,0
Braxton Miller,9,13.00,0,0,0,0,0,0,3,0,0,0,15,99,1,0,0,0
Cecil Shorts,9,13.00,0,0,0,0,0,0,0,0,0,0,11,152,0,0,0,0
Brandon Tate,10,13.00,0,0,0,0,0,0,3,48,0,0,8,117,0,0,0,0
Paul Turner,4,12.00,0,0,0,0,0,0,0,0,0,0,9,126,0,0,0,0
Markus Wheaton,8,12.00,0,0,0,0,0,0,0,0,0,0,4,51,1,1,0,0
Brittan Golden,9,11.00,0,0,0,0,0,0,0,0,0,0,8,82,1,0,1,0
Walter Powell,10,11.00,0,0,0,0,0,0,0,0,0,0,14,142,0,0,0,0
Jaelen Strong,9,11.00,0,0,0,0,0,0,0,0,0,0,14,131,0,0,0,0
Jarius Wright,6,11.00,0,0,0,0,0,0,0,0,0,0,11,67,1,0,0,0
Demarcus Ayers,8,10.00,0,0,0,0,0,0,2,-12,0,0,6,53,1,0,0,0
Chris Harper,9,10.00,0,0,0,0,0,0,0,0,0,0,13,133,0,0,0,0
Jeremy Ross,9,9.00,0,0,0,0,0,0,0,0,0,0,4,37,1,0,0,0
Leonte Carroo,8,8.00,0,0,0,0,0,0,0,0,0,0,3,29,1,0,0,0
James Wright,9,8.00,0,0,0,0,0,0,2,-6,0,0,13,106,0,0,0,0
Trevor Davis,4,7.00,0,0,0,0,0,0,0,0,0,0,3,24,1,0,1,0
T.J. Jones,10,7.00,0,0,0,0,0,0,0,0,0,0,5,93,0,0,0,0
Tommylee Lewis,5,7.00,0,0,0,0,0,0,3,11,0,0,7,76,0,0,0,0
Bryce Treggs,4,7.00,0,0,0,0,0,0,2,7,0,0,3,80,0,0,0,0
Wendall Williams,11,7.00,0,0,0,0,0,0,0,0,0,0,4,75,0,0,0,0
Keenan Allen,11,6.00,0,0,0,0,0,0,0,0,0,0,6,63,0,0,0,0
Michael Campanaro,8,6.00,0,0,0,0,0,0,3,72,0,0,0,0,0,0,0,0
Pharoh Cooper,8,6.00,1,0,0,0,1,0,0,0,0,0,14,106,0,0,0,0
Dwayne Harris,8,6.00,0,0,0,0,0,0,0,0,0,0,1,13,1,0,1,0
Rashard Higgins,13,6.00,0,0,0,0,0,0,0,0,0,0,6,77,0,0,0,0
Cody Latimer,11,6.00,0,0,0,0,0,0,0,0,0,0,8,76,0,0,0,0
Lucky Whitehead,7,6.00,0,0,0,0,0,0,10,82,0,0,3,48,0,0,1,0
Aaron Burbridge,8,5.00,0,0,0,0,0,0,0,0,0,0,7,88,0,0,1,0
Josh Doctson,9,5.00,0,0,0,0,0,0,0,0,0,0,2,66,0,0,0,0
Ryan Grant,9,5.00,0,0,0,0,0,0,0,0,0,0,9,76,0,0,0,0
Maurice Harris,9,5.00,0,0,0,0,0,0,0,0,0,0,8,66,0,0,0,0
Johnny Holton,10,5.00,0,0,0,0,0,0,6,43,0,0,2,34,0,0,1,0
Keith Mumphery,9,5.00,0,0,0,0,0,0,0,0,0,0,10,69,0,0,0,0
Nick Williams,11,5.00,0,0,0,0,0,0,0,0,0,0,5,59,0,0,0,0
Alex Erickson,9,4.00,0,0,0,0,0,0,0,0,0,0,6,71,0,0,0,0
Tavarres King,8,4.00,0,0,0,0,0,0,0,0,0,0,2,50,0,0,0,0
De'Anthony Thomas,5,4.00,0,0,0,0,0,0,4,29,0,0,7,35,0,0,0,0
Bradley Marquez,8,3.00,0,0,0,0,0,0,1,2,0,0,3,37,0,0,0,0
