
Team,Pts*,Sack,Int,Saf,FR,Blk,TD,PA,PassYds/G,RushYds/G,TotYds/G
Los Angeles Rams,9,183.00,53.0,14,1,8,1,4,296,190.7,91.2,281.9
Indianapolis Colts,7,176.00,40.0,15,3,10,1,6,362,241.6,90.5,332.1
Baltimore Ravens,7,176.00,39.0,10,2,12,0,4,303,221.0,108.8,329.8
Pittsburgh Steelers,4,175.00,56.0,18,1,9,0,3,312,194.4,111.4,305.8
Miami Dolphins,7,175.00,41.0,18,0,11,1,3,338,251.5,116.4,367.9
Washington Football Team,8,163.00,47.0,16,1,7,0,3,329,191.8,112.8,304.6
New Orleans Saints,6,157.00,45.0,18,1,8,1,1,337,217.0,93.9,310.9
Tampa Bay Buccaneers,13,151.00,48.0,15,1,10,1,1,355,246.6,80.6,327.1
Buffalo Bills,11,149.00,38.0,15,0,11,0,4,375,232.9,119.6,352.5
Kansas City Chiefs,10,148.00,32.0,16,1,6,1,4,362,236.2,122.1,358.3
New York Giants,11,140.00,40.0,11,0,11,0,2,357,237.9,111.4,349.3
Arizona Cardinals,8,139.00,48.0,11,1,10,2,0,367,226.4,125.5,351.9
New England Patriots,5,139.00,24.0,18,0,4,2,4,353,222.3,131.4,353.8
Seattle Seahawks,6,136.00,46.0,14,3,8,2,0,371,285.0,95.6,380.6
Cleveland Browns,9,135.00,38.0,11,2,10,3,2,419,247.6,110.8,358.4
Philadelphia Eagles,9,133.00,49.0,8,1,11,2,3,418,237.4,125.8,363.1
Chicago Bears,11,127.00,35.0,10,1,8,1,2,370,231.6,113.4,344.9
Green Bay Packers,5,126.00,41.0,11,1,7,0,2,369,221.2,112.8,334.0
Carolina Panthers,13,123.00,29.0,7,0,15,1,3,402,239.1,121.0,360.1
San Francisco 49ers,11,122.00,30.0,12,0,8,1,1,390,207.9,106.4,314.4
Dallas Cowboys,10,116.00,31.0,10,0,13,1,3,473,227.6,158.8,386.4
Denver Broncos,5,109.00,42.0,10,0,6,2,1,446,237.9,130.0,367.9
Atlanta Falcons,10,105.00,29.0,12,0,9,0,1,414,293.6,104.8,398.4
Los Angeles Chargers,6,103.00,27.0,12,1,7,2,2,426,223.6,119.8,343.4
Tennessee Titans,4,102.00,19.0,15,0,8,1,2,439,277.4,120.8,398.2
New York Jets,10,99.00,31.0,10,1,9,2,1,457,275.6,112.0,387.6
Minnesota Vikings,7,90.00,23.0,15,1,7,2,0,475,258.8,134.4,393.2
Cincinnati Bengals,9,84.00,17.0,11,0,6,0,1,424,241.2,148.0,389.2
Jacksonville Jaguars,8,81.00,18.0,12,0,5,1,3,492,264.4,153.2,417.7
Houston Texans,8,81.00,34.0,3,0,6,2,1,464,256.5,160.2,416.8
Detroit Lions,5,76.00,24.0,7,1,5,4,1,519,284.9,134.9,419.8
Las Vegas Raiders,6,75.00,21.0,10,0,5,2,0,478,263.2,125.8,389.1
