
Team,Pts*,Sack,Int,Saf,FR,Blk,TD,PA,PassYds/G,RushYds/G,TotYds/G
Chicago Bears,6,256.00,41.0,24,0,20,2,10,277,213.9,101.7,315.6
Seattle Seahawks,11,219.00,36.0,18,0,13,2,6,245,203.1,103.1,306.2
Denver Broncos,7,216.00,52.0,16,2,8,1,8,289,199.6,91.1,290.8
New England Patriots,9,211.00,37.0,20,1,21,0,7,331,271.4,101.9,373.2
Cincinnati Bengals,8,203.00,51.0,14,0,16,1,4,320,212.5,107.2,319.7
Houston Texans,8,197.00,44.0,15,1,14,2,5,331,225.8,97.5,323.2
San Diego Chargers,7,196.00,38.0,14,1,14,1,9,350,230.1,96.4,326.4
San Francisco 49ers,9,186.00,38.0,14,1,11,2,3,273,200.2,94.2,294.4
St. Louis Rams,9,184.00,52.0,17,1,4,2,5,348,225.1,117.5,342.6
Arizona Cardinals,10,179.00,38.0,22,0,11,3,4,357,200.8,137.0,337.8
Tennessee Titans,11,176.00,39.0,19,1,5,2,9,471,247.8,127.2,374.9
Minnesota Vikings,11,170.00,44.0,10,0,12,4,5,348,244.2,105.8,350.0
Green Bay Packers,10,170.00,47.0,18,0,5,1,4,336,218.2,118.5,336.8
Baltimore Ravens,8,167.00,37.0,13,0,12,0,5,344,228.1,122.8,350.9
New York Giants,11,166.00,33.0,21,0,14,0,3,344,254.2,129.1,383.4
Atlanta Falcons,7,161.00,29.0,20,0,11,0,2,299,242.4,123.2,365.6
Cleveland Browns,10,153.00,38.0,17,0,12,0,3,368,245.2,118.6,363.8
New York Jets,9,152.00,30.0,11,1,12,1,5,375,189.8,133.6,323.4
Carolina Panthers,6,150.00,39.0,11,1,12,0,3,363,223.0,110.1,333.1
Miami Dolphins,7,150.00,42.0,10,0,6,3,3,317,248.4,108.4,356.8
Buffalo Bills,8,149.00,36.0,12,1,9,4,4,435,217.1,145.8,362.9
Pittsburgh Steelers,4,149.00,37.0,10,0,10,1,1,314,185.2,90.6,275.8
Indianapolis Colts,4,148.00,32.0,12,0,3,0,6,387,236.8,137.5,374.2
Washington Redskins,10,147.00,32.0,21,0,10,0,4,388,281.9,95.8,377.7
New Orleans Saints,6,141.00,30.0,15,0,11,2,5,454,292.6,147.6,440.1
Tampa Bay Buccaneers,5,140.00,27.0,18,0,8,3,4,394,297.4,82.5,379.9
Dallas Cowboys,5,120.00,34.0,7,0,9,0,4,400,230.2,125.2,355.4
Oakland Raiders,5,96.00,25.0,11,0,8,3,0,443,235.9,118.6,354.5
Jacksonville Jaguars,6,94.00,20.0,12,0,11,1,1,444,239.5,141.0,380.5
Detroit Lions,5,94.00,34.0,11,1,6,1,0,437,223.1,118.1,341.1
Kansas City Chiefs,7,89.00,27.0,7,1,6,1,1,425,220.8,135.7,356.5
Philadelphia Eagles,7,81.00,30.0,8,0,5,1,1,444,216.9,126.3,343.2
