
Player,Pts*,XPA,XPM,FGA,FGM,50+
Justin Tucker,10,160.00,32,31,43,37,9
Daniel Carlson,6,159.00,36,35,37,34,11
Brett Maher,9,155.00,53,50,32,29,9
Jason Myers,11,155.00,42,41,37,34,6
Younghoe Koo,14,143.00,35,33,37,32,7
Nick Folk,10,136.00,35,32,37,32,4
Graham Gano,9,135.00,34,32,32,29,8
Robbie Gould,9,135.00,51,50,32,27,2
Tyler Bass,7,133.00,50,48,31,27,2
Eddy Pineiro,13,133.00,32,30,35,33,2
Riley Patterson,11,130.00,37,36,35,30,2
Greg Zuerlein,10,130.00,29,28,37,30,6
Matt Gay,7,129.00,32,31,30,28,7
Chase McLaughlin,14,129.00,21,21,36,30,9
Greg Joseph,7,126.00,46,40,33,26,4
Brandon McManus,9,125.00,27,25,36,28,8
Ka'imi Fairbairn,6,123.00,24,24,31,29,6
Jason Sanders,11,123.00,44,41,32,26,2
Evan McPherson,10,122.00,44,40,29,24,5
Jake Elliott,7,121.00,53,51,23,20,5
Ryan Succop,11,121.00,25,24,38,31,2
Cade York,9,115.00,37,35,32,24,4
Mason Crosby,14,114.00,39,37,29,25,1
Wil Lutz,14,110.00,33,33,31,23,4
Michael Badgley,6,109.00,33,33,28,24,2
Joey Slye,14,107.00,28,24,30,25,4
Harrison Butker,8,98.00,41,38,24,18,3
Cairo Santos,14,98.00,32,27,23,21,4
Matt Prater,13,93.00,18,17,25,22,5
Chris Boswell,9,92.00,18,18,28,20,7
Cameron Dicker,8,87.00,24,24,22,21,0
Randy Bullock,6,81.00,28,28,20,17,1
Matthew Wright,8,64.00,15,15,18,15,2
Dustin Hopkins,8,39.00,12,12,10,9,0
Austin Seibert,6,21.00,12,12,5,3,0
Matt Ammendola,14,20.00,7,5,7,5,0
Rodrigo Blankenship,13,18.00,5,4,5,4,1
Taylor Bertolet,8,15.00,6,6,3,3,0
Caleb Shudak,6,10.00,1,1,4,3,0
Tristan Vizcaino,10,9.00,3,3,2,2,0
Nick Sciba,9,7.00,1,1,2,2,0
Dominik Eberle,6,5.00,4,2,1,1,0
Josh Lambo,6,3.00,4,3,0,0,0
