
Player,Bye,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
Calvin Johnson,5,217.00,0,0,0,0,0,0,0,0,0,0,122,"1,964",5,0,3,0
Brandon Marshall,6,210.00,0,0,0,0,0,0,1,-2,0,0,118,"1,508",11,0,0,0
Dez Bryant,5,203.00,0,0,0,0,0,0,2,-5,0,0,92,"1,382",12,1,2,0
A.J. Green,8,195.00,0,0,0,0,0,0,4,38,0,0,97,"1,350",11,0,1,0
Demaryius Thomas,7,194.00,0,0,0,0,0,0,0,0,0,0,94,"1,434",10,0,3,0
Vincent Jackson,5,181.00,0,0,0,0,0,0,0,0,0,0,72,"1,384",8,1,0,0
Eric Decker,7,176.00,0,0,0,0,0,0,0,0,0,0,85,"1,064",13,0,0,0
Andre Johnson,8,176.00,0,0,0,0,0,0,0,0,0,0,112,"1,598",4,0,0,0
Julio Jones,7,173.00,0,0,0,0,0,0,6,30,0,0,79,"1,198",10,0,0,0
Roddy White,7,169.00,0,0,0,0,0,0,0,0,0,0,92,"1,351",7,0,0,0
Marques Colston,6,168.00,0,0,0,0,0,0,0,0,0,0,83,"1,154",10,0,2,0
Wes Welker,9,164.00,0,0,0,0,0,0,2,20,0,0,118,"1,354",6,0,1,0
Victor Cruz,11,162.00,0,0,0,0,0,0,0,0,0,0,86,"1,092",10,0,0,0
Michael Crabtree,9,159.00,0,0,0,0,0,0,1,8,0,0,85,"1,105",9,0,0,0
Reggie Wayne,4,159.00,0,0,0,0,0,0,1,-5,0,0,106,"1,355",5,0,1,0
James Jones,10,158.00,0,0,0,0,0,0,0,0,0,0,64,784,14,0,0,0
Mike Williams,5,146.00,1,1,28,0,0,0,0,0,0,0,63,996,9,0,0,0
Randall Cobb,10,145.00,0,0,0,0,0,0,10,132,0,0,80,954,8,0,1,0
Lance Moore,6,137.00,0,0,0,0,0,0,0,0,0,0,65,"1,041",6,0,0,0
Steve Smith,6,136.00,0,0,0,0,0,0,3,27,0,0,73,"1,174",4,0,1,0
Cecil Shorts,6,133.00,0,0,0,0,0,0,1,-4,0,0,55,979,7,0,1,0
Stevie Johnson,8,132.00,0,0,0,0,0,0,0,0,0,0,79,"1,046",6,0,1,0
T.Y. Hilton,4,127.00,1,0,0,0,0,0,5,29,0,0,50,861,7,0,0,0
Torrey Smith,8,127.00,0,0,0,0,0,0,3,9,0,0,49,855,8,0,0,0
Mike Wallace,4,124.00,0,0,0,0,0,0,5,7,0,0,64,836,8,0,1,0
Miles Austin,5,122.00,0,0,0,0,0,0,0,0,0,0,66,943,6,0,1,0
Jeremy Maclin,7,120.00,0,0,0,0,0,0,0,0,0,0,69,857,7,0,1,0
Brandon Lloyd,9,114.00,0,0,0,0,0,0,0,0,0,0,74,911,4,0,0,1
Jordy Nelson,10,114.00,0,0,0,0,0,0,0,0,0,0,49,745,7,1,0,0
Justin Blackmon,6,112.00,0,0,0,0,0,0,2,23,0,0,64,865,5,1,0,0
Anquan Boldin,8,111.00,0,0,0,0,0,0,1,3,0,0,65,921,4,1,0,0
Sidney Rice,11,111.00,2,1,25,0,0,0,2,6,0,0,50,748,7,0,0,0
Denarius Moore,5,110.00,0,0,0,0,0,0,1,-5,0,0,51,741,7,0,0,0
Golden Tate,11,110.00,1,1,23,1,0,0,3,20,0,0,45,688,7,0,1,0
Brian Hartline,7,106.00,0,0,0,0,0,0,0,0,0,0,74,"1,083",1,0,1,0
Malcom Floyd,7,105.00,0,0,0,0,0,0,0,0,0,0,56,814,5,0,0,0
Danario Alexander,7,104.00,1,0,0,0,0,0,0,0,0,0,37,658,7,0,0,0
Josh Gordon,10,101.00,0,0,0,0,0,0,0,0,0,0,50,805,5,0,1,0
Santana Moss,10,100.00,0,0,0,0,0,0,3,14,0,0,41,573,8,0,1,0
Andre Roberts,10,100.00,0,0,0,0,0,0,4,29,0,0,64,759,5,0,0,0
Larry Fitzgerald,10,99.00,0,0,0,0,0,0,0,0,0,0,71,798,4,0,0,0
Antonio Brown,4,98.00,2,0,0,0,1,0,7,24,0,0,66,787,5,0,2,0
Percy Harvin,11,94.00,0,0,0,0,0,0,22,96,1,0,62,677,3,0,1,0
Brandon Gibson,9,93.00,0,0,0,0,0,0,0,0,0,0,51,691,5,0,0,0
Dwayne Bowe,7,92.00,0,0,0,0,0,0,0,0,0,0,59,801,3,0,1,0
Nate Washington,11,92.00,0,0,0,0,0,0,0,0,0,0,46,746,4,0,0,0
Donnie Avery,4,90.00,0,0,0,0,0,0,4,9,0,0,60,781,3,0,0,0
Darrius Heyward-Bey,5,89.00,0,0,0,0,0,0,2,16,0,0,41,606,5,0,0,0
Pierre Garcon,10,88.00,0,0,0,0,0,0,2,9,0,0,44,633,4,0,0,1
Brandon LaFell,6,88.00,0,0,0,0,0,0,3,35,0,0,44,677,4,0,0,0
Jeremy Kerley,9,86.00,1,1,42,0,0,0,5,8,0,0,56,827,2,0,3,0
