
Player,Bye,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
Todd Gurley,8,304.00,0,0,0,0,0,0,279,"1,305",13,0,64,788,6,0,2,0
Le'Veon Bell,9,242.00,0,0,0,0,0,0,321,"1,291",9,0,85,655,2,0,2,0
Kareem Hunt,10,230.00,0,0,0,0,0,0,272,"1,327",8,0,53,455,3,0,1,0
Alvin Kamara,5,221.00,0,0,0,0,0,0,120,728,8,1,81,826,5,0,1,0
Melvin Gordon,9,215.00,0,0,0,0,0,0,284,"1,105",8,0,58,476,4,0,0,0
Mark Ingram,5,209.00,0,0,0,0,0,0,230,"1,124",12,0,58,416,0,0,3,0
LeSean McCoy,6,194.00,0,0,0,0,0,0,287,"1,138",6,0,59,448,2,0,1,0
Leonard Fournette,8,183.00,0,0,0,0,0,0,268,"1,040",9,0,36,302,1,0,0,0
Ezekiel Elliott,6,170.00,0,0,0,0,0,0,242,983,7,0,26,269,2,0,1,0
Jordan Howard,9,165.00,0,0,0,0,0,0,276,"1,122",9,0,23,125,0,0,1,0
Carlos Hyde,11,161.00,0,0,0,0,0,0,240,938,8,0,59,350,0,0,1,0
Devonta Freeman,5,154.00,0,0,0,0,0,0,196,865,7,0,36,317,1,0,1,0
Dion Lewis,9,154.00,0,0,0,0,0,0,180,896,6,0,32,214,3,0,0,0
Lamar Miller,7,145.00,0,0,0,0,0,0,238,888,3,0,36,327,3,0,0,0
Alex Collins,6,142.00,0,0,0,0,0,0,212,973,6,0,23,187,0,0,2,0
Duke Johnson,9,136.00,0,0,0,0,0,0,82,348,4,0,74,693,3,0,2,0
Marshawn Lynch,10,134.00,0,0,0,0,0,0,207,891,7,0,20,151,0,0,1,0
Christian McCaffrey,11,134.00,0,0,0,0,0,0,117,435,2,0,80,651,5,0,1,0
C.J. Anderson,5,133.00,0,0,0,0,0,0,245,"1,007",3,0,28,224,1,1,1,0
