
Team,Pts*,Sack,Int,Saf,FR,Blk,TD,PA,PassYds/G,RushYds/G,TotYds/G
Pittsburgh Steelers,5,228.00,48.0,21,0,14,1,4,232,214.1,62.8,276.8
New England Patriots,5,224.00,36.0,25,0,13,2,9,313,258.5,108.0,366.5
Green Bay Packers,10,213.00,47.0,24,0,8,0,4,240,194.2,114.9,309.1
New York Jets,7,201.00,40.0,12,2,18,1,5,304,200.6,90.9,291.5
Chicago Bears,8,200.00,34.0,21,0,14,2,4,286,224.2,90.1,314.3
Arizona Cardinals,6,190.00,33.0,17,0,13,3,10,434,228.4,145.2,373.6
Oakland Raiders,10,188.00,47.0,12,2,12,2,7,371,189.2,133.6,322.8
New York Giants,8,186.00,46.0,16,0,23,2,0,347,209.5,101.2,310.8
Atlanta Falcons,8,179.00,31.0,22,0,9,0,5,288,226.6,105.9,332.4
Seattle Seahawks,5,174.00,37.0,12,1,10,4,6,407,249.6,118.9,368.6
Baltimore Ravens,8,173.00,27.0,19,0,8,0,4,270,224.9,93.9,318.9
Detroit Lions,7,172.00,44.0,14,1,15,0,4,369,218.6,124.9,343.6
Dallas Cowboys,4,171.00,35.0,20,0,10,1,7,436,243.4,108.4,351.8
Kansas City Chiefs,4,169.00,39.0,14,0,9,0,4,326,219.9,110.2,330.2
Tennessee Titans,9,167.00,40.0,17,2,8,2,3,339,252.0,115.7,367.7
San Diego Chargers,10,161.00,47.0,16,1,7,0,3,322,177.8,93.8,271.6
Cleveland Browns,8,159.00,29.0,19,0,9,3,3,332,220.7,129.4,350.1
St. Louis Rams,9,158.00,43.0,14,1,12,2,0,328,223.6,113.1,336.8
Tampa Bay Buccaneers,4,157.00,26.0,19,0,9,0,4,318,201.0,131.7,332.7
Philadelphia Eagles,8,157.00,39.0,23,0,11,0,3,377,216.8,110.4,327.2
New Orleans Saints,10,156.00,33.0,9,1,16,1,2,307,193.9,112.3,306.2
San Francisco 49ers,9,154.00,36.0,15,0,7,1,5,346,231.1,96.7,327.8
Washington Redskins,9,151.00,29.0,14,0,13,2,3,377,261.7,127.6,389.2
Miami Dolphins,5,144.00,39.0,11,1,8,1,1,333,209.2,100.1,309.3
Minnesota Vikings,4,139.00,31.0,15,0,11,0,3,348,210.4,102.2,312.6
Indianapolis Colts,7,138.00,30.0,10,0,11,1,5,388,214.6,127.0,341.6
Buffalo Bills,6,132.00,27.0,11,0,11,0,4,425,192.0,169.6,361.6
Carolina Panthers,6,129.00,31.0,17,1,12,1,1,408,212.1,123.8,335.9
Cincinnati Bengals,6,127.00,27.0,16,0,10,0,2,395,216.8,115.2,332.0
Jacksonville Jaguars,9,99.00,26.0,13,0,5,1,1,419,250.2,121.6,371.8
Denver Broncos,9,91.00,23.0,10,0,8,0,2,471,236.2,154.6,390.8
Houston Texans,7,87.00,30.0,13,0,5,1,0,427,267.5,109.4,376.9
