
Player,Pts*,XPA,XPM,FGA,FGM,50+
Stephen Gostkowski,4,159.00,52,52,36,33,4
Graham Gano,5,150.00,59,56,36,30,2
Blair Walsh,5,147.00,37,33,39,34,6
Robbie Gould,7,141.00,29,28,39,33,7
Josh Brown,11,140.00,45,44,32,30,3
Stephen Hauschka,9,139.00,44,40,31,29,6
Chandler Catanzaro,9,137.00,58,53,31,28,0
Cairo Santos,9,137.00,41,39,37,30,4
Justin Tucker,9,136.00,29,29,40,33,4
Brandon McManus,7,135.00,36,35,35,30,5
Dan Bailey,6,125.00,25,25,32,30,5
Mike Nugent,7,121.00,49,48,28,23,2
Dustin Hopkins,11,118.00,40,39,28,25,2
Chris Boswell,11,117.00,27,26,32,29,2
Mason Crosby,7,116.00,36,36,28,24,4
Jason Myers,8,116.00,39,32,30,26,3
Adam Vinatieri,10,115.00,35,32,27,25,4
Josh Lambo,10,114.00,32,28,32,26,4
Matt Prater,9,112.00,39,36,24,22,5
Dan Carpenter,8,109.00,40,34,27,23,3
Sebastian Janikowski,6,109.00,39,38,26,21,4
Travis Coons,11,106.00,24,22,32,28,0
Connor Barth,6,100.00,26,25,28,23,3
Phil Dawson,10,98.00,21,20,27,24,3
Caleb Sturgis,5,93.00,37,35,22,18,2
Greg Zuerlein,6,92.00,28,26,30,20,3
Nick Novak,9,87.00,31,29,21,18,2
Randy Bullock,5,79.00,25,22,23,19,0
Andrew Franks,5,74.00,36,33,16,13,1
Ryan Succop,4,73.00,31,29,16,14,1
Matt Bryant,10,68.00,26,26,18,14,0
Kai Forbath,11,68.00,35,34,15,10,2
Nick Folk,5,62.00,19,19,16,13,2
Shayne Graham,11,47.00,8,8,13,11,3
Zach Hocker,6,44.00,13,12,14,10,1
Kyle Brindza,6,28.00,8,6,12,6,2
Josh Scobee,11,24.00,7,6,10,6,0
Cody Parkey,8,16.00,7,7,4,3,0
