,,Passing,,,,,,Rushing,,,,Receiving,,,,Fumbles,
Player,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
Aaron Rodgers,34.00,42,25,346,3,0,1,6,28,0,0,0,0,0,0,1,0
Jay Cutler,33.00,34,23,176,4,0,0,5,25,0,0,0,0,0,0,0,0
Philip Rivers,30.00,37,28,284,3,0,0,11,17,0,0,0,0,0,0,0,0
Antonio Gates,27.00,0,0,0,0,0,0,0,0,0,0,7,96,3,0,0,0
Peyton Manning,27.00,26,21,242,3,0,0,1,-1,0,0,0,0,0,0,0,0
Jordy Nelson,26.00,0,0,0,0,0,0,0,0,0,0,9,209,1,0,0,0
Andrew Luck,24.00,34,20,172,3,1,0,4,20,0,0,0,0,0,0,0,0
Jimmy Graham,23.00,0,0,0,0,0,0,0,0,0,0,10,118,2,0,0,0
Darren Sproles,23.00,0,0,0,0,0,0,4,26,1,0,7,152,0,0,0,0
Giovani Bernard,22.00,0,0,0,0,0,0,27,90,1,0,5,79,0,0,0,0
Kirk Cousins,22.00,33,22,250,2,0,0,1,-1,0,0,0,0,0,0,0,0
Brandon Marshall,22.00,0,0,0,0,0,0,0,0,0,0,5,48,3,0,0,0
Ahmad Bradshaw,21.00,0,0,0,0,0,0,13,70,0,0,5,26,2,0,0,0
Knile Davis,21.00,0,0,0,0,0,0,22,79,2,0,6,26,0,0,0,0
DeMarco Murray,21.00,0,0,0,0,0,0,29,167,1,0,1,6,0,0,1,0
Russell Wilson,21.00,25,17,202,2,0,0,2,18,0,0,0,0,0,0,0,0
Arian Foster,20.00,0,0,0,0,0,0,28,138,1,0,2,12,0,0,0,0
Alfred Morris,20.00,0,0,0,0,0,0,22,85,2,0,0,0,0,0,0,0
Cam Newton,20.00,34,22,281,1,0,1,4,19,0,0,0,0,0,0,0,0
Delanie Walker,20.00,0,0,0,0,0,0,0,0,0,0,10,142,1,0,0,0
Drew Brees,19.00,40,27,237,2,1,0,1,3,0,0,0,0,0,0,0,0
Nick Foles,19.00,37,21,331,1,1,0,4,22,0,0,0,0,0,0,0,0
Eli Manning,19.00,39,26,277,2,2,0,1,5,0,0,0,0,0,0,0,0
Geno Smith,19.00,32,16,176,1,1,0,7,26,1,0,0,0,0,0,0,0
Joe Flacco,18.00,29,21,166,2,0,0,5,3,0,0,0,0,0,0,0,0
Derek Carr,17.00,42,27,263,1,2,0,4,58,0,0,0,0,0,0,0,0
Randall Cobb,17.00,0,0,0,0,0,0,2,6,0,0,5,39,2,1,0,0
Ryan Fitzpatrick,17.00,19,14,139,2,0,0,0,0,0,0,0,0,0,0,0,0
Josh McCown,17.00,21,16,179,0,1,0,2,6,2,0,0,0,0,0,0,0
Bobby Rainey,17.00,0,0,0,0,0,0,22,144,0,0,3,30,0,0,0,0
Sammy Watkins,17.00,0,0,0,0,0,0,0,0,0,0,8,117,1,0,0,0
Dez Bryant,16.00,0,0,0,0,0,0,0,0,0,0,10,103,1,0,0,0
Andy Dalton,16.00,23,15,252,1,0,0,3,6,0,0,0,0,0,0,0,0
Mark Ingram,16.00,0,0,0,0,0,0,11,83,1,0,3,21,0,0,0,0
James Jones,16.00,0,0,0,0,0,0,0,0,0,0,9,112,1,0,1,0
Stevan Ridley,16.00,0,0,0,0,0,0,25,101,1,0,0,0,0,0,0,0
Mohamed Sanu,16.00,1,1,50,0,0,0,0,0,0,0,3,84,1,0,0,0
Jeremy Hill,15.00,0,0,0,0,0,0,15,74,1,0,2,22,0,0,0,0
LeSean McCoy,15.00,0,0,0,0,0,0,19,79,1,0,4,23,0,0,0,0
Niles Paul,15.00,0,0,0,0,0,0,0,0,0,0,8,99,1,0,0,0
Matthew Stafford,15.00,48,27,291,1,1,0,1,8,0,0,0,0,0,0,0,0
Michael Crabtree,14.00,0,0,0,0,0,0,0,0,0,0,7,82,1,0,0,0
Owen Daniels,14.00,0,0,0,0,0,0,0,0,0,0,5,28,2,0,0,0
Julian Edelman,14.00,0,0,0,0,0,0,1,9,0,0,6,81,1,0,0,0
Brian Hoyer,14.00,40,24,204,1,0,0,0,0,0,0,0,0,0,0,0,0
Julio Jones,14.00,0,0,0,0,0,0,0,0,0,0,7,88,1,0,0,0
Colin Kaepernick,14.00,34,21,248,1,3,0,9,64,0,0,0,0,0,0,1,0
E.J. Manuel,14.00,26,16,202,1,0,0,4,6,0,0,0,0,0,0,0,0
Alex Smith,14.00,42,26,255,0,0,0,5,42,0,0,0,0,0,0,0,0
Ryan Tannehill,14.00,49,31,241,1,1,0,4,11,0,0,0,0,0,0,0,0
Terrance West,14.00,0,0,0,0,0,0,19,68,1,0,2,22,0,0,0,0
Matt Asiata,13.00,0,0,0,0,0,0,13,36,0,0,5,48,1,0,0,0
Frank Gore,13.00,0,0,0,0,0,0,13,63,1,0,2,12,0,0,0,0
Marcedes Lewis,13.00,0,0,0,0,0,0,0,0,0,0,2,71,1,0,0,0
Tony Romo,13.00,29,19,176,1,0,0,0,0,0,0,0,0,0,0,0,0
Eric Decker,12.00,0,0,0,0,0,0,0,0,0,0,4,63,1,0,0,0
Chad Henne,12.00,28,14,193,1,1,0,3,17,0,0,0,0,0,0,0,0
Darren McFadden,12.00,0,0,0,0,0,0,12,37,1,0,2,31,0,0,0,0
Zac Stacy,12.00,0,0,0,0,0,0,19,71,1,0,0,0,0,0,1,0
Demaryius Thomas,12.00,0,0,0,0,0,0,0,0,0,0,5,62,1,0,0,0
Jason Avant,11.00,0,0,0,0,0,0,0,0,0,0,5,54,1,0,0,0
Tom Brady,11.00,21,14,149,1,0,0,1,0,0,0,0,0,0,0,0,0
Jake Locker,11.00,34,18,234,1,2,0,2,9,0,0,0,0,0,0,0,0
Marshawn Lynch,11.00,0,0,0,0,0,0,6,36,0,0,4,27,1,0,0,0
Matt Ryan,11.00,44,24,231,1,3,0,3,28,0,0,0,0,0,0,0,0
Jonathan Stewart,11.00,0,0,0,0,0,0,15,37,1,0,1,22,0,0,0,0
Mike Wallace,11.00,0,0,0,0,0,0,0,0,0,0,5,56,1,0,0,0
Miles Austin,10.00,0,0,0,0,0,0,0,0,0,0,6,44,1,0,0,0
Antonio Brown,10.00,0,0,0,0,0,0,2,10,0,0,7,90,0,0,0,0
Andre Ellington,10.00,0,0,0,0,0,0,15,91,0,0,1,10,0,0,0,0
Chris Ivory,10.00,0,0,0,0,0,0,13,44,1,0,1,3,0,0,0,0
Jeremy Maclin,10.00,0,0,0,0,0,0,0,0,0,0,4,45,1,0,0,0
Silas Redd,10.00,0,0,0,0,0,0,8,41,1,0,0,0,0,0,0,0
Emmanuel Sanders,10.00,0,0,0,0,0,0,1,-2,0,0,8,108,0,0,0,0
Le'Veon Bell,9.00,0,0,0,0,0,0,11,59,0,0,5,48,0,0,0,0
Martellus Bennett,9.00,0,0,0,0,0,0,0,0,0,0,7,37,1,0,0,0
Austin Davis,9.00,29,22,235,0,0,0,1,0,0,0,0,0,0,0,0,0
Jonathan Dwyer,9.00,0,0,0,0,0,0,9,31,1,0,0,0,0,0,0,0
Percy Harvin,9.00,0,0,0,0,0,0,2,45,1,0,1,5,0,0,1,0
Rashad Jennings,9.00,0,0,0,0,0,0,18,64,0,0,4,45,0,0,1,0
Bernard Pierce,9.00,0,0,0,0,0,0,22,96,0,0,1,7,0,0,0,0
Rueben Randle,9.00,0,0,0,0,0,0,0,0,0,0,4,39,1,0,0,0
Julius Thomas,9.00,0,0,0,0,0,0,0,0,0,0,4,39,1,0,0,0
Robert Turbin,9.00,0,0,0,0,0,0,2,7,0,0,2,35,1,0,0,0
Montee Ball,8.00,0,0,0,0,0,0,12,60,0,0,3,29,0,0,0,0
Joique Bell,8.00,0,0,0,0,0,0,10,36,0,0,6,61,0,0,1,0
Larry Donnell,8.00,0,0,0,0,0,0,0,0,0,0,7,81,0,0,0,0
Zach Ertz,8.00,0,0,0,0,0,0,0,0,0,0,4,86,0,0,0,0
DeAndre Hopkins,8.00,0,0,0,0,0,0,0,0,0,0,3,22,1,0,0,0
Calvin Johnson,8.00,0,0,0,0,0,0,0,0,0,0,6,83,0,0,0,0
Travis Kelce,8.00,0,0,0,0,0,0,0,0,0,0,4,81,0,0,0,0
Darrel Young,8.00,0,0,0,0,0,0,0,0,0,0,2,27,1,0,0,0
Matt Cassel,7.00,36,19,202,1,4,0,3,16,0,0,0,0,0,0,0,0
Jack Doyle,7.00,0,0,0,0,0,0,0,0,0,0,2,12,1,0,0,0
Andrew Hawkins,7.00,0,0,0,0,0,0,0,0,0,0,6,70,0,0,0,0
Andre Johnson,7.00,0,0,0,0,0,0,0,0,0,0,6,74,0,0,0,0
Greg Olsen,7.00,0,0,0,0,0,0,0,0,0,0,6,72,0,0,0,0
Brian Quick,7.00,0,0,0,0,0,0,0,0,0,0,7,74,0,0,0,0
Trent Richardson,7.00,0,0,0,0,0,0,21,79,0,0,1,16,0,0,1,0
Allen Robinson,7.00,0,0,0,0,0,0,0,0,0,0,4,75,0,0,0,0
Steve Smith,7.00,0,0,0,0,0,0,0,0,0,0,6,71,0,0,0,0
Jed Collins,6.00,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,0
Jerricho Cotchery,6.00,0,0,0,0,0,0,0,0,0,0,4,46,0,1,0,0
Victor Cruz,6.00,0,0,0,0,0,0,0,0,0,0,5,60,0,0,0,0
Daniel Fells,6.00,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0
Justin Forsett,6.00,0,0,0,0,0,0,8,56,0,0,4,16,0,0,0,0
T.Y. Hilton,6.00,0,0,0,0,0,0,0,0,0,0,6,65,0,0,0,0
Jermaine Kearse,6.00,0,0,0,0,0,0,0,0,0,0,4,61,0,0,0,0
Andre Roberts,6.00,0,0,0,0,0,0,1,19,0,0,4,57,0,0,0,0
Ben Roethlisberger,6.00,37,22,217,0,1,0,0,0,0,0,0,0,0,0,0,0
Eddie Royal,6.00,0,0,0,0,0,0,0,0,0,0,7,69,0,0,0,0
C.J. Spiller,6.00,0,0,0,0,0,0,12,69,0,0,1,9,0,0,0,0
Drew Stanton,6.00,29,14,167,0,0,0,2,-2,0,0,0,0,0,0,0,0
Jacob Tamme,6.00,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0
Davante Adams,5.00,0,0,0,0,0,0,0,0,0,0,5,50,0,0,0,0
Keenan Allen,5.00,0,0,0,0,0,0,0,0,0,0,5,55,0,0,0,0
Isaiah Crowell,5.00,0,0,0,0,0,0,11,54,0,0,1,3,0,0,0,0
Larry Fitzgerald,5.00,0,0,0,0,0,0,0,0,0,0,6,51,0,0,0,0
Ryan Grant,5.00,0,0,0,0,0,0,0,0,0,0,5,57,0,0,0,0
Vincent Jackson,5.00,0,0,0,0,0,0,0,0,0,0,4,51,0,0,0,0
Jeremy Kerley,5.00,0,0,0,0,0,0,0,37,0,0,3,22,0,0,0,0
Eddie Lacy,5.00,0,0,0,0,0,0,13,43,0,0,2,18,0,0,0,0
Ryan Mathews,5.00,0,0,0,0,0,0,11,31,0,0,2,26,0,0,0,0
Cordarrelle Patterson,5.00,0,0,0,0,0,0,0,0,0,0,4,56,0,0,0,0
Kyle Rudolph,5.00,0,0,0,0,0,0,0,0,0,0,5,53,0,0,0,0
Brandon Tate,5.00,0,0,0,0,0,0,0,0,0,0,1,50,0,0,0,0
Golden Tate,5.00,0,0,0,0,0,0,0,0,0,0,5,57,0,0,0,0
Markus Wheaton,5.00,0,0,0,0,0,0,2,22,0,0,5,38,0,0,0,0
Danny Woodhead,5.00,0,0,0,0,0,0,8,32,0,0,4,28,0,0,0,0
Gary Barnidge,4.00,0,0,0,0,0,0,0,0,0,0,4,41,0,0,0,0
Kelvin Benjamin,4.00,0,0,0,0,0,0,0,0,0,0,2,46,0,0,0,0
Alfred Blue,4.00,0,0,0,0,0,0,11,40,0,0,0,0,0,0,0,0
Dwayne Bowe,4.00,0,0,0,0,0,0,0,0,0,0,3,40,0,0,0,0
John Carlson,4.00,0,0,0,0,0,0,0,0,0,0,2,43,0,0,0,0
Derek Carrier,4.00,0,0,0,0,0,0,0,0,0,0,3,41,0,0,0,0
Jared Cook,4.00,0,0,0,0,0,0,0,0,0,0,4,46,0,0,0,0
Brandin Cooks,4.00,0,0,0,0,0,0,2,31,0,0,3,17,0,0,0,0
Mike Evans,4.00,0,0,0,0,0,0,0,0,0,0,4,49,0,0,0,0
Shonn Greene,4.00,0,0,0,0,0,0,5,40,0,0,0,0,0,0,0,0
Andre Holmes,4.00,0,0,0,0,0,0,0,0,0,0,5,45,0,0,0,0
Fred Jackson,4.00,0,0,0,0,0,0,12,24,0,0,2,27,0,0,0,0
Steven Jackson,4.00,0,0,0,0,0,0,11,46,0,0,1,7,0,0,0,0
Alshon Jeffery,4.00,0,0,0,0,0,0,0,0,0,0,3,47,0,0,0,0
Lamar Miller,4.00,0,0,0,0,0,0,11,46,0,0,2,7,0,0,0,0
