,,Passing,,,,,,Rushing,,,,Receiving,,,,Fumbles,
Player,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
Joe Burrow,45.00,42,34,481,3,0,0,3,20,1,0,0,0,0,0,0,0
Andy Dalton,34.00,47,30,361,4,3,0,4,21,0,0,0,0,0,0,0,0
Josh Jacobs,33.00,0,0,0,0,0,0,20,143,3,0,3,12,0,0,0,0
Patrick Mahomes,32.00,34,25,423,3,1,0,0,0,0,0,0,0,0,0,0,0
Daniel Jones,30.00,30,19,202,1,0,0,11,107,1,0,0,0,0,0,0,0
Kenneth Walker,28.00,0,0,0,0,0,0,23,167,2,0,0,0,0,0,0,0
Ja'Marr Chase,25.00,0,0,0,0,0,0,0,0,0,0,8,130,2,0,0,0
Justin Fields,25.00,21,13,179,1,1,0,14,82,1,0,0,0,0,0,0,0
Austin Ekeler,24.00,0,0,0,0,0,0,9,31,1,0,12,96,1,0,0,0
Mecole Hardman,23.00,0,0,0,0,0,0,2,28,2,0,4,32,1,0,0,0
Justin Herbert,22.00,51,33,293,2,1,0,3,22,0,0,1,-8,0,0,1,0
Davis Mills,22.00,41,28,302,2,1,0,0,0,0,0,0,0,0,0,0,0
Tyler Boyd,21.00,0,0,0,0,0,0,0,0,0,0,8,155,1,0,0,0
Jimmy Garoppolo,21.00,37,25,303,2,1,0,2,2,0,0,0,0,0,0,1,0
Eno Benjamin,19.00,0,0,0,0,0,0,12,92,1,1,4,21,0,0,0,0
Aaron Jones,19.00,0,0,0,0,0,0,8,23,0,0,9,53,2,0,0,0
Kyler Murray,19.00,29,20,204,1,0,1,7,30,0,0,0,0,0,0,0,0
Aaron Rodgers,19.00,35,23,194,2,0,0,0,0,0,0,0,0,0,0,0,0
Phillip Walker,19.00,22,16,177,2,0,0,0,0,0,0,0,0,0,0,0,0
Gus Edwards,18.00,0,0,0,0,0,0,16,66,2,0,0,0,0,0,0,0
Travis Etienne,18.00,0,0,0,0,0,0,14,114,1,1,1,5,0,0,1,0
Marquise Goodwin,18.00,0,0,0,0,0,0,0,0,0,0,4,67,2,0,0,0
Taylor Heinicke,18.00,33,20,201,2,1,0,2,4,0,0,0,0,0,0,0,0
Trevor Lawrence,18.00,43,22,310,0,0,0,4,3,1,0,0,0,0,0,0,0
JuJu Smith-Schuster,18.00,0,0,0,0,0,0,0,0,0,0,7,124,1,0,0,0
Ezekiel Elliott,17.00,0,0,0,0,0,0,15,57,2,0,0,0,0,0,0,0
Geno Smith,17.00,27,20,210,2,1,0,4,7,0,0,0,0,0,0,1,0
Tua Tagovailoa,17.00,35,21,261,1,0,0,4,15,0,0,0,0,0,0,0,0
Nick Chubb,16.00,0,0,0,0,0,0,16,91,1,0,2,16,0,0,0,0
Raheem Mostert,16.00,0,0,0,0,0,0,16,79,0,0,4,30,1,0,0,0
Derek Carr,15.00,27,21,241,1,0,0,3,-1,0,0,0,0,0,0,0,0
Juwan Johnson,15.00,0,0,0,0,0,0,0,0,0,0,5,32,2,0,0,0
George Kittle,15.00,0,0,0,0,0,0,0,0,0,0,6,98,1,0,0,0
Khalil Herbert,14.00,0,0,0,0,0,0,12,62,0,0,1,25,1,0,0,0
Joe Mixon,14.00,0,0,0,0,0,0,17,58,1,0,3,33,0,0,0,0
Dak Prescott,14.00,25,19,207,1,0,0,3,0,0,0,0,0,0,0,0,0
Rhamondre Stevenson,14.00,0,0,0,0,0,0,11,39,1,0,8,59,0,0,0,0
Mike Williams,14.00,0,0,0,0,0,0,0,0,0,0,7,86,1,0,0,0
Saquon Barkley,13.00,0,0,0,0,0,0,24,110,0,0,4,25,0,0,0,0
Damiere Byrd,13.00,0,0,0,0,0,0,0,0,0,0,1,75,1,0,0,0
Parris Campbell,13.00,0,0,0,0,0,0,0,0,0,0,10,70,1,0,0,0
D'Onta Foreman,13.00,0,0,0,0,0,0,15,118,0,0,2,27,0,0,0,0
Breece Hall,13.00,0,0,0,0,0,0,4,72,1,0,0,0,0,0,0,0
Derrick Henry,13.00,0,0,0,0,0,0,30,128,0,0,3,10,0,0,0,0
Chuba Hubbard,13.00,0,0,0,0,0,0,9,63,1,0,2,10,0,0,0,0
Marcus Mariota,13.00,13,8,124,1,0,0,6,31,0,0,0,0,0,0,0,0
Terry McLaurin,13.00,0,0,0,0,0,0,0,0,0,0,5,73,1,0,0,0
Antonio Gibson,12.00,0,0,0,0,0,0,10,59,0,0,3,18,1,0,0,0
Ray Ray McCloud,12.00,0,0,0,0,0,0,0,0,0,0,4,65,1,0,0,0
David Montgomery,12.00,0,0,0,0,0,0,15,62,1,0,0,0,0,0,0,0
D.J. Moore,12.00,0,0,0,0,0,0,1,-3,0,0,7,69,1,0,0,0
George Pickens,12.00,0,0,0,0,0,0,0,0,0,0,6,61,1,0,0,0
Kenny Pickett,12.00,44,32,257,1,3,0,3,20,0,0,0,0,0,0,0,0
Tyler Allgeier,11.00,0,0,0,0,0,0,16,50,1,0,0,0,0,0,0,0
Tom Brady,11.00,49,32,290,0,0,0,1,1,0,0,0,0,0,0,0,0
Dameon Pierce,11.00,0,0,0,0,0,0,20,92,0,0,4,25,0,0,0,0
Matt Ryan,11.00,44,33,243,1,2,0,1,2,0,0,0,0,0,0,0,0
Rashid Shaheed,11.00,0,0,0,0,0,0,0,0,0,0,1,53,1,0,0,0
Darius Slayton,11.00,0,0,0,0,0,0,0,0,0,0,3,58,1,0,0,0
Marquez Valdes-Scantling,11.00,0,0,0,0,0,0,0,0,0,0,3,111,0,0,0,0
Jacoby Brissett,10.00,27,22,258,0,0,0,3,18,0,0,0,0,0,0,1,0
Phillip Dorsett,10.00,0,0,0,0,0,0,0,0,0,0,2,45,1,0,0,0
Mack Hollins,10.00,0,0,0,0,0,0,0,0,0,0,2,44,1,0,0,0
DeAndre Hopkins,10.00,0,0,0,0,0,0,0,0,0,0,10,103,0,0,0,0
Chris Olave,10.00,0,0,0,0,0,0,0,0,0,0,7,106,0,0,0,0
Tony Pollard,10.00,0,0,0,0,0,0,12,83,0,0,2,26,0,0,0,0
Davante Adams,9.00,0,0,0,0,0,0,0,0,0,0,8,95,0,0,0,0
Clyde Edwards-Helaire,9.00,0,0,0,0,0,0,6,32,1,0,0,0,0,0,0,0
Mike Evans,9.00,0,0,0,0,0,0,0,0,0,0,9,96,0,0,0,0
Tee Higgins,9.00,0,0,0,0,0,0,0,0,0,0,5,93,0,0,0,0
Keaontay Ingram,9.00,0,0,0,0,0,0,9,14,1,0,2,23,0,0,0,0
Lamar Jackson,9.00,16,9,120,0,0,0,10,59,0,0,0,0,0,0,0,0
Jerry Jeudy,9.00,0,0,0,0,0,0,0,0,0,0,7,96,0,0,0,0
Alvin Kamara,9.00,0,0,0,0,0,0,11,49,0,0,7,56,0,0,0,0
Travis Kelce,9.00,0,0,0,0,0,0,0,0,0,0,6,98,0,0,0,0
Christian Kirk,9.00,1,0,0,0,0,0,1,5,0,0,7,96,0,0,0,0
Jakobi Meyers,9.00,0,0,0,0,0,0,0,0,0,0,2,34,1,0,0,0
Kalif Raymond,9.00,0,0,0,0,0,0,2,20,0,0,5,75,0,0,0,0
Brandon Aiyuk,8.00,0,0,0,0,0,0,0,0,0,0,7,82,0,0,0,0
Chris Moore,8.00,0,0,0,0,0,0,0,0,0,0,2,20,1,0,0,0
Latavius Murray,8.00,0,0,0,0,0,0,8,24,1,0,2,-1,0,0,0,0
Brian Robinson,8.00,0,0,0,0,0,0,20,73,0,0,2,13,0,0,0,0
Tommy Tremble,8.00,0,0,0,0,0,0,0,0,0,0,1,29,1,0,0,0
Jaylen Waddle,8.00,0,0,0,0,0,0,0,0,0,0,4,88,0,0,0,0
Bailey Zappe,8.00,22,14,185,1,2,0,2,-1,0,0,0,0,0,0,1,0
Amari Cooper,7.00,0,0,0,0,0,0,0,0,0,0,3,74,0,0,0,0
Pat Freiermuth,7.00,0,0,0,0,0,0,0,0,0,0,8,75,0,0,0,0
Najee Harris,7.00,0,0,0,0,0,0,17,65,0,0,3,15,0,0,0,0
Taysom Hill,7.00,2,2,48,0,0,0,3,9,0,0,1,3,1,0,0,0
Tyreek Hill,7.00,0,0,0,0,0,0,0,0,0,0,7,72,0,0,0,0
CeeDee Lamb,7.00,0,0,0,0,0,0,1,-4,0,0,4,70,0,0,0,0
David Njoku,7.00,0,0,0,0,0,0,0,0,0,0,7,71,0,0,0,0
Brett Rypien,7.00,46,24,225,0,1,0,3,9,0,0,0,0,0,0,0,0
Curtis Samuel,7.00,0,0,0,0,0,0,5,26,0,0,5,53,0,0,0,0
Jonathan Taylor,7.00,0,0,0,0,0,0,10,58,0,0,7,27,0,0,0,0
Jordan Akins,6.00,0,0,0,0,0,0,0,0,0,0,3,68,0,0,0,0
Michael Carter,6.00,0,0,0,0,0,0,13,29,0,0,2,45,0,0,0,0
Greg Dortch,6.00,0,0,0,0,0,0,1,1,0,0,1,5,1,0,0,0
Evan Engram,6.00,0,0,0,0,0,0,0,0,0,0,4,67,0,0,0,0
Gerald Everett,6.00,0,0,0,0,0,0,0,0,0,0,5,63,0,0,0,0
Peyton Hendershot,6.00,0,0,0,0,0,0,0,0,0,0,2,5,1,0,0,0
Kareem Hunt,6.00,0,0,0,0,0,0,5,4,1,0,1,4,0,0,0,0
Zay Jones,6.00,0,0,0,0,0,0,1,14,0,0,4,54,0,0,0,0
Cade Otton,6.00,0,0,0,0,0,0,0,0,0,0,4,64,0,0,0,0
DeVante Parker,6.00,0,0,0,0,0,0,0,0,0,0,3,68,0,0,0,0
Donovan Peoples-Jones,6.00,0,0,0,0,0,0,0,0,0,0,6,71,0,0,1,0
Justin Watson,6.00,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0
Kevin White,6.00,0,0,0,0,0,0,0,0,0,0,1,64,0,0,0,0
Jamaal Williams,6.00,0,0,0,0,0,0,15,79,0,0,1,4,0,0,1,0
Zach Wilson,6.00,26,16,121,0,0,0,4,24,0,0,0,0,0,0,0,0
Greg Dulcich,5.00,0,0,0,0,0,0,0,0,0,0,6,51,0,0,0,0
Austin Hooper,5.00,0,0,0,0,0,0,0,0,0,0,3,56,0,0,0,0
Marvin Jones,5.00,0,0,0,0,0,0,0,0,0,0,4,57,0,0,0,0
Allen Lazard,5.00,0,0,0,0,0,0,0,0,0,0,6,55,0,0,0,0
Christian McCaffrey,5.00,0,0,0,0,0,0,8,38,0,0,2,24,0,0,0,0
Darnell Mooney,5.00,0,0,0,0,0,0,0,0,0,0,3,53,0,0,0,0
Dare Ogunbowale,5.00,0,0,0,0,0,0,1,8,0,0,5,54,0,0,0,0
Hunter Renfrow,5.00,0,0,0,0,0,0,0,0,0,0,3,55,0,0,0,0
Wan'Dale Robinson,5.00,0,0,0,0,0,0,0,0,0,0,6,50,0,0,0,0
Tre'Quan Smith,5.00,0,0,0,0,0,0,0,0,0,0,5,59,0,0,0,0
Jeffery Wilson,5.00,0,0,0,0,0,0,7,54,0,0,0,0,0,0,0,0
Brock Wright,5.00,0,0,0,0,0,0,0,0,0,0,4,57,0,0,0,0
Rashod Bateman,4.00,0,0,0,0,0,0,0,0,0,0,4,42,0,0,0,0
Noah Brown,4.00,0,0,0,0,0,0,0,0,0,0,5,50,0,0,1,0
Chase Claypool,4.00,0,0,0,0,0,0,0,0,0,0,5,41,0,0,0,0
Brandin Cooks,4.00,0,0,0,0,0,0,0,0,0,0,4,46,0,0,0,0
Will Dissly,4.00,0,0,0,0,0,0,0,0,0,0,4,45,0,0,0,0
Devin Duvernay,4.00,0,0,0,0,0,0,0,0,0,0,2,42,0,0,0,0
Zach Ertz,4.00,0,0,0,0,0,0,0,0,0,0,2,21,0,1,0,0
Chris Godwin,4.00,0,0,0,0,0,0,1,2,0,0,7,43,0,0,0,0
Melvin Gordon,4.00,0,0,0,0,0,0,11,33,0,0,2,17,0,0,0,0
Nyheim Hines,4.00,0,0,0,0,0,0,4,2,0,0,5,41,0,0,0,0
T.J. Hockenson,4.00,0,0,0,0,0,0,0,0,0,0,4,48,0,0,0,0
Hayden Hurst,4.00,0,0,0,0,0,0,0,0,0,0,6,48,0,0,0,0
Diontae Johnson,4.00,0,0,0,0,0,0,1,3,0,0,5,42,0,0,0,0
Tyler Lockett,4.00,0,0,0,0,0,0,0,0,0,0,7,45,0,0,0,0
Jerick McKinnon,4.00,0,0,0,0,0,0,2,12,0,0,2,36,0,0,0,0
Isiah Pacheco,4.00,0,0,0,0,0,0,8,43,0,0,0,0,0,0,0,0
Michael Pittman,4.00,0,0,0,0,0,0,0,0,0,0,6,58,0,0,1,0
Deebo Samuel,4.00,0,0,0,0,0,0,1,2,0,0,5,42,0,0,0,0
Dalton Schultz,4.00,0,0,0,0,0,0,0,0,0,0,5,49,0,0,0,0
Trent Sherfield,4.00,0,0,0,0,0,0,0,0,0,0,3,44,0,0,0,0
Equanimeous St. Brown,4.00,0,0,0,0,0,0,0,0,0,0,4,48,0,0,0,0
Ryan Tannehill,4.00,20,13,132,0,0,0,4,6,0,0,0,0,0,0,1,0
Braxton Berrios,3.00,0,0,0,0,0,0,2,27,0,0,3,15,0,0,0,0
DeAndre Carter,3.00,0,0,0,0,0,0,0,0,0,0,3,37,0,0,0,0
Nico Collins,3.00,0,0,0,0,0,0,0,0,0,0,3,33,0,0,0,0
DeeJay Dallas,3.00,0,0,0,0,0,0,6,35,0,0,2,6,0,0,0,0
Russell Gage,3.00,0,0,0,0,0,0,0,0,0,0,4,39,0,0,0,0
Jared Goff,3.00,26,21,228,0,2,0,1,4,0,0,0,0,0,0,2,0
Cody Hollister,3.00,0,0,0,0,0,0,0,0,0,0,2,32,0,0,0,0
Kyle Juszczyk,3.00,0,0,0,0,0,0,0,0,0,0,3,34,0,0,0,0
Cole Kmet,3.00,0,0,0,0,0,0,0,0,0,0,2,32,0,0,0,0
Terrace Marshall,3.00,0,0,0,0,0,0,0,0,0,0,2,31,0,0,0,0
Rondale Moore,3.00,0,0,0,0,0,0,0,0,0,0,1,31,0,0,0,0
Alec Pierce,3.00,0,0,0,0,0,0,0,0,0,0,3,37,0,0,0,0
Robert Tonyan,3.00,0,0,0,0,0,0,0,0,0,0,3,32,0,0,0,0
