,,Passing,,,,,,Rushing,,,,Receiving,,,,Fumbles,
Player,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
Drew Brees,43.00,35,31,325,5,0,0,0,0,0,0,0,0,0,0,0,0
Arian Foster,40.00,0,0,0,0,0,0,25,115,2,0,5,119,1,0,0,0
Ben Roethlisberger,32.00,39,26,361,3,0,0,2,-2,0,0,0,0,0,0,0,0
DeMarco Murray,31.00,0,0,0,0,0,0,25,253,1,0,0,0,0,0,0,0
Aaron Rodgers,31.00,30,24,335,3,0,0,2,8,0,0,0,0,0,0,0,0
Cam Newton,27.00,23,18,256,1,0,0,10,59,1,0,0,0,0,0,0,0
Tim Tebow,25.00,27,13,161,2,0,0,9,59,0,1,0,0,0,0,0,0
Mark Sanchez,24.00,33,18,173,3,1,0,3,25,0,0,0,0,0,0,0,0
Matt Forte,23.00,0,0,0,0,0,0,25,145,1,0,2,38,0,0,0,0
Adrian Peterson,23.00,0,0,0,0,0,0,24,175,1,0,1,0,0,0,0,0
Matt Schaub,23.00,23,18,296,2,0,0,0,0,0,0,0,0,0,0,0,0
John Beck,21.00,37,22,279,1,1,0,3,10,1,0,0,0,0,0,1,0
Marques Colston,21.00,0,0,0,0,0,0,0,0,0,0,7,98,2,0,0,0
Kevin Kolb,21.00,34,18,272,2,1,0,2,14,0,0,0,0,0,0,0,0
Darren Sproles,21.00,0,0,0,0,0,0,12,88,1,0,6,19,1,0,0,0
Plaxico Burress,20.00,0,0,0,0,0,0,0,0,0,0,4,25,3,0,0,0
Greg Jennings,20.00,0,0,0,0,0,0,0,0,0,0,7,147,1,0,0,0
Christian Ponder,19.00,32,13,219,2,2,0,4,31,0,0,0,0,0,0,0,0
Tony Romo,18.00,24,14,166,2,0,0,0,0,0,0,0,0,0,0,0,0
Jimmy Graham,17.00,0,0,0,0,0,0,0,0,0,0,6,54,2,0,0,0
