,,Passing,,,,,,Rushing,,,,Receiving,,,,Fumbles,
Player,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
Josh McCown,39.00,51,36,457,2,0,1,3,12,1,0,0,0,0,0,0,0
Blake Bortles,36.00,33,23,303,4,1,0,1,21,0,0,0,0,0,0,0,0
Eli Manning,34.00,54,41,441,3,1,0,1,11,0,0,0,0,0,0,0,0
Doug Martin,33.00,0,0,0,0,0,0,24,123,2,0,3,35,1,0,0,0
Andy Dalton,30.00,44,30,331,2,1,0,7,18,1,0,0,0,0,0,0,0
Tom Brady,29.00,27,20,275,2,0,0,2,3,1,0,0,0,0,0,0,0
Joe Flacco,26.00,35,19,210,1,0,0,2,2,2,0,0,0,0,0,0,0
Devonta Freeman,25.00,0,0,0,0,0,0,27,153,1,0,7,44,0,0,0,0
Colin Kaepernick,24.00,35,23,262,2,0,0,3,23,0,0,0,0,0,0,0,0
Carson Palmer,24.00,14,11,161,3,0,0,1,-1,0,0,0,0,0,0,0,0
Philip Rivers,24.00,48,35,365,2,1,0,0,0,0,0,0,0,0,0,0,0
Brian Hoyer,23.00,31,24,312,2,1,0,1,14,0,0,0,0,0,0,0,0
Tyrod Taylor,23.00,17,10,109,1,0,0,8,76,1,0,1,4,0,0,0,0
Jay Cutler,22.00,45,26,252,2,0,0,4,15,0,0,0,0,0,0,1,0
Justin Forsett,22.00,0,0,0,0,0,0,21,121,1,0,4,49,0,0,0,0
Thomas Rawls,22.00,0,0,0,0,0,0,23,169,1,0,0,0,0,0,0,0
Sam Bradford,21.00,45,32,333,2,2,0,1,3,0,0,0,0,0,0,0,0
Drew Brees,21.00,43,26,335,2,1,0,1,-1,0,0,0,0,0,0,2,0
Tyler Eifert,21.00,0,0,0,0,0,0,0,0,0,0,8,90,2,0,0,0
Antonio Gates,21.00,0,0,0,0,0,0,0,0,0,0,9,92,2,0,0,0
Matt Hasselbeck,20.00,29,18,213,2,0,0,3,-3,0,0,0,0,0,0,0,0
Gary Barnidge,19.00,0,0,0,0,0,0,0,0,0,0,8,139,1,0,0,0
Andre Johnson,19.00,0,0,0,0,0,0,0,0,0,0,6,77,2,0,0,0
Allen Robinson,19.00,0,0,0,0,0,0,0,0,0,0,7,72,2,0,0,0
Aaron Rodgers,19.00,30,19,241,2,2,0,8,39,0,0,0,0,0,0,1,0
Odell Beckham Jr.,18.00,0,0,0,0,0,0,1,3,0,0,7,121,1,0,0,0
Le'Veon Bell,18.00,0,0,0,0,0,0,21,111,1,0,4,16,0,0,0,0
Julian Edelman,18.00,0,0,0,0,0,0,0,0,0,0,4,120,1,0,0,0
Allen Hurns,17.00,0,0,0,0,0,0,0,0,0,0,5,116,1,0,0,0
DeMarco Murray,17.00,0,0,0,0,0,0,20,83,1,0,7,37,0,0,0,0
Jaelen Strong,17.00,0,0,0,0,0,0,0,0,0,0,2,53,2,0,0,0
Anquan Boldin,16.00,0,0,0,0,0,0,0,0,0,0,8,107,1,0,0,0
Brandin Cooks,16.00,0,0,0,0,0,0,0,0,0,0,5,107,1,0,0,0
Matt Forte,16.00,0,0,0,0,0,0,18,71,0,0,5,38,1,0,0,0
DeAndre Hopkins,16.00,0,0,0,0,0,0,0,0,0,0,11,169,0,0,0,0
Shane Vereen,16.00,0,0,0,0,0,0,5,24,0,0,8,86,1,0,0,0
Jameis Winston,16.00,19,13,209,1,0,1,4,9,0,0,0,0,0,0,0,0
Frank Gore,15.00,0,0,0,0,0,0,22,98,1,0,0,0,0,0,0,0
Todd Gurley,15.00,0,0,0,0,0,0,30,159,0,0,0,0,0,0,0,0
Carlos Hyde,15.00,0,0,0,0,0,0,21,93,1,0,1,4,0,0,0,0
Ryan Mathews,15.00,0,0,0,0,0,0,8,73,1,0,3,23,0,0,0,0
Alex Smith,15.00,30,16,181,1,0,0,3,21,0,0,0,0,0,0,0,0
Dion Lewis,14.00,0,0,0,0,0,0,6,34,0,0,8,59,1,0,0,0
Willie Snead,14.00,0,0,0,0,0,0,0,0,0,0,6,141,0,0,0,0
Michael Vick,14.00,26,13,203,1,1,0,1,24,0,0,0,0,0,0,0,0
Marquess Wilson,14.00,0,0,0,0,0,0,0,0,0,0,6,85,1,0,0,0
Russell Wilson,14.00,23,15,213,1,1,0,3,21,0,0,0,0,0,0,0,0
John Brown,13.00,0,0,0,0,0,0,0,0,0,0,4,73,1,0,0,0
Isaiah Crowell,13.00,0,0,0,0,0,0,13,49,0,0,2,38,1,0,0,0
Josh Huff,13.00,0,0,0,0,0,0,0,0,0,0,4,78,1,0,0,0
James Jones,13.00,0,0,0,0,0,0,0,0,0,0,2,77,1,0,0,0
Charles Sims,13.00,0,0,0,0,0,0,12,51,0,0,4,85,0,0,0,0
Markus Wheaton,13.00,0,0,0,0,0,0,0,0,0,0,1,72,1,0,0,0
Derek Carr,12.00,39,26,249,1,1,0,1,-1,0,0,0,0,0,0,1,0
Andre Ellington,12.00,0,0,0,0,0,0,3,63,1,0,0,0,0,0,0,0
David Johnson,12.00,0,0,0,0,0,0,3,6,2,0,0,0,0,0,0,0
Julio Jones,12.00,0,0,0,0,0,0,0,0,0,0,5,67,0,0,0,1
T.J. Yeldon,12.00,0,0,0,0,0,0,11,32,0,0,5,31,1,0,0,0
Larry Fitzgerald,11.00,0,0,0,0,0,0,0,0,0,0,5,58,1,0,0,0
Arian Foster,11.00,0,0,0,0,0,0,19,41,0,0,9,77,0,0,0,0
Chris Hogan,11.00,1,1,4,0,0,0,0,0,0,0,3,52,1,0,0,0
Ty Montgomery,11.00,0,0,0,0,0,0,0,0,0,0,4,59,1,0,0,0
Lance Moore,11.00,0,0,0,0,0,0,0,0,0,0,6,55,1,0,0,0
Dan Orlovsky,11.00,38,21,191,1,1,0,0,0,0,0,0,0,0,0,0,0
Theo Riddick,11.00,0,0,0,0,0,0,0,0,0,0,10,53,1,0,0,0
Emmanuel Sanders,11.00,0,0,0,0,0,0,0,0,0,0,9,111,0,0,0,0
Antonio Andrews,10.00,0,0,0,0,0,0,7,9,1,0,3,45,0,0,0,0
Giovani Bernard,10.00,0,0,0,0,0,0,15,80,0,0,5,21,0,0,0,0
Brent Celek,10.00,0,0,0,0,0,0,0,0,0,0,3,44,1,0,0,0
Kirk Cousins,10.00,32,21,219,1,2,0,1,1,0,0,0,0,0,0,0,0
Chris Johnson,10.00,0,0,0,0,0,0,11,103,0,0,0,0,0,0,0,0
