,,Passing,,,,,,Rushing,,,,Receiving,,,,Fumbles,
Player,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
Daniel Jones,36.00,41,28,322,4,0,0,4,13,0,0,0,0,0,0,1,0
Tevin Coleman,35.00,0,0,0,0,0,0,11,105,3,0,2,13,1,0,0,0
Aaron Jones,33.00,0,0,0,0,0,0,13,67,0,0,7,159,2,0,0,0
Deshaun Watson,33.00,39,27,279,3,0,0,10,46,0,0,0,0,0,0,0,0
Aaron Rodgers,32.00,33,23,305,3,0,0,6,29,0,0,0,0,0,0,0,0
Mike Evans,31.00,0,0,0,0,0,0,0,0,0,0,11,198,2,0,0,0
Drew Brees,30.00,43,34,373,3,1,0,0,0,0,0,0,0,0,0,0,0
Gardner Minshew,30.00,34,22,279,3,0,0,8,28,0,0,0,0,0,0,1,0
Derek Carr,29.00,30,18,285,3,0,0,0,0,0,0,0,0,0,0,0,0
Matthew Stafford,29.00,32,25,342,3,1,0,2,-3,0,0,0,0,0,0,0,0
Cooper Kupp,28.00,0,0,0,0,0,0,0,0,0,0,7,220,1,0,0,0
Latavius Murray,27.00,0,0,0,0,0,0,21,102,1,0,9,55,1,0,0,0
Jared Goff,26.00,31,17,372,2,0,0,0,0,0,0,0,0,0,0,0,0
Ryan Tannehill,25.00,33,21,193,3,0,0,4,-3,0,0,0,0,0,0,0,0
Jameis Winston,25.00,43,21,301,2,2,1,8,53,0,0,0,0,0,0,2,0
Kenny Golladay,23.00,0,0,0,0,0,0,0,0,0,0,6,123,2,0,1,0
Matt Schaub,23.00,52,39,460,1,1,1,0,0,0,0,0,0,0,0,1,0
Tom Brady,22.00,36,20,259,2,0,0,0,0,0,0,0,0,0,0,0,0
Dalvin Cook,22.00,0,0,0,0,0,0,23,98,1,0,5,73,0,0,0,0
Christian McCaffrey,22.00,0,0,0,0,0,0,14,117,1,1,4,38,0,0,0,0
Matt Moore,22.00,36,24,267,2,0,0,1,3,0,0,0,0,0,0,0,0
Josh Allen,21.00,34,16,169,2,0,0,8,45,0,0,0,0,0,0,1,0
James Conner,20.00,0,0,0,0,0,0,23,145,1,0,3,5,0,0,0,0
Ryan Griffin,20.00,0,0,0,0,0,0,0,0,0,0,4,66,2,1,0,0
David Montgomery,20.00,0,0,0,0,0,0,27,135,1,0,4,12,0,0,0,0
Mason Rudolph,20.00,36,20,251,2,1,0,0,0,0,0,0,0,0,0,0,0
Saquon Barkley,19.00,0,0,0,0,0,0,19,64,0,0,8,79,1,0,0,0
Andy Dalton,19.00,52,32,329,1,0,0,1,4,0,0,1,-4,0,0,0,0
Julian Edelman,19.00,0,0,0,0,0,0,1,-3,0,0,8,78,2,0,0,0
Miles Sanders,19.00,0,0,0,0,0,0,3,74,1,1,3,44,0,0,0,0
Russell Wilson,19.00,20,14,182,2,0,0,4,4,0,0,0,0,0,0,0,0
Darren Fells,17.00,0,0,0,0,0,0,0,0,0,0,6,58,2,0,0,0
Jimmy Garoppolo,17.00,22,18,175,2,1,0,0,0,0,0,0,0,0,0,0,0
Darius Slayton,17.00,0,0,0,0,0,0,0,0,0,0,2,50,2,0,0,0
Michael Thomas,17.00,0,0,0,0,0,0,1,-9,0,0,11,112,1,0,0,0
Chris Conley,16.00,0,0,0,0,0,0,0,0,0,0,4,103,1,0,0,0
Sam Darnold,16.00,30,21,218,2,3,1,1,-1,0,0,0,0,0,0,0,0
Jordan Howard,16.00,0,0,0,0,0,0,23,96,1,0,1,15,0,0,0,0
JuJu Smith-Schuster,16.00,0,0,0,0,0,0,0,0,0,0,5,103,1,0,0,0
Chris Carson,15.00,0,0,0,0,0,0,20,90,1,0,0,0,0,0,0,0
Ryan Fitzpatrick,15.00,34,21,190,2,2,0,5,17,0,0,0,0,0,0,1,0
Julio Jones,15.00,0,0,0,0,0,0,0,0,0,0,10,152,0,0,0,0
Carson Wentz,15.00,24,17,172,1,0,0,8,35,0,0,0,0,0,0,0,0
Jamaal Williams,15.00,0,0,0,0,0,0,7,22,1,0,3,14,1,0,0,0
Tyrell Williams,15.00,0,0,0,0,0,0,0,0,0,0,3,91,1,0,0,0
Diontae Johnson,14.00,0,0,0,0,0,0,0,0,0,0,5,84,1,0,0,0
Marlon Mack,14.00,0,0,0,0,0,0,19,76,1,0,1,14,0,0,0,0
Hunter Renfrow,14.00,0,0,0,0,0,0,0,0,0,0,4,88,1,0,0,0
D.J. Chark,13.00,0,0,0,0,0,0,1,0,0,0,6,79,1,0,0,0
Stefon Diggs,13.00,0,0,0,0,0,0,0,0,0,0,7,143,0,0,1,0
Leonard Fournette,13.00,0,0,0,0,0,0,19,76,0,0,7,60,0,0,0,0
D.K. Metcalf,13.00,0,0,0,0,0,0,0,0,0,0,3,13,2,0,0,0
Joe Mixon,13.00,0,0,0,0,0,0,17,66,0,0,4,11,1,0,0,0
Josh Reynolds,13.00,0,0,0,0,0,0,1,-1,0,0,3,73,1,0,0,0
Jonnu Smith,13.00,0,0,0,0,0,0,0,0,0,0,6,78,1,0,0,0
Taysom Hill,12.00,0,0,0,0,0,0,0,0,0,0,3,63,1,0,0,0
Austin Hooper,12.00,0,0,0,0,0,0,0,0,0,0,6,65,1,0,0,0
Travis Kelce,12.00,0,0,0,0,0,0,0,0,0,0,4,63,1,0,0,0
Baker Mayfield,12.00,31,20,194,1,1,0,1,18,0,0,0,0,0,0,0,0
Raheem Mostert,12.00,0,0,0,0,0,0,9,60,1,0,0,0,0,0,0,0
Philip Rivers,12.00,29,19,201,1,1,0,0,0,0,0,0,0,0,0,0,0
Nick Chubb,11.00,0,0,0,0,0,0,20,131,0,0,1,7,0,0,2,0
Kirk Cousins,11.00,26,23,285,0,0,0,2,2,0,0,0,0,0,0,0,0
Mecole Hardman,11.00,0,0,0,0,0,0,0,0,0,0,2,55,1,0,0,0
Cole Beasley,10.00,0,0,0,0,0,0,0,0,0,0,3,41,1,0,0,0
Jacoby Brissett,10.00,25,15,202,0,0,0,6,34,0,0,0,0,0,0,1,0
Evan Engram,10.00,0,0,0,0,0,0,0,0,0,0,4,40,1,0,0,0
