,,Passing,,,,,,Rushing,,,,Receiving,,,,Fumbles,
Player,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
Lamar Jackson,45.00,20,15,169,5,0,0,8,95,0,0,0,0,0,0,0,0
Ryan Tannehill,37.00,18,14,259,2,0,0,7,40,2,0,0,0,0,0,1,0
Sam Darnold,31.00,29,20,315,2,0,0,4,16,1,0,0,0,0,0,0,0
Chris Godwin,30.00,0,0,0,0,0,0,0,0,0,0,7,184,2,0,0,0
Baker Mayfield,29.00,34,24,327,3,1,0,2,5,0,0,0,0,0,0,0,0
Jameis Winston,29.00,28,18,313,3,2,0,8,38,0,0,0,0,0,0,0,0
Kyle Allen,28.00,36,23,256,3,0,0,1,9,0,0,0,0,0,0,0,0
Drew Brees,28.00,39,30,311,3,1,0,0,0,0,0,0,0,0,0,0,0
Leonard Fournette,27.00,0,0,0,0,0,0,24,97,2,0,9,62,0,0,0,0
Derrick Henry,27.00,0,0,0,0,0,0,19,159,2,0,1,16,0,0,1,0
Ryan Fitzpatrick,26.00,39,21,214,2,2,0,5,45,1,0,0,0,0,0,0,0
Jarvis Landry,26.00,0,0,0,0,0,0,0,0,0,0,10,148,2,0,0,0
Christian McCaffrey,24.00,0,0,0,0,0,0,22,64,1,0,9,69,1,0,0,0
D.J. Moore,24.00,0,0,0,0,0,0,1,8,0,0,6,126,2,0,0,0
Mark Ingram,23.00,0,0,0,0,0,0,15,111,1,0,1,7,1,0,0,0
Josh Allen,22.00,25,15,185,2,1,0,9,56,0,0,0,0,0,0,0,0
Jimmy Garoppolo,22.00,20,14,253,2,0,0,2,1,0,0,0,0,0,0,0,0
Deshaun Watson,22.00,30,19,298,2,1,0,3,10,0,0,0,0,0,0,0,0
Nick Chubb,21.00,0,0,0,0,0,0,21,106,1,0,3,58,0,0,0,0
DeAndre Hopkins,21.00,0,0,0,0,0,0,0,0,0,0,6,94,2,0,0,0
Mitchell Trubisky,20.00,41,25,278,1,2,0,7,18,1,0,0,0,0,0,0,0
A.J. Brown,19.00,0,0,0,0,0,0,0,0,0,0,4,135,1,0,0,0
Daniel Jones,19.00,36,21,150,2,0,0,2,27,0,0,0,0,0,0,1,0
Allen Robinson,19.00,0,0,0,0,0,0,0,0,0,0,6,131,1,0,0,0
George Kittle,18.00,0,0,0,0,0,0,0,0,0,0,6,129,1,0,0,0
Rashaad Penny,18.00,0,0,0,0,0,0,14,129,1,0,0,0,0,0,0,0
Jonathan Williams,17.00,0,0,0,0,0,0,26,104,1,0,3,17,0,0,0,0
Marquise Brown,16.00,0,0,0,0,0,0,0,0,0,0,5,42,2,0,0,0
Michael Thomas,16.00,0,0,0,0,0,0,0,0,0,0,10,101,1,0,0,0
Tyler Boyd,15.00,0,0,0,0,0,0,0,0,0,0,5,101,1,0,1,0
Jared Cook,15.00,0,0,0,0,0,0,0,0,0,0,6,99,1,0,0,0
Zach Ertz,15.00,0,0,0,0,0,0,0,0,0,0,12,91,1,0,0,0
Calvin Ridley,15.00,0,0,0,0,0,0,1,15,0,0,6,85,1,0,0,0
James Washington,15.00,0,0,0,0,0,0,0,0,0,0,3,98,1,0,0,0
Robby Anderson,14.00,0,0,0,0,0,0,0,0,0,0,4,86,1,0,0,0
Odell Beckham Jr.,14.00,0,0,0,0,0,0,0,0,0,0,6,84,1,0,0,0
Jeff Driskel,14.00,33,20,207,1,3,0,9,63,0,0,0,0,0,0,0,0
Nick Foles,14.00,48,32,272,0,0,1,3,20,0,0,0,0,0,0,0,0
Will Fuller,14.00,0,0,0,0,0,0,0,0,0,0,7,140,0,0,0,0
Cole Beasley,13.00,0,0,0,0,0,0,0,0,0,0,6,76,1,0,0,0
Tom Brady,13.00,37,17,190,1,0,0,2,-3,0,0,0,0,0,0,0,0
Jacoby Brissett,13.00,25,16,129,0,0,0,4,20,1,0,0,0,0,0,0,0
Willie Snead,13.00,0,0,0,0,0,0,0,0,0,0,2,14,2,0,0,0
Davante Adams,12.00,0,0,0,0,0,0,0,0,0,0,7,43,1,1,0,0
Ezekiel Elliott,12.00,0,0,0,0,0,0,21,86,0,0,4,40,0,0,0,0
Ryan Finley,12.00,26,12,192,1,0,0,2,8,0,0,0,0,0,0,1,0
Ronald Jones II,12.00,0,0,0,0,0,0,12,51,1,0,3,16,0,0,0,0
Raheem Mostert,12.00,0,0,0,0,0,0,6,45,1,0,1,22,0,0,0,0
Latavius Murray,12.00,0,0,0,0,0,0,7,64,1,0,0,0,0,0,0,0
Aaron Rodgers,12.00,33,20,104,1,0,1,3,13,0,0,0,0,0,0,1,0
Carson Wentz,12.00,45,33,256,1,2,0,5,27,0,0,0,0,0,0,2,0
Russell Wilson,12.00,25,13,200,1,1,0,3,15,0,0,0,0,0,0,1,0
Deebo Samuel,11.00,0,0,0,0,0,0,0,0,0,0,2,50,1,0,0,0
Tevin Coleman,10.00,0,0,0,0,0,0,11,39,1,0,2,10,0,0,0,0
Devlin Hodges,10.00,11,5,118,1,0,0,3,1,0,0,0,0,0,0,0,0
Allen Hurns,10.00,0,0,0,0,0,0,0,0,0,0,4,42,1,0,0,0
Devin Singletary,10.00,0,0,0,0,0,0,21,106,0,0,1,8,0,0,0,0
Le'Veon Bell,9.00,0,0,0,0,0,0,12,49,0,0,5,59,0,0,0,0
John Brown,9.00,0,0,0,0,0,0,0,0,0,0,2,39,1,0,0,0
Julian Edelman,9.00,0,0,0,0,0,0,0,0,0,0,8,93,0,0,0,0
Kareem Hunt,9.00,0,0,0,0,0,0,8,37,1,0,2,9,0,0,0,0
Alvin Kamara,9.00,0,0,0,0,0,0,11,54,0,0,9,48,0,0,0,0
DeVante Parker,9.00,0,0,0,0,0,0,0,0,0,0,6,91,0,0,0,0
Benjamin Snell,9.00,0,0,0,0,0,0,21,98,0,0,1,5,0,0,0,0
Golden Tate,9.00,0,0,0,0,0,0,0,0,0,0,3,33,1,0,0,0
Malik Turner,9.00,0,0,0,0,0,0,0,0,0,0,1,33,1,0,0,0
Robert Woods,9.00,0,0,0,0,0,0,0,0,0,0,6,97,0,0,0,0
Randall Cobb,8.00,0,0,0,0,0,0,0,0,0,0,4,86,0,0,0,0
Mike Gesicki,8.00,0,0,0,0,0,0,0,0,0,0,3,28,1,0,0,0
Sony Michel,8.00,0,0,0,0,0,0,20,85,0,0,0,0,0,0,0,0
Qadree Ollison,8.00,0,0,0,0,0,0,8,20,1,0,1,7,0,0,0,0
Miles Sanders,8.00,0,0,0,0,0,0,12,63,0,0,3,23,0,0,0,0
Bo Scarbrough,8.00,0,0,0,0,0,0,18,98,0,0,0,0,0,0,1,0
Matt Schaub,8.00,9,5,55,1,0,0,0,0,0,0,0,0,0,0,0,0
Logan Thomas,8.00,0,0,0,0,0,0,0,0,0,0,2,24,1,0,0,0
Russell Gage,7.00,0,0,0,0,0,0,0,0,0,0,8,76,0,0,0,0
Ryan Griffin,7.00,0,0,0,0,0,0,0,0,0,0,3,13,1,0,0,0
N'Keal Harry,7.00,0,0,0,0,0,0,0,0,0,0,1,10,1,0,0,0
Terry McLaurin,7.00,0,0,0,0,0,0,0,0,0,0,5,72,0,0,0,0
