,,Passing,,,,,,Rushing,,,,Receiving,,,,Fumbles,
Player,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
Dak Prescott,42.00,47,34,450,1,0,0,5,18,3,0,0,0,0,0,1,0
Russell Wilson,42.00,28,21,288,5,1,0,5,39,0,0,0,0,0,0,0,0
Josh Allen,41.00,35,24,415,4,0,0,4,19,0,0,0,0,0,0,0,0
Aaron Jones,40.00,0,0,0,0,0,0,18,168,2,0,4,68,1,0,0,0
Cam Newton,35.00,44,30,397,1,1,0,11,47,2,0,0,0,0,0,0,0
Matt Ryan,35.00,36,24,273,4,0,0,4,16,0,0,0,0,0,0,0,0
Ryan Tannehill,34.00,24,18,239,4,0,0,4,12,0,0,0,0,0,0,0,0
Kyler Murray,33.00,38,26,286,1,1,0,8,67,2,0,0,0,0,0,0,0
Patrick Mahomes,31.00,47,27,302,2,0,1,6,54,0,0,0,0,0,0,0,0
Joe Burrow,30.00,61,37,316,3,0,0,7,19,0,0,0,0,0,0,1,0
Jared Goff,29.00,27,20,267,3,0,0,7,13,0,0,0,0,0,0,0,0
Derek Carr,28.00,38,28,284,3,0,0,3,3,0,0,0,0,0,0,1,0
Ryan Fitzpatrick,28.00,47,31,328,2,0,1,3,12,0,0,0,0,0,0,0,0
Alvin Kamara,28.00,0,0,0,0,0,0,13,79,2,0,9,95,0,0,0,0
Gardner Minshew,28.00,45,30,339,3,2,0,4,19,0,0,0,0,0,0,0,0
Nick Chubb,24.00,0,0,0,0,0,0,22,124,2,0,1,9,0,0,0,0
Leonard Fournette,23.00,0,0,0,0,0,0,12,103,2,0,4,13,0,0,0,0
Justin Herbert,23.00,33,22,311,1,1,0,4,18,1,0,0,0,0,0,0,0
Tyler Higbee,23.00,0,0,0,0,0,0,0,0,0,0,5,54,3,0,0,0
Jeff Driskel,22.00,34,18,256,2,1,1,2,5,0,0,0,0,0,0,0,0
Calvin Ridley,22.00,0,0,0,0,0,0,0,0,0,0,7,109,2,0,0,0
Aaron Rodgers,22.00,30,18,240,2,0,0,2,12,0,0,1,-6,0,0,0,0
Ben Roethlisberger,22.00,41,29,311,2,1,0,3,-2,0,0,0,0,0,0,0,0
Stefon Diggs,21.00,0,0,0,0,0,0,0,0,0,0,8,153,1,0,0,0
Kareem Hunt,21.00,0,0,0,0,0,0,10,86,1,0,2,15,1,0,0,0
Jonnu Smith,20.00,0,0,0,0,0,0,0,0,0,0,4,84,2,0,0,0
Mike Gesicki,19.00,0,0,0,0,0,0,0,0,0,0,8,130,1,0,0,0
Lamar Jackson,19.00,24,18,204,1,0,0,16,54,0,0,0,0,0,0,0,0
Christian McCaffrey,19.00,0,0,0,0,0,0,18,59,2,0,4,29,0,0,0,0
Matthew Stafford,19.00,33,20,244,2,1,0,1,4,0,0,0,0,0,0,0,0
Darrell Henderson,18.00,0,0,0,0,0,0,12,81,1,0,2,40,0,0,0,0
