,,Passing,,,,,,Rushing,,,,Receiving,,,,Fumbles,
Player,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
Dalvin Cook,46.00,0,0,0,0,0,0,30,163,3,0,2,63,1,0,0,0
Patrick Mahomes,46.00,42,31,416,5,0,0,0,0,0,0,0,0,0,0,0,0
Russell Wilson,36.00,37,27,261,4,0,0,6,23,0,0,0,0,0,0,0,0
Matthew Stafford,29.00,42,24,336,3,1,0,1,10,0,0,0,0,0,0,1,0
D.K. Metcalf,28.00,0,0,0,0,0,0,0,0,0,0,12,161,2,0,0,0
Philip Rivers,28.00,33,23,262,3,0,0,2,-2,0,0,0,0,0,0,0,0
Aaron Rodgers,28.00,41,27,291,3,0,0,2,9,0,0,0,0,0,0,1,0
Justin Herbert,27.00,43,29,278,3,2,0,3,21,0,0,0,0,0,0,0,0
Drew Lock,25.00,41,26,248,3,1,0,2,-1,0,0,0,0,0,0,0,0
Davante Adams,23.00,0,0,0,0,0,0,0,0,0,0,7,53,3,0,0,0
Tom Brady,23.00,40,28,279,2,0,0,1,-1,0,0,0,0,0,0,0,0
Drew Brees,23.00,41,31,280,2,0,0,3,4,0,0,0,0,0,0,0,0
Joe Burrow,21.00,37,26,249,2,0,0,3,9,0,0,0,0,0,0,0,0
Tyreek Hill,21.00,0,0,0,0,0,0,0,0,0,0,4,98,2,0,0,0
Nick Mullens,21.00,25,18,238,2,0,0,0,0,0,0,0,0,0,0,0,0
Ryan Tannehill,21.00,30,18,233,2,1,0,2,20,0,0,0,0,0,0,0,0
Nick Foles,20.00,41,28,272,2,1,0,0,0,0,0,0,0,0,0,0,0
Lamar Jackson,20.00,28,13,208,2,2,0,16,65,0,0,0,0,0,0,2,0
Daniel Jones,20.00,41,25,256,2,2,0,3,20,0,0,0,0,0,0,0,0
Zack Moss,20.00,0,0,0,0,0,0,14,81,2,0,0,0,0,0,0,0
Robert Woods,20.00,0,0,0,0,0,0,2,9,1,0,7,85,1,0,0,0
Giovani Bernard,19.00,0,0,0,0,0,0,15,62,1,0,3,16,1,0,0,0
