,,Passing,,,,,,Rushing,,,,Receiving,,,,Fumbles,
Player,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
Dak Prescott,46.00,58,41,502,4,1,1,2,12,0,1,0,0,0,0,1,0
Tom Brady,42.00,46,30,369,5,1,0,3,-3,0,0,0,0,0,0,0,0
Aaron Rodgers,37.00,33,27,327,4,0,0,1,5,0,0,0,0,0,0,0,0
Joe Mixon,36.00,0,0,0,0,0,0,25,151,2,0,6,30,1,0,0,0
Odell Beckham Jr.,33.00,0,0,0,0,0,0,2,73,1,0,5,81,2,0,0,0
Teddy Bridgewater,30.00,37,26,276,2,1,0,6,32,1,0,0,0,0,0,0,0
Josh Allen,29.00,34,24,288,2,0,0,3,-1,1,0,0,0,0,0,0,0
Kyler Murray,29.00,31,24,133,3,0,0,6,78,0,0,0,0,0,0,1,0
Justin Herbert,28.00,25,20,290,3,1,0,5,14,0,0,0,0,0,0,0,0
Lamar Jackson,28.00,21,14,193,2,1,0,7,53,1,0,0,0,0,0,0,0
Matthew Stafford,28.00,31,17,206,3,1,1,3,21,0,0,0,0,0,0,0,0
Robert Tonyan,27.00,0,0,0,0,0,0,0,0,0,0,6,98,3,0,0,0
Dalvin Cook,26.00,0,0,0,0,0,0,27,130,2,0,2,16,0,0,0,0
Derek Carr,25.00,44,32,311,2,0,0,4,20,0,0,0,0,0,0,1,0
George Kittle,24.00,0,0,0,0,0,0,1,8,0,0,15,183,1,0,0,0
Gardner Minshew,24.00,40,27,351,2,1,0,2,9,0,0,0,0,0,0,0,0
Deshaun Watson,24.00,33,20,300,2,0,0,5,9,0,0,0,0,0,0,0,0
Russell Wilson,24.00,34,24,360,2,1,0,4,5,0,0,0,0,0,0,0,0
Sam Darnold,23.00,42,23,230,0,0,0,6,84,1,0,0,0,0,0,0,0
Melvin Gordon,23.00,0,0,0,0,0,0,23,107,2,0,2,11,0,0,0,0
Patrick Mahomes,23.00,29,19,236,2,0,0,8,28,0,0,0,0,0,0,0,0
Chris Carson,22.00,0,0,0,0,0,0,16,80,2,0,3,20,0,0,0,0
Carson Wentz,22.00,28,18,193,1,1,1,7,37,1,0,0,0,0,0,0,0
D.J. Chark,21.00,0,0,0,0,0,0,0,0,0,0,8,95,2,0,0,0
Amari Cooper,21.00,0,0,0,0,0,0,0,0,0,1,12,134,1,0,0,0
Ryan Fitzpatrick,20.00,45,29,315,0,2,1,6,47,1,0,0,0,0,0,0,0
Drew Brees,19.00,25,19,246,2,1,0,3,-3,0,0,0,0,0,0,0,0
Kareem Hunt,19.00,0,0,0,0,0,0,11,71,2,0,0,0,0,0,0,0
CeeDee Lamb,19.00,0,0,0,0,0,0,1,3,0,0,5,79,2,0,0,0
Latavius Murray,19.00,0,0,0,0,0,0,14,64,2,0,1,19,0,0,0,0
Mike Evans,18.00,0,0,0,0,0,0,0,0,0,0,7,122,1,0,0,0
Antonio Gibson,18.00,0,0,0,0,0,0,13,46,1,0,4,82,0,0,0,0
Dwayne Haskins,18.00,45,32,314,0,0,0,3,3,1,0,0,0,0,0,0,0
Baker Mayfield,18.00,30,19,165,2,0,0,3,6,0,0,0,0,0,0,0,0
Mark Andrews,17.00,0,0,0,0,0,0,0,0,0,0,3,57,2,0,0,0
Joe Burrow,17.00,36,25,300,1,1,0,4,11,0,0,0,0,0,0,0,0
Todd Gurley,17.00,0,0,0,0,0,0,16,57,2,0,1,6,0,0,0,0
Aaron Jones,17.00,0,0,0,0,0,0,15,71,0,0,5,40,1,0,0,0
Alvin Kamara,17.00,0,0,0,0,0,0,19,83,1,0,3,36,0,0,0,0
Tim Patrick,17.00,0,0,0,0,0,0,0,0,0,0,6,113,1,0,0,0
Tre'Quan Smith,17.00,0,0,0,0,0,0,0,0,0,0,4,54,2,0,0,0
Adam Thielen,17.00,0,0,0,0,0,0,1,8,0,0,8,114,1,0,0,0
