,,Passing,,,,,,Rushing,,,,Receiving,,,,Fumbles,
Player,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
Tony Romo,40.00,43,26,416,4,0,0,0,0,0,0,0,0,0,0,0,0
Aaron Rodgers,38.00,38,27,342,3,0,0,4,11,1,0,0,0,0,0,0,0
Matt Ryan,37.00,32,25,279,4,0,0,2,25,0,0,0,0,0,0,0,0
Drew Brees,35.00,53,37,446,3,0,0,1,-1,0,0,0,0,0,0,0,0
Dez Bryant,34.00,0,0,0,0,0,0,0,0,0,0,9,224,2,0,0,0
Joe Flacco,30.00,36,25,309,2,0,0,3,-10,1,0,0,0,0,0,0,0
Russell Wilson,30.00,21,15,171,4,1,0,6,29,0,0,0,0,0,0,0,0
Peyton Manning,29.00,43,30,339,3,1,0,0,0,0,0,0,0,0,0,0,0
Reggie Bush,28.00,0,0,0,0,0,0,19,65,1,0,4,42,2,0,0,0
Jamaal Charles,27.00,0,0,0,0,0,0,22,226,1,0,1,4,0,0,1,0
Roddy White,27.00,0,0,0,0,0,0,0,0,0,0,8,153,2,0,0,0
Marshawn Lynch,24.00,0,0,0,0,0,0,26,111,1,0,2,19,1,0,0,0
Ryan Grant,23.00,0,0,0,0,0,0,20,80,2,0,1,34,0,0,0,0
Cam Newton,22.00,29,18,170,1,1,0,12,60,1,0,0,0,0,0,0,0
Calvin Johnson,21.00,0,0,0,0,0,0,0,0,0,0,11,225,0,0,1,0
Ray Rice,21.00,0,0,0,0,0,0,24,107,0,0,6,51,1,0,0,0
Ryan Tannehill,21.00,25,13,130,2,0,0,6,44,0,0,0,0,0,0,0,0
Shonn Greene,19.00,0,0,0,0,0,0,14,38,2,0,2,42,0,0,0,0
Mike Williams,19.00,0,0,0,0,0,0,0,0,0,0,7,132,1,0,0,0
Tom Brady,18.00,41,24,267,2,2,0,0,0,0,0,0,0,0,0,0,0
Eric Decker,18.00,0,0,0,0,0,0,0,0,0,0,6,65,2,0,0,0
Philip Rivers,18.00,22,11,165,2,0,0,5,4,0,0,0,0,0,0,0,0
Doug Baldwin,17.00,0,0,0,0,0,0,0,0,0,0,4,53,2,0,0,0
Sam Bradford,17.00,27,13,196,2,1,0,2,-1,0,0,0,0,0,0,0,0
Nick Foles,17.00,48,32,345,1,1,0,4,10,0,0,0,0,0,0,1,0
Robert Griffin III,17.00,24,16,198,2,1,0,2,4,0,0,0,0,0,0,0,0
