,,Passing,,,,,,Rushing,,,,Receiving,,,,Fumbles,
Player,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
Tom Brady,44.00,45,33,369,4,0,0,1,1,1,0,0,0,0,0,0,0
Justin Herbert,43.00,43,27,347,3,0,0,9,66,1,0,0,0,0,0,0,0
Kyler Murray,42.00,48,34,360,3,1,0,14,67,1,0,0,0,0,0,0,0
Joe Burrow,40.00,47,35,406,3,1,0,6,34,1,0,0,0,0,0,1,0
Baker Mayfield,39.00,28,22,297,5,1,0,1,-1,0,0,0,0,0,0,0,0
Tyler Lockett,38.00,0,0,0,0,0,0,0,0,0,0,15,200,3,0,0,0
Aaron Rodgers,35.00,34,23,283,4,0,0,0,0,0,0,0,0,0,0,0,0
Russell Wilson,35.00,50,33,388,3,3,0,6,84,0,0,0,0,0,0,0,0
Davante Adams,31.00,0,0,0,0,0,0,0,0,0,0,13,196,2,0,0,0
Carson Wentz,31.00,43,25,359,2,1,0,7,14,1,0,0,0,0,0,0,0
Jeffery Wilson,29.00,0,0,0,0,0,0,17,112,3,0,2,8,0,0,0,0
Drew Brees,28.00,36,29,287,2,0,0,3,2,1,0,0,0,0,0,1,0
Deshaun Watson,27.00,39,29,309,2,0,0,7,38,0,0,0,0,0,0,0,0
James Robinson,26.00,0,0,0,0,0,0,22,119,1,1,4,18,1,0,0,0
Daniel Jones,25.00,30,20,187,2,1,0,4,92,0,0,0,0,0,0,1,0
Teddy Bridgewater,23.00,28,23,254,2,0,0,2,10,0,0,0,0,0,0,0,0
Derek Carr,22.00,36,24,284,2,1,0,2,19,0,0,0,0,0,0,0,0
Gardner Minshew,22.00,27,14,173,2,0,1,4,21,0,0,0,0,0,0,0,0
A.J. Brown,21.00,0,0,0,0,0,0,0,0,0,0,6,153,1,0,0,0
D.J. Moore,21.00,0,0,0,0,0,0,0,0,0,0,4,93,2,0,0,0
Kyle Allen,20.00,25,15,194,2,0,0,4,11,0,0,0,0,0,0,0,0
Jared Goff,20.00,33,23,220,2,0,0,4,1,0,0,0,0,0,0,0,0
Diontae Johnson,20.00,0,0,0,0,0,0,0,0,0,0,9,80,2,0,0,0
Matt Ryan,20.00,42,31,338,1,0,1,0,0,0,0,0,0,0,0,1,0
Ryan Tannehill,20.00,30,18,220,2,0,0,2,5,0,0,0,0,0,0,0,0
Todd Gurley,19.00,0,0,0,0,0,0,23,63,2,0,2,19,0,0,0,0
Matthew Stafford,19.00,36,25,340,1,0,0,1,8,0,0,0,0,0,0,0,0
Antonio Gibson,18.00,0,0,0,0,0,0,20,128,1,0,0,0,0,0,0,0
Josh Allen,17.00,43,30,307,0,0,0,11,61,0,0,0,0,0,0,1,0
Harrison Bryant,17.00,0,0,0,0,0,0,0,0,0,0,4,56,2,0,0,0
Nelson Agholor,16.00,0,0,0,0,0,0,0,0,0,0,5,107,1,0,0,0
Tyler Boyd,16.00,1,1,16,0,0,0,0,0,0,0,11,101,1,0,0,0
Scott Miller,16.00,0,0,0,0,0,0,0,0,0,0,6,109,1,0,0,0
Ben Roethlisberger,16.00,49,32,268,2,3,0,1,-1,0,0,0,0,0,0,0,0
Jamaal Williams,16.00,0,0,0,0,0,0,19,77,1,0,4,37,0,0,0,0
DeAndre Hopkins,15.00,0,0,0,0,0,0,0,0,0,0,10,103,1,0,1,0
Kareem Hunt,15.00,0,0,0,0,0,0,18,76,0,0,3,26,1,0,0,0
Christian Kirk,15.00,0,0,0,0,0,0,0,0,0,0,5,37,2,0,0,0
Terry McLaurin,15.00,0,0,0,0,0,0,0,0,0,0,7,90,1,0,0,0
Giovani Bernard,14.00,0,0,0,0,0,0,13,37,0,0,5,59,1,0,0,0
Chris Godwin,14.00,0,0,0,0,0,0,0,0,0,0,9,88,1,0,0,0
Jalen Guyton,14.00,0,0,0,0,0,0,0,0,0,0,2,84,1,0,0,0
Alvin Kamara,14.00,0,0,0,0,0,0,14,83,0,0,8,65,0,0,0,0
Patrick Mahomes,14.00,23,15,200,1,0,0,0,0,0,0,0,0,0,0,0,0
Calvin Ridley,14.00,0,0,0,0,0,0,0,0,0,0,5,69,1,1,0,0
Boston Scott,14.00,0,0,0,0,0,0,12,46,0,0,3,46,1,0,0,0
Chase Edmonds,13.00,0,0,0,0,0,0,5,58,0,0,7,87,0,0,0,0
Derrick Henry,13.00,0,0,0,0,0,0,20,75,1,0,2,-3,0,0,0,0
Tee Higgins,13.00,0,0,0,0,0,0,1,7,0,0,5,71,1,0,0,0
David Johnson,13.00,0,0,0,0,0,0,14,42,0,0,4,42,1,0,1,0
Keenan Allen,12.00,0,0,0,0,0,0,0,0,0,0,10,125,0,0,0,0
Rob Gronkowski,12.00,0,0,0,0,0,0,0,0,0,0,5,62,1,0,0,0
Carlos Hyde,12.00,0,0,0,0,0,0,15,68,1,0,3,8,0,0,0,0
Drew Lock,12.00,40,24,254,0,2,0,3,8,1,0,0,0,0,0,0,0
Logan Thomas,12.00,0,0,0,0,0,0,0,0,0,0,4,60,1,0,0,0
Brandon Aiyuk,11.00,0,0,0,0,0,0,0,0,0,0,6,115,0,0,0,0
Cole Beasley,11.00,0,0,0,0,0,0,0,0,0,0,11,112,0,0,0,0
Malcolm Brown,11.00,0,0,0,0,0,0,10,57,1,0,0,0,0,0,0,0
Clyde Edwards-Helaire,11.00,0,0,0,0,0,0,8,46,1,0,1,17,0,0,0,0
Wayne Gallman,11.00,0,0,0,0,0,0,10,34,1,0,5,20,0,0,0,0
Kenny Golladay,11.00,0,0,0,0,0,0,0,0,0,0,6,114,0,0,0,0
Melvin Gordon,11.00,0,0,0,0,0,0,17,68,1,0,2,12,0,0,2,0
Rashard Higgins,11.00,0,0,0,0,0,0,0,0,0,0,6,110,0,0,0,0
Tyreek Hill,11.00,0,0,0,0,0,0,0,0,0,0,6,55,1,0,0,0
T.J. Hockenson,11.00,0,0,0,0,0,0,0,0,0,0,5,59,1,0,0,0
Donovan Peoples-Jones,11.00,0,0,0,0,0,0,0,0,0,0,3,56,1,0,0,0
Lamical Perine,11.00,0,0,0,0,0,0,11,40,1,0,2,16,0,0,0,0
Josh Reynolds,11.00,0,0,0,0,0,0,0,0,0,0,4,52,1,0,0,0
Sterling Shepard,11.00,0,0,0,0,0,0,0,0,0,0,6,59,1,0,0,0
Darren Waller,11.00,0,0,0,0,0,0,0,0,0,0,6,50,1,0,0,0
James Conner,10.00,0,0,0,0,0,0,20,82,0,0,3,29,0,0,0,0
Deonte Harty,10.00,0,0,0,0,0,0,0,0,0,0,4,46,1,0,0,0
Curtis Samuel,10.00,0,0,0,0,0,0,1,5,1,0,6,48,0,0,0,0
D'Andre Swift,10.00,0,0,0,0,0,0,9,27,1,0,4,21,0,0,0,0
Greg Ward,10.00,0,0,0,0,0,0,0,0,0,0,5,42,1,0,0,0
Randall Cobb,9.00,0,0,0,0,0,0,0,0,0,0,8,95,0,0,0,0
Jared Cook,9.00,0,0,0,0,0,0,0,0,0,0,3,32,1,0,0,0
Corey Davis,9.00,0,0,0,0,0,0,0,0,0,0,6,35,1,0,0,0
Leonard Fournette,9.00,0,0,0,0,0,0,11,50,0,0,6,47,0,0,0,0
Will Fuller,9.00,0,0,0,0,0,0,0,0,0,0,3,35,1,0,0,0
Julio Jones,9.00,0,0,0,0,0,0,0,0,0,0,8,97,0,0,0,0
Ronald Jones II,9.00,0,0,0,0,0,0,13,34,1,0,1,2,0,0,0,0
Golden Tate,9.00,0,0,0,0,0,0,0,0,0,0,1,39,1,0,0,0
Chris Conley,8.00,0,0,0,0,0,0,0,0,0,0,1,28,1,0,0,0
Amari Cooper,8.00,0,0,0,0,0,0,1,5,0,0,7,80,0,0,0,0
Gerald Everett,8.00,0,0,0,0,0,0,0,0,0,0,4,28,1,0,0,0
A.J. Green,8.00,0,0,0,0,0,0,0,0,0,0,7,82,0,0,0,0
Virgil Green,8.00,0,0,0,0,0,0,0,0,0,0,1,26,1,0,0,0
Marvin Jones,8.00,0,0,0,0,0,0,0,0,0,0,5,80,0,0,0,0
Kyle Juszczyk,8.00,0,0,0,0,0,0,4,18,1,0,1,18,0,0,0,0
David Njoku,8.00,0,0,0,0,0,0,0,0,0,0,2,20,1,0,0,0
Donald Parham,8.00,0,0,0,0,0,0,0,0,0,0,1,22,1,0,0,0
Richard Rodgers,8.00,0,0,0,0,0,0,0,0,0,0,6,85,0,0,0,0
JuJu Smith-Schuster,8.00,0,0,0,0,0,0,0,0,0,0,9,85,0,0,0,0
Robby Anderson,7.00,0,0,0,0,0,0,0,0,0,0,6,74,0,0,0,0
Marquez Callaway,7.00,0,0,0,0,0,0,0,0,0,0,8,75,0,0,0,0
Travis Fulgham,7.00,0,0,0,0,0,0,0,0,0,0,5,73,0,0,0,0
Jimmy Garoppolo,7.00,25,20,277,0,2,0,1,4,0,0,0,0,0,0,0,0
Darrell Henderson,7.00,0,0,0,0,0,0,15,63,0,0,2,13,0,0,0,0
Phillip Lindsay,7.00,0,0,0,0,0,0,9,79,0,0,0,0,0,0,0,0
Joe Reed,7.00,0,0,0,0,0,0,2,14,1,0,0,0,0,0,0,0
Allen Robinson,7.00,0,0,0,0,0,0,0,0,0,0,4,70,0,0,0,0
Danny Amendola,6.00,0,0,0,0,0,0,0,0,0,0,3,62,0,0,0,0
Brandin Cooks,6.00,0,0,0,0,0,0,0,0,0,0,7,60,0,0,0,0
Larry Fitzgerald,6.00,0,0,0,0,0,0,0,0,0,0,8,62,0,0,0,0
Nick Foles,6.00,40,28,261,0,2,0,0,0,0,0,0,0,0,0,0,0
Frank Gore,6.00,0,0,0,0,0,0,11,60,0,0,0,0,0,0,0,0
Mecole Hardman,6.00,0,0,0,0,0,0,1,13,0,0,2,57,0,0,0,0
Damien Harris,6.00,0,0,0,0,0,0,10,58,0,0,1,12,0,0,0,0
JaMycal Hasty,6.00,0,0,0,0,0,0,9,57,0,0,1,16,0,0,0,0
Chad Henne,6.00,2,2,13,0,0,0,4,-2,1,0,0,0,0,0,0,0
Hayden Hurst,6.00,0,0,0,0,0,0,0,0,0,0,6,68,0,0,0,0
Tyler Johnson,6.00,0,0,0,0,0,0,0,0,0,0,2,4,1,0,0,0
Tyler Kroft,6.00,0,0,0,0,0,0,0,0,0,0,4,64,0,0,0,0
Jakobi Meyers,6.00,0,0,0,0,0,0,1,2,0,0,4,60,0,0,0,0
David Montgomery,6.00,0,0,0,0,0,0,14,48,0,0,5,21,0,0,0,0
Zack Moss,6.00,0,0,0,0,0,0,7,47,0,0,3,25,0,0,0,0
Albert Okwuegbunam,6.00,0,0,0,0,0,0,0,0,0,0,7,60,0,0,0,0
Deebo Samuel,6.00,0,0,0,0,0,0,3,7,0,0,5,65,0,0,0,0
Benjamin Snell,6.00,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0
Jace Sternberger,6.00,0,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0
Malik Taylor,6.00,0,0,0,0,0,0,0,0,0,0,2,6,1,0,0,0
Dan Arnold,5.00,0,0,0,0,0,0,0,0,0,0,2,57,0,0,0,0
Eric Ebron,5.00,0,0,0,0,0,0,0,0,0,0,6,50,0,0,0,0
