,,Passing,,,,,,Rushing,,,,Receiving,,,,Fumbles,
Player,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
Tom Brady,37.00,36,22,340,3,0,0,1,4,1,0,0,0,0,0,0,0
Drew Brees,35.00,54,35,446,3,0,0,0,0,0,0,0,0,0,0,0,0
Aaron Rodgers,35.00,41,31,319,4,1,0,5,13,0,0,0,0,0,0,0,0
Cam Newton,34.00,24,15,215,2,0,0,9,86,1,0,0,0,0,0,0,0
Ryan Fitzpatrick,31.00,39,22,350,4,4,0,3,14,0,0,0,0,0,0,0,0
Brian Hartline,31.00,0,0,0,0,0,0,0,0,0,0,12,253,1,0,0,0
Peyton Manning,31.00,38,30,338,3,0,0,1,-1,0,0,0,0,0,0,0,0
Matt Ryan,30.00,40,25,369,3,1,0,0,0,0,0,0,0,0,0,0,0
Roddy White,28.00,0,0,0,0,0,0,0,0,0,0,8,169,2,0,0,0
Kevin Kolb,26.00,48,29,324,3,2,0,0,0,0,0,0,0,0,0,0,0
Andy Dalton,25.00,31,20,244,2,1,0,6,5,1,0,0,0,0,0,0,0
Joe Flacco,24.00,46,28,356,1,1,0,2,4,1,0,0,0,0,0,0,0
Andre Roberts,23.00,0,0,0,0,0,0,0,0,0,0,6,118,2,0,0,0
Jay Cutler,22.00,24,18,275,2,0,0,3,0,0,0,0,0,0,0,1,0
Eli Manning,22.00,42,24,309,2,1,0,0,0,0,0,0,0,0,0,0,0
Stevan Ridley,22.00,0,0,0,0,0,0,22,106,2,0,0,0,0,0,0,0
Michael Turner,22.00,0,0,0,0,0,0,13,103,0,0,3,68,1,0,0,0
Marques Colston,21.00,0,0,0,0,0,0,0,0,0,0,9,153,1,0,0,0
Robert Griffin III,21.00,35,26,323,0,0,0,8,36,1,0,0,0,0,0,0,0
Brandon Bolden,20.00,0,0,0,0,0,0,16,137,1,0,1,11,0,0,0,0
Jamaal Charles,20.00,0,0,0,0,0,0,17,88,1,0,3,23,1,0,2,0
Marshawn Lynch,20.00,0,0,0,0,0,0,20,118,1,0,4,37,0,0,0,0
Matt Schaub,20.00,28,20,202,2,0,0,2,-2,0,0,0,0,0,0,0,0
Ryan Tannehill,20.00,41,26,431,1,2,1,1,0,0,0,0,0,0,0,1,0
Jackie Battle,19.00,0,0,0,0,0,0,15,39,1,0,4,42,1,0,0,0
Brandon Marshall,19.00,0,0,0,0,0,0,0,0,0,0,7,138,1,0,0,0
Willis McGahee,19.00,0,0,0,0,0,0,19,112,1,0,6,23,0,0,0,0
Matthew Stafford,19.00,51,30,319,0,0,0,4,14,1,0,0,0,0,0,0,0
Michael Vick,19.00,30,19,241,1,0,0,6,49,0,0,0,0,0,0,0,0
Scott Chandler,18.00,0,0,0,0,0,0,0,0,0,0,4,62,2,0,0,0
Philip Rivers,18.00,23,18,209,2,1,0,3,0,0,0,0,0,0,0,0,0
A.J. Green,17.00,0,0,0,0,0,0,0,0,0,0,6,117,1,0,0,0
James Jones,17.00,0,0,0,0,0,0,0,0,0,0,5,56,2,0,0,0
Alfred Morris,17.00,0,0,0,0,0,0,21,113,1,0,1,-4,0,0,0,0
Jason Witten,17.00,0,0,0,0,0,0,0,0,0,0,13,112,1,0,0,0
Dwayne Bowe,16.00,0,0,0,0,0,0,0,0,0,0,7,108,1,0,0,0
Matt Cassel,16.00,42,24,251,2,3,0,0,0,0,0,0,0,0,0,0,0
Victor Cruz,16.00,0,0,0,0,0,0,0,0,0,0,9,109,1,0,0,0
Vincent Jackson,16.00,0,0,0,0,0,0,0,0,0,0,6,100,1,0,0,0
Josh Freeman,15.00,39,24,299,1,1,0,2,8,0,0,0,0,0,0,0,0
Rob Gronkowski,15.00,0,0,0,0,0,0,0,0,0,0,5,104,1,0,1,0
DeSean Jackson,15.00,0,0,0,0,0,0,0,0,0,0,6,99,1,0,0,0
Chris Johnson,15.00,0,0,0,0,0,0,25,141,0,0,2,16,0,0,0,0
Donald Jones,15.00,0,0,0,0,0,0,0,0,0,0,2,90,1,0,0,0
Jordy Nelson,15.00,0,0,0,0,0,0,0,0,0,0,8,93,1,0,0,0
Trent Richardson,15.00,0,0,0,0,0,0,14,47,1,0,4,57,0,0,0,0
Torrey Smith,15.00,0,0,0,0,0,0,1,0,0,0,6,97,1,0,0,0
Arian Foster,14.00,0,0,0,0,0,0,24,86,1,0,1,8,0,0,0,0
Matt Hasselbeck,14.00,25,17,193,2,2,0,2,3,0,0,0,0,0,0,1,0
Joseph Morgan,14.00,0,0,0,0,0,0,0,0,0,0,1,80,1,0,0,0
Greg Olsen,14.00,0,0,0,0,0,0,0,0,0,0,6,89,1,0,0,0
Anquan Boldin,13.00,0,0,0,0,0,0,0,0,0,0,9,131,0,0,0,0
Owen Daniels,13.00,0,0,0,0,0,0,0,0,0,0,6,72,1,0,0,0
Eric Decker,13.00,0,0,0,0,0,0,0,0,0,0,7,79,1,0,0,0
Frank Gore,13.00,0,0,0,0,0,0,20,64,1,0,2,13,0,0,0,0
LeSean McCoy,13.00,0,0,0,0,0,0,23,123,0,0,3,17,0,0,0,0
Davone Bess,12.00,0,0,0,0,0,0,0,0,0,0,7,123,0,0,0,0
Dez Bryant,12.00,0,0,0,0,0,0,0,0,0,0,8,105,0,1,0,0
Larry Fitzgerald,12.00,0,0,0,0,0,0,0,0,0,0,8,64,1,0,0,0
Blaine Gabbert,12.00,34,23,186,1,1,0,3,19,0,0,0,0,0,0,0,0
Adrian Peterson,12.00,0,0,0,0,0,0,21,102,0,0,4,20,0,0,0,0
Darren Sproles,12.00,0,0,0,0,0,0,5,20,0,0,5,44,1,0,0,0
Danny Amendola,11.00,0,0,0,0,0,0,1,6,0,0,6,55,1,0,0,0
Miles Austin,11.00,0,0,0,0,0,0,0,0,0,0,4,57,1,0,0,0
Domenik Hixon,11.00,0,0,0,0,0,0,0,0,0,0,6,114,0,0,0,0
Kendall Hunter,11.00,0,0,0,0,0,0,8,56,1,0,0,0,0,0,0,0
Colin Kaepernick,11.00,1,0,0,0,0,0,5,50,1,0,0,0,0,0,0,0
Brandon Lloyd,11.00,0,0,0,0,0,0,0,0,0,0,3,50,1,0,0,0
Kyle Orton,11.00,10,9,89,1,0,1,0,0,0,0,0,0,0,0,0,0
Wes Welker,11.00,0,0,0,0,0,0,0,0,0,0,9,129,0,0,1,0
Mike Williams,11.00,0,0,0,0,0,0,0,0,0,0,4,115,0,0,0,0
Cedric Benson,10.00,0,0,0,0,0,0,18,84,0,0,4,22,0,0,0,0
Brad Smith,10.00,0,0,0,0,0,0,0,0,0,0,2,49,1,0,0,0
Brandon Weeden,10.00,52,25,320,0,1,0,0,0,0,0,0,0,0,0,0,0
DeAngelo Williams,10.00,0,0,0,0,0,0,11,49,1,0,1,2,0,0,0,0
Kendall Wright,10.00,0,0,0,0,0,0,0,0,0,0,4,46,1,0,0,0
James Casey,9.00,0,0,0,0,0,0,0,0,0,0,5,36,1,0,0,0
Devin Hester,9.00,0,0,0,0,0,0,0,0,0,0,3,38,1,0,0,0
Marcedes Lewis,9.00,0,0,0,0,0,0,0,0,0,0,3,32,1,0,0,0
Kealoha Pilares,9.00,0,0,0,0,0,0,0,0,0,0,1,36,1,0,0,0
Demaryius Thomas,9.00,0,0,0,0,0,0,0,0,0,0,5,103,0,0,1,0
Lance Ball,8.00,0,0,0,0,0,0,6,10,0,0,1,14,1,0,0,0
Pierre Garcon,8.00,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,1
BenJarvus Green-Ellis,8.00,0,0,0,0,0,0,26,82,0,0,2,12,0,0,1,0
Jorvorskie Lane,8.00,0,0,0,0,0,0,3,2,1,0,0,0,0,1,0,0
Ryan Mathews,8.00,0,0,0,0,0,0,14,61,0,0,2,21,0,0,0,0
Carson Palmer,8.00,34,19,202,0,0,0,0,0,0,0,0,0,0,0,0,0
Ray Rice,8.00,0,0,0,0,0,0,18,49,0,0,8,47,0,0,0,0
