,,Passing,,,,,,Rushing,,,,Receiving,,,,Fumbles,
Player,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
Joe Flacco,35.00,33,21,341,3,1,0,1,1,1,0,0,0,0,0,0,0
Matt Ryan,32.00,52,34,411,3,1,0,2,2,0,0,0,0,0,0,0,0
Andy Dalton,31.00,30,21,199,4,0,0,2,-2,0,0,0,0,0,0,0,0
Matthew Stafford,30.00,42,28,329,3,1,0,3,13,0,0,0,0,0,0,0,0
Drew Brees,27.00,32,21,298,3,1,0,1,-1,0,0,0,0,0,0,0,0
Philip Rivers,27.00,37,29,337,3,2,0,2,5,0,0,0,0,0,0,0,0
Jimmy Graham,26.00,0,0,0,0,0,0,0,0,0,0,7,146,2,0,0,0
Calvin Johnson,25.00,0,0,0,0,0,0,0,0,0,0,12,207,1,0,1,0
Adrian Peterson,25.00,0,0,0,0,0,0,27,171,1,1,3,5,0,0,0,0
Tony Gonzalez,24.00,0,0,0,0,0,0,0,0,0,0,11,122,2,0,0,0
Sam Bradford,23.00,39,26,275,2,0,0,1,0,0,0,0,0,0,0,0,0
Ryan Fitzpatrick,23.00,40,27,337,2,1,0,3,12,0,0,0,0,0,0,1,0
Carson Palmer,23.00,45,29,368,2,1,0,1,0,0,0,0,0,0,0,1,0
Fred Jackson,22.00,0,0,0,0,0,0,16,80,2,0,4,35,0,0,1,0
Greg Olsen,22.00,0,0,0,0,0,0,0,0,0,0,9,102,2,0,0,0
Christian Ponder,22.00,32,24,221,2,0,0,6,22,0,0,1,-15,0,0,0,0
Tom Brady,21.00,38,23,237,2,0,0,1,-1,0,0,0,0,0,0,0,0
Russell Wilson,21.00,19,12,188,2,0,0,7,34,0,0,0,0,0,0,1,0
Josh Freeman,20.00,20,14,210,2,0,0,1,4,0,0,0,0,0,0,0,0
Tony Romo,20.00,26,19,209,2,0,0,1,-1,0,0,0,0,0,0,0,0
Danario Alexander,19.00,0,0,0,0,0,0,0,0,0,0,5,134,1,0,0,0
Jake Locker,19.00,21,9,122,2,0,0,4,36,0,0,0,0,0,0,0,0
Andrew Luck,19.00,26,18,227,0,1,0,7,11,2,0,0,0,0,0,1,0
