,,Passing,,,,,,Rushing,,,,Receiving,,,,Fumbles,
Player,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
Cam Newton,45.00,41,28,331,5,1,0,10,49,0,0,0,0,0,0,0,0
Blake Bortles,42.00,36,24,322,5,0,0,2,-1,0,0,0,0,0,0,0,0
Marcus Mariota,42.00,29,20,268,3,1,0,9,112,1,0,0,0,0,0,1,0
Ben Roethlisberger,41.00,39,24,364,4,0,1,1,13,0,0,0,0,0,0,0,0
Russell Wilson,39.00,27,21,274,3,0,0,9,51,1,0,0,0,0,0,0,0
Tom Brady,36.00,56,29,312,3,2,0,6,17,1,0,1,36,0,0,0,0
Tyrod Taylor,34.00,21,11,211,3,0,0,7,28,1,0,0,0,0,0,0,0
Allen Robinson,33.00,0,0,0,0,0,0,0,0,0,0,10,153,3,0,0,0
Ryan Fitzpatrick,29.00,50,36,390,2,0,0,5,22,0,0,0,0,0,0,0,0
Drew Brees,28.00,42,24,282,3,1,0,1,12,0,0,0,0,0,0,0,0
Brian Hoyer,28.00,43,26,293,3,1,0,3,15,0,0,0,0,0,0,0,0
Aaron Rodgers,28.00,36,24,273,2,1,0,4,27,1,0,0,0,0,0,0,0
Alex Smith,28.00,22,16,162,2,0,1,5,23,1,0,0,0,0,0,0,0
Andy Dalton,27.00,19,14,220,2,0,0,4,11,1,0,0,0,0,0,0,0
Blaine Gabbert,26.00,32,18,196,1,0,0,6,75,1,0,0,0,0,0,0,0
Carson Palmer,26.00,40,26,356,2,0,0,0,0,0,0,0,0,0,0,0,0
Antonio Brown,23.00,0,0,0,0,0,0,0,0,0,0,8,118,2,0,0,0
Javorius Allen,22.00,0,0,0,0,0,0,17,63,0,0,12,107,1,0,0,0
Doug Baldwin,21.00,0,0,0,0,0,0,0,0,0,0,5,94,2,0,0,0
Matthew Stafford,21.00,35,23,220,2,0,0,2,22,0,0,0,0,0,0,1,0
Odell Beckham Jr.,20.00,0,0,0,0,0,0,0,0,0,0,6,149,1,0,0,0
Ted Ginn Jr.,20.00,0,0,0,0,0,0,0,0,0,0,5,80,2,0,0,0
Jeremy Maclin,20.00,0,0,0,0,0,0,0,0,0,0,9,95,2,0,1,0
Richard Rodgers,20.00,0,0,0,0,0,0,0,0,0,0,8,146,1,0,0,0
Jameis Winston,20.00,27,18,227,1,1,0,5,15,1,0,0,0,0,0,0,0
Brandon Marshall,19.00,0,0,0,0,0,0,0,0,0,0,12,131,1,0,0,0
A.J. Green,18.00,0,0,0,0,0,0,0,0,0,0,5,128,1,0,0,0
T.J. Yeldon,18.00,0,0,0,0,0,0,15,57,1,0,4,79,0,0,0,0
Martavis Bryant,17.00,0,0,0,0,0,0,0,0,0,0,4,114,1,0,0,0
Derek Carr,17.00,48,31,283,2,3,0,0,0,0,0,0,0,0,0,0,0
Matt Forte,17.00,0,0,0,0,0,0,21,84,1,0,5,39,0,0,0,0
Dorial Green-Beckham,17.00,0,0,0,0,0,0,0,0,0,0,5,119,1,0,0,0
David Johnson,17.00,0,0,0,0,0,0,22,99,0,0,2,21,1,0,0,0
Thomas Rawls,17.00,0,0,0,0,0,0,19,101,1,0,3,22,0,0,1,0
James White,17.00,0,0,0,0,0,0,2,4,0,0,10,115,1,0,0,0
Sam Bradford,16.00,24,14,120,2,0,0,1,-1,0,0,0,0,0,0,0,0
Brandin Cooks,16.00,0,0,0,0,0,0,0,0,0,0,6,104,1,0,0,0
Bilal Powell,16.00,0,0,0,0,0,0,6,17,0,0,8,91,1,0,0,0
Jonathan Stewart,16.00,0,0,0,0,0,0,21,82,1,0,3,31,0,0,1,0
Sammy Watkins,16.00,0,0,0,0,0,0,0,0,0,0,3,109,1,0,0,0
Jeremy Hill,15.00,0,0,0,0,0,0,22,98,1,0,0,0,0,0,0,0
Mark Ingram,15.00,0,0,0,0,0,0,12,56,1,1,4,23,0,0,0,0
Eli Manning,15.00,34,18,297,1,1,0,1,2,0,0,0,0,0,0,0,0
Latavius Murray,15.00,0,0,0,0,0,0,20,86,1,0,4,11,0,0,0,0
Delanie Walker,15.00,0,0,0,0,0,0,0,0,0,0,8,92,1,0,0,0
DeAngelo Williams,15.00,0,0,0,0,0,0,26,134,0,0,5,31,0,0,1,0
Kirk Cousins,14.00,31,22,219,1,0,0,1,6,0,0,0,0,0,0,0,0
Shaun Draughn,14.00,0,0,0,0,0,0,13,36,1,0,5,50,0,0,0,0
Frank Gore,14.00,0,0,0,0,0,0,13,45,0,0,3,49,1,0,0,0
DeAndre Hopkins,14.00,0,0,0,0,0,0,0,0,0,0,5,88,1,0,0,0
Doug Martin,14.00,0,0,0,0,0,0,25,95,1,0,1,5,0,0,1,0
Matt Ryan,14.00,45,30,269,1,1,0,1,4,0,0,0,0,0,0,0,0
Matt Schaub,14.00,46,32,308,1,2,0,1,0,0,0,0,0,0,0,0,0
Danny Amendola,13.00,1,1,36,0,0,0,0,0,0,0,7,62,1,0,0,0
Brandon Coleman,13.00,0,0,0,0,0,0,0,0,0,0,4,73,1,0,0,0
DeSean Jackson,13.00,0,0,0,0,0,0,0,0,0,0,6,80,1,0,1,0
