,,Passing,,,,,,Rushing,,,,Receiving,,,,Fumbles,
Player,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
Deshaun Watson,51.00,33,28,426,5,0,0,4,47,0,0,0,0,0,0,0,0
Aaron Jones,41.00,0,0,0,0,0,0,19,107,4,0,7,75,0,0,0,0
Christian McCaffrey,41.00,1,0,0,0,0,0,19,176,2,0,6,61,1,0,0,0
Will Fuller,39.00,0,0,0,0,0,0,0,0,0,0,14,217,3,0,0,0
Matt Ryan,37.00,46,32,330,3,1,1,3,7,1,0,0,0,0,0,0,0
Russell Wilson,37.00,23,17,268,4,0,0,8,32,0,0,0,0,0,0,0,0
Teddy Bridgewater,34.00,34,26,314,4,1,0,5,7,0,0,0,0,0,0,0,0
Michael Thomas,30.00,0,0,0,0,0,0,0,0,0,0,11,182,2,0,0,0
Tom Brady,29.00,42,28,348,3,1,0,0,0,0,0,0,0,0,0,0,0
D.J. Chark,28.00,0,0,0,0,0,0,0,0,0,0,8,164,2,0,0,0
Amari Cooper,28.00,0,0,0,0,0,0,0,0,0,0,11,226,1,0,0,0
Gardner Minshew,27.00,44,26,374,2,0,0,7,42,0,0,0,0,0,0,3,0
Josh Jacobs,26.00,0,0,0,0,0,0,26,123,2,0,3,20,0,0,0,0
Dak Prescott,26.00,44,27,463,2,3,0,4,27,0,0,0,0,0,0,0,0
Kyler Murray,25.00,32,20,253,0,0,0,10,93,1,0,0,0,0,0,0,0
Adam Thielen,25.00,0,0,0,0,0,0,0,0,0,0,7,130,2,0,0,0
Matt Breida,24.00,0,0,0,0,0,0,11,114,1,0,3,15,1,0,0,0
Kirk Cousins,24.00,27,22,306,2,0,0,3,3,0,0,0,0,0,0,0,0
Chris Godwin,24.00,0,0,0,0,0,0,0,0,0,0,7,125,2,0,0,0
Andy Dalton,22.00,38,27,262,2,0,0,2,5,0,0,0,0,0,0,0,0
Allen Robinson,21.00,0,0,0,0,0,0,0,0,0,0,7,97,2,0,0,0
Jameis Winston,21.00,27,15,204,2,0,0,3,13,0,0,0,0,0,0,0,0
Josh Allen,20.00,32,23,219,2,1,0,10,27,0,0,0,0,0,0,0,0
Dalvin Cook,20.00,0,0,0,0,0,0,21,132,0,0,6,86,0,0,1,0
Phillip Lindsay,20.00,0,0,0,0,0,0,15,114,1,0,4,33,0,0,0,0
Jimmy Garoppolo,19.00,29,20,181,2,0,0,4,-3,0,0,0,0,0,0,0,0
Jared Goff,19.00,49,29,395,1,1,0,1,1,0,0,0,0,0,0,0,0
Patrick Mahomes,19.00,39,22,321,1,0,0,3,17,0,0,0,0,0,0,0,0
Tyler Boyd,18.00,0,0,0,0,0,0,0,0,0,0,10,123,1,0,0,0
Leonard Fournette,18.00,0,0,0,0,0,0,23,108,1,0,4,29,0,0,0,0
Sony Michel,18.00,0,0,0,0,0,0,16,91,1,0,3,32,0,0,0,0
Chris Carson,17.00,0,0,0,0,0,0,27,118,0,0,1,5,1,0,0,0
Chase Daniel,17.00,30,22,231,2,2,0,1,2,0,0,0,0,0,0,0,0
Julian Edelman,17.00,0,0,0,0,0,0,0,0,0,0,8,110,1,0,0,0
Michael Gallup,17.00,0,0,0,0,0,0,0,0,0,0,7,113,1,0,0,0
Cooper Kupp,17.00,0,0,0,0,0,0,0,0,0,0,9,117,1,0,0,0
Todd Gurley,16.00,0,0,0,0,0,0,15,51,2,0,3,6,0,0,1,0
Byron Pringle,16.00,0,0,0,0,0,0,0,0,0,0,6,103,1,0,0,0
Tevin Coleman,15.00,0,0,0,0,0,0,16,97,1,0,0,0,0,0,0,0
David Johnson,15.00,0,0,0,0,0,0,17,91,0,0,3,65,0,0,0,0
Courtland Sutton,15.00,0,0,0,0,0,0,0,0,0,0,4,92,1,0,0,0
Reggie Bonnafon,14.00,0,0,0,0,0,0,5,80,1,0,0,0,0,0,0,0
Ezekiel Elliott,14.00,0,0,0,0,0,0,12,62,1,0,2,29,0,0,0,0
Darren Fells,14.00,0,0,0,0,0,0,0,0,0,0,2,20,2,0,0,0
George Kittle,14.00,0,0,0,0,0,0,1,18,0,0,6,70,1,0,0,0
Marlon Mack,14.00,0,0,0,0,0,0,29,132,0,0,3,16,0,0,0,0
Calvin Ridley,14.00,0,0,0,0,0,0,0,0,0,0,5,88,1,0,0,0
Kyle Allen,13.00,30,17,181,1,0,0,1,4,0,0,0,0,0,0,0,0
Chase Edmonds,13.00,0,0,0,0,0,0,8,68,1,0,3,18,0,0,0,0
Gerald Everett,13.00,0,0,0,0,0,0,0,0,0,0,7,136,0,0,0,0
Devonta Freeman,13.00,0,0,0,0,0,0,11,30,0,0,5,40,1,0,0,0
Derrick Henry,13.00,0,0,0,0,0,0,20,78,1,0,0,0,0,0,0,0
Lamar Jackson,13.00,28,19,161,1,3,0,14,70,0,0,0,0,0,0,0,0
Carson Wentz,13.00,29,17,189,1,0,0,2,5,0,0,0,0,0,0,0,0
Jordan Howard,12.00,0,0,0,0,0,0,13,62,1,0,0,0,0,0,0,0
Carlos Hyde,12.00,0,0,0,0,0,0,21,60,1,0,0,0,0,0,0,0
Daniel Jones,12.00,38,21,182,1,1,0,3,12,0,0,0,0,0,0,0,0
Steven Sims,12.00,0,0,0,0,0,0,1,65,1,0,2,1,0,0,0,0
Darius Slayton,12.00,0,0,0,0,0,0,0,0,0,0,4,62,1,0,0,0
JuJu Smith-Schuster,12.00,0,0,0,0,0,0,0,0,0,0,7,75,1,0,1,0
James Conner,11.00,0,0,0,0,0,0,14,55,1,0,0,0,0,0,0,0
Zach Ertz,11.00,0,0,0,0,0,0,0,0,0,0,5,57,1,0,0,0
Tyler Lockett,11.00,0,0,0,0,0,0,1,-8,0,0,4,51,1,0,0,0
Mason Rudolph,11.00,20,13,131,1,0,0,0,0,0,0,0,0,0,0,0,0
Jacoby Brissett,10.00,29,18,151,0,1,0,6,9,1,0,0,0,0,0,0,0
Jared Cook,10.00,0,0,0,0,0,0,0,0,0,0,4,41,1,0,0,0
Joe Flacco,10.00,20,14,182,1,1,0,3,7,0,0,0,0,0,0,1,0
Mark Ingram,10.00,0,0,0,0,0,0,19,44,1,0,2,5,0,0,0,0
Alvin Kamara,10.00,1,1,13,0,0,0,16,62,0,0,6,42,0,0,0,0
D.K. Metcalf,10.00,0,0,0,0,0,0,0,0,0,0,2,44,1,0,0,0
Joe Mixon,10.00,0,0,0,0,0,0,19,93,0,0,1,16,0,0,0,0
Mohamed Sanu,10.00,0,0,0,0,0,0,1,1,0,0,5,42,1,0,0,0
Peyton Barber,9.00,0,0,0,0,0,0,8,32,1,0,1,-1,0,0,0,0
Brandon Bolden,9.00,0,0,0,0,0,0,5,13,0,0,1,29,1,0,0,0
Nick Chubb,9.00,0,0,0,0,0,0,16,87,0,0,1,12,0,0,0,0
Ted Ginn Jr.,9.00,0,0,0,0,0,0,1,1,0,0,2,35,1,0,0,0
Ryan Izzo,9.00,0,0,0,0,0,0,0,0,0,0,2,39,1,0,0,0
David Montgomery,9.00,0,0,0,0,0,0,11,25,1,0,1,11,0,0,0,0
D.J. Moore,9.00,0,0,0,0,0,0,0,0,0,0,6,91,0,0,0,0
Aaron Rodgers,9.00,34,22,238,0,0,0,4,-1,0,0,0,0,0,0,0,0
Le'Veon Bell,8.00,0,0,0,0,0,0,15,43,0,0,7,45,0,0,0,0
Marquise Brown,8.00,0,0,0,0,0,0,0,0,0,0,3,22,1,0,0,0
Derek Carr,8.00,32,25,229,0,0,0,3,8,0,0,0,0,0,0,1,0
Will Dissly,8.00,0,0,0,0,0,0,1,7,0,0,4,81,0,0,0,0
DeAndre Hopkins,8.00,0,0,0,0,0,0,0,0,0,0,7,88,0,0,0,0
Marcus Mariota,8.00,22,13,183,0,0,0,5,13,0,0,0,0,0,0,0,0
Auden Tate,8.00,0,0,0,0,0,0,0,0,0,0,3,26,1,0,0,0
DeAndre Washington,8.00,0,0,0,0,0,0,6,17,1,0,3,19,0,0,0,0
Dede Westbrook,8.00,0,0,0,0,0,0,0,0,0,0,7,82,0,0,0,0
D'haquille Williams,8.00,0,0,0,0,0,0,0,0,0,0,4,29,1,0,0,0
John Brown,7.00,0,0,0,0,0,0,0,0,0,0,5,75,0,0,0,0
Keke Coutee,7.00,0,0,0,0,0,0,0,0,0,0,3,72,0,0,0,0
Austin Ekeler,7.00,0,0,0,0,0,0,3,7,0,0,15,86,0,0,1,0
Mecole Hardman,7.00,0,0,0,0,0,0,1,-6,0,0,4,79,0,0,0,0
Austin Hooper,7.00,0,0,0,0,0,0,0,0,0,0,6,56,0,1,0,0
Travis Kelce,7.00,0,0,0,0,0,0,0,0,0,0,4,70,0,0,0,0
Jarvis Landry,7.00,0,0,0,0,0,0,0,0,0,0,4,75,0,0,0,0
David Moore,7.00,0,0,0,0,0,0,0,0,0,0,1,10,1,0,0,0
Vyncint Smith,7.00,0,0,0,0,0,0,1,19,1,0,0,0,0,0,0,0
Mike Williams,7.00,0,0,0,0,0,0,0,0,0,0,6,74,0,0,0,0
Royce Freeman,6.00,0,0,0,0,0,0,13,61,0,0,2,6,0,0,0,0
Frank Gore,6.00,0,0,0,0,0,0,14,60,0,0,2,9,0,0,0,0
Lee Smith,6.00,0,0,0,0,0,0,0,0,0,0,1,8,1,0,0,0
James White,6.00,0,0,0,0,0,0,6,26,0,0,6,46,0,0,0,0
Randall Cobb,5.00,0,0,0,0,0,0,0,0,0,0,3,53,0,0,0,0
Larry Fitzgerald,5.00,0,0,0,0,0,0,0,0,0,0,6,58,0,0,0,0
Marquise Goodwin,5.00,0,0,0,0,0,0,1,15,0,0,3,41,0,0,0,0
Josh Gordon,5.00,0,0,0,0,0,0,0,0,0,0,5,59,0,0,0,0
Alshon Jeffery,5.00,0,0,0,0,0,0,0,0,0,0,6,52,0,0,0,0
Duke Johnson,5.00,0,0,0,0,0,0,9,59,0,0,1,8,0,0,0,0
Ronald Jones II,5.00,0,0,0,0,0,0,9,35,0,0,2,21,0,0,0,0
Alexander Mattison,5.00,0,0,0,0,0,0,7,52,0,0,0,0,0,0,0,0
Isaiah McKenzie,5.00,0,0,0,0,0,0,0,0,0,0,2,52,0,0,0,0
Terry McLaurin,5.00,0,0,0,0,0,0,0,0,0,0,3,51,0,0,0,0
Anthony Miller,5.00,0,0,0,0,0,0,0,0,0,0,4,52,0,0,0,0
James O'Shaughnessy,5.00,0,0,0,0,0,0,0,0,0,0,3,57,0,0,0,0
Miles Sanders,5.00,0,0,0,0,0,0,9,15,0,0,4,49,0,0,0,0
Ito Smith,5.00,0,0,0,0,0,0,5,19,0,0,6,45,0,0,0,0
Jonnu Smith,5.00,0,0,0,0,0,0,0,0,0,0,1,57,0,0,0,0
Willie Snead,5.00,0,0,0,0,0,0,0,0,0,0,4,51,0,0,0,0
James Washington,5.00,0,0,0,0,0,0,0,0,0,0,3,52,0,0,0,0
Mark Andrews,4.00,0,0,0,0,0,0,0,0,0,0,5,45,0,0,0,0
Tarik Cohen,4.00,0,0,0,0,0,0,4,10,0,0,6,39,0,0,0,0
