,,Passing,,,,,,Rushing,,,,Receiving,,,,Fumbles,
Player,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
Dak Prescott,33.00,35,27,347,3,1,0,6,41,0,0,0,0,0,0,0,0
Jared Goff,32.00,42,25,355,3,0,0,3,15,0,0,0,0,0,0,1,0
Cam Akers,31.00,0,0,0,0,0,0,23,118,3,0,2,29,0,0,0,0
Joe Burrow,29.00,52,40,375,3,2,0,4,5,0,0,0,0,0,0,0,0
Kirk Cousins,29.00,48,34,299,3,0,0,1,2,0,0,0,0,0,0,0,0
Gardner Minshew,27.00,40,24,355,2,2,0,4,5,1,0,0,0,0,0,1,0
Josh Allen,26.00,26,15,172,2,2,1,6,41,1,0,0,0,0,0,0,0
Patrick Mahomes,26.00,28,16,224,2,0,0,2,8,1,0,0,0,0,0,0,0
George Kittle,24.00,0,0,0,0,0,0,0,0,0,0,6,120,2,0,0,0
CeeDee Lamb,24.00,0,0,0,0,0,0,0,0,0,0,10,120,2,0,0,0
Sam Darnold,23.00,22,15,250,1,0,0,6,19,1,0,0,0,0,0,0,0
DeVonta Smith,23.00,0,0,0,0,0,0,0,0,0,0,8,113,2,0,0,0
D'Onta Foreman,22.00,0,0,0,0,0,0,21,165,1,0,0,0,0,0,0,0
T.J. Hockenson,22.00,0,0,0,0,0,0,0,0,0,0,13,109,2,0,0,0
Daniel Jones,22.00,42,30,334,1,1,1,4,34,0,0,0,0,0,0,0,0
Tyler Higbee,21.00,0,0,0,0,0,0,0,0,0,0,9,94,2,0,0,0
Mac Jones,21.00,33,21,240,2,0,0,1,-1,0,0,0,0,0,0,0,0
Baker Mayfield,21.00,28,24,230,2,0,0,2,2,0,0,0,0,0,0,0,0
Jaylen Waddle,20.00,0,0,0,0,0,0,0,0,0,0,5,143,1,0,0,0
Shane Zylstra,20.00,0,0,0,0,0,0,0,0,0,0,5,26,3,0,0,0
Austin Ekeler,19.00,0,0,0,0,0,0,18,67,2,0,4,12,0,0,0,0
Justin Jefferson,19.00,0,0,0,0,0,0,0,0,0,0,12,133,1,0,0,0
Trevor Lawrence,19.00,31,20,229,0,0,0,7,51,1,0,0,0,0,0,1,0
Brock Purdy,19.00,22,15,234,2,1,0,1,6,0,0,0,0,0,0,0,0
Saquon Barkley,18.00,0,0,0,0,0,0,14,84,1,0,8,49,0,0,0,0
Kendrick Bourne,18.00,0,0,0,0,0,0,1,29,0,0,6,100,1,0,0,0
Tee Higgins,18.00,0,0,0,0,0,0,0,0,0,0,8,128,1,0,0,0
James Conner,17.00,0,0,0,0,0,0,15,79,1,0,7,41,0,0,0,0
Derrick Henry,17.00,0,0,0,0,0,0,23,126,1,0,2,0,0,0,1,0
Devin Singletary,17.00,0,0,0,0,0,0,12,106,1,0,2,19,0,0,0,0
Leonard Fournette,16.00,0,0,0,0,0,0,20,72,0,0,9,90,0,0,0,0
Trenton Irwin,16.00,0,0,0,0,0,0,0,0,0,0,3,45,2,0,0,0
Alvin Kamara,16.00,0,0,0,0,0,0,20,76,1,0,2,34,0,0,0,0
James Cook,15.00,0,0,0,0,0,0,11,99,1,0,1,9,0,0,0,0
Taylor Heinicke,15.00,18,13,166,2,1,0,2,-4,0,0,0,0,0,0,1,0
Isaiah Hodgins,14.00,0,0,0,0,0,0,0,0,0,0,8,89,1,0,0,0
Tyler Huntley,14.00,17,9,115,1,0,0,11,26,0,1,0,0,0,0,0,0
Jakobi Meyers,14.00,0,0,0,0,0,0,0,0,0,0,6,83,1,0,0,0
D.J. Moore,14.00,0,0,0,0,0,0,1,8,0,0,5,83,1,0,0,0
Aaron Rodgers,14.00,38,24,238,1,1,0,7,18,0,0,0,0,0,0,0,0
Tom Brady,13.00,48,32,281,1,2,0,2,1,0,0,0,0,0,0,0,0
Jahan Dotson,13.00,0,0,0,0,0,0,0,0,0,0,6,76,1,0,0,0
Ray Ray McCloud,13.00,0,0,0,0,0,0,1,71,1,0,0,0,0,0,0,0
Terry McLaurin,13.00,0,0,0,0,0,0,0,0,0,0,4,77,1,0,0,0
Kenny Pickett,13.00,39,26,244,1,1,0,3,9,0,0,0,0,0,0,0,0
Geno Smith,13.00,40,25,215,1,1,0,3,16,0,0,0,0,0,0,0,0
Chuba Hubbard,12.00,0,0,0,0,0,0,12,125,0,0,0,0,0,0,0,0
Tua Tagovailoa,12.00,25,16,310,1,3,0,1,0,0,0,0,0,0,0,0,0
Tyler Allgeier,11.00,0,0,0,0,0,0,18,74,0,0,4,43,0,0,0,0
Greg Dortch,11.00,0,0,0,0,0,0,3,25,0,0,10,98,0,0,0,0
Ezekiel Elliott,11.00,0,0,0,0,0,0,16,55,1,0,1,6,0,0,0,0
Evan Engram,11.00,0,0,0,0,0,0,0,0,0,0,7,113,0,0,0,0
Justin Fields,11.00,23,15,119,1,0,0,7,11,0,0,0,0,0,0,0,0
Taysom Hill,11.00,0,0,0,0,0,0,9,56,1,0,0,0,0,0,0,0
Jerry Jeudy,11.00,0,0,0,0,0,0,0,0,0,0,6,117,0,0,0,0
Travis Kelce,11.00,0,0,0,0,0,0,0,0,0,0,6,113,0,0,0,0
Christian McCaffrey,11.00,0,0,0,0,0,0,15,46,1,0,2,12,0,0,0,0
Davis Mills,11.00,28,17,178,1,1,0,4,8,0,0,0,0,0,0,0,0
George Pickens,11.00,0,0,0,0,0,0,0,0,0,0,5,57,1,0,0,0
Curtis Samuel,11.00,0,0,0,0,0,0,1,2,0,0,5,52,1,0,0,0
Deshaun Watson,11.00,31,15,135,0,1,0,3,24,1,0,0,0,0,0,0,0
