,,Passing,,,,,,Rushing,,,,Receiving,,,,Fumbles,
Player,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
Patrick Mahomes,47.00,42,31,385,4,0,0,4,26,1,0,0,0,0,0,0,0
Russell Wilson,46.00,40,27,315,5,0,1,6,22,0,0,0,0,0,0,0,0
Josh Allen,39.00,33,24,311,4,1,0,4,8,1,0,0,0,0,0,1,0
Dak Prescott,33.00,57,37,472,3,2,0,6,26,0,0,0,0,0,0,1,0
Jared Goff,30.00,32,23,321,2,1,1,2,4,1,0,0,0,0,0,0,0
Alvin Kamara,30.00,0,0,0,0,0,0,6,58,0,0,13,139,2,0,0,0
Aaron Rodgers,30.00,32,21,283,3,0,0,2,12,0,0,0,0,0,0,0,0
Tom Brady,29.00,38,25,297,3,0,0,5,0,0,0,0,0,0,0,0,0
Drew Brees,29.00,36,29,288,3,0,0,0,0,0,0,0,0,0,0,0,0
Tyler Lockett,28.00,0,0,0,0,0,0,0,0,0,0,9,100,3,0,0,0
Ryan Fitzpatrick,27.00,20,18,160,2,0,0,7,38,1,0,1,0,0,0,0,0
Rex Burkhead,26.00,0,0,0,0,0,0,6,49,2,0,7,49,1,0,0,0
Kirk Cousins,25.00,27,16,251,3,2,0,2,14,0,0,0,0,0,0,0,0
Joe Burrow,24.00,44,31,312,2,0,0,1,-1,0,0,0,0,0,0,0,0
Dalvin Cook,24.00,0,0,0,0,0,0,22,181,1,0,2,18,0,0,1,0
Derrick Henry,24.00,0,0,0,0,0,0,26,119,2,0,2,11,0,0,0,0
Kyler Murray,24.00,35,23,270,2,3,0,5,29,1,0,0,0,0,0,0,0
James Robinson,24.00,0,0,0,0,0,0,11,46,2,0,6,83,0,0,0,0
Nick Foles,23.00,29,16,188,3,1,0,3,-3,0,0,0,0,0,0,0,0
Justin Jefferson,23.00,0,0,0,0,0,0,0,0,0,0,7,175,1,0,0,0
Ben Roethlisberger,23.00,36,23,237,2,0,1,5,-3,0,0,0,0,0,0,0,0
Carson Wentz,23.00,47,29,225,1,2,0,9,65,1,0,0,0,0,0,0,0
Nick Chubb,22.00,0,0,0,0,0,0,19,108,2,0,1,2,0,0,0,0
Matthew Stafford,22.00,31,22,270,2,0,0,1,-3,0,0,0,0,0,0,0,0
Cedrick Wilson,22.00,0,0,0,0,0,0,0,0,0,0,5,107,2,0,0,0
Derek Carr,21.00,32,24,261,2,0,0,2,10,0,0,0,0,0,0,2,0
James Conner,20.00,0,0,0,0,0,0,18,109,1,0,4,40,0,0,0,0
Allen Lazard,20.00,0,0,0,0,0,0,1,-2,0,0,6,146,1,0,0,0
Deshaun Watson,20.00,27,19,264,2,1,0,1,5,0,0,0,0,0,0,0,0
Austin Ekeler,19.00,0,0,0,0,0,0,12,59,1,0,11,84,0,0,0,0
Michael Gallup,19.00,0,0,0,0,0,0,0,0,0,0,6,138,1,0,0,0
Nick Mullens,19.00,36,25,343,1,0,0,4,0,0,0,0,0,0,0,0,0
Keenan Allen,18.00,0,0,0,0,0,0,0,0,0,0,13,132,1,0,1,0
Jimmy Graham,18.00,0,0,0,0,0,0,0,0,0,0,6,60,2,0,0,0
Baker Mayfield,18.00,23,16,156,2,0,0,1,1,0,0,0,0,0,0,0,0
Allen Robinson,18.00,0,0,0,0,0,0,0,0,0,0,10,123,1,0,0,0
Jeffery Wilson,18.00,0,0,0,0,0,0,12,15,1,0,3,54,1,0,0,0
Darrell Henderson,17.00,0,0,0,0,0,0,20,114,1,0,1,6,0,0,0,0
Justin Herbert,17.00,49,35,330,1,1,0,3,15,0,0,0,0,0,0,1,0
Brandon Aiyuk,16.00,0,0,0,0,0,0,3,31,1,0,5,70,0,0,0,0
Teddy Bridgewater,16.00,28,22,235,1,0,0,2,12,0,0,0,0,0,0,0,0
Tee Higgins,16.00,0,0,0,0,0,0,0,0,0,0,5,40,2,0,0,0
Andy Isabella,16.00,0,0,0,0,0,0,1,-6,0,0,4,47,2,0,0,0
Lamar Jackson,16.00,28,15,97,1,0,0,9,83,0,0,0,0,0,0,1,0
Cooper Kupp,16.00,0,0,0,0,0,0,0,0,0,0,9,107,1,0,0,0
D.K. Metcalf,16.00,0,0,0,0,0,0,0,0,0,0,4,110,1,0,1,0
Robert Woods,16.00,0,0,0,0,0,0,3,30,0,0,5,74,1,0,0,0
Randall Cobb,15.00,0,0,0,0,0,0,0,0,0,0,4,95,1,0,0,0
Tyreek Hill,15.00,0,0,0,0,0,0,2,25,0,0,5,77,1,0,0,0
Dontrelle Inman,15.00,0,0,0,0,0,0,0,0,0,0,3,38,2,0,0,0
Mike Davis,14.00,0,0,0,0,0,0,13,46,0,0,8,45,1,0,0,0
Todd Gurley,14.00,0,0,0,0,0,0,14,80,1,0,1,2,0,0,0,0
Mecole Hardman,14.00,0,0,0,0,0,0,0,0,0,0,4,81,1,0,0,0
Tyler Kroft,14.00,0,0,0,0,0,0,0,0,0,0,4,24,2,0,0,0
Hunter Renfrow,14.00,0,0,0,0,0,0,0,0,0,0,6,84,1,0,0,0
