,,Passing,,,,,,Rushing,,,,Receiving,,,,Fumbles,
Player,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
Ryan Fitzpatrick,51.00,33,24,358,6,0,0,2,10,0,0,0,0,0,0,0,0
Andrew Luck,43.00,27,19,370,5,1,0,4,20,0,0,0,0,0,0,1,0
Drew Brees,40.00,27,19,257,5,0,0,0,0,0,0,0,0,0,0,0,0
DeAndre Hopkins,35.00,0,0,0,0,0,0,0,0,0,0,9,238,2,0,0,0
Tre Mason,33.00,0,0,0,0,0,0,14,117,2,0,3,47,1,0,0,0
Colt McCoy,33.00,47,31,392,3,0,0,3,12,0,0,0,0,0,0,1,0
Philip Rivers,32.00,45,34,383,3,1,0,4,19,0,0,0,0,0,0,0,0
Le'Veon Bell,30.00,0,0,0,0,0,0,21,95,1,0,8,159,0,0,0,0
Ben Roethlisberger,29.00,58,32,435,2,2,2,1,8,0,0,0,0,0,0,0,0
Aaron Rodgers,28.00,38,24,368,2,0,0,5,22,0,0,0,0,0,0,0,0
Joe Flacco,27.00,31,19,225,2,0,0,2,3,1,0,0,0,0,0,0,0
Calvin Johnson,26.00,0,0,0,0,0,0,0,0,0,0,11,146,2,0,0,0
Matthew Stafford,26.00,45,34,390,2,0,0,0,0,0,0,0,0,0,0,1,0
Shaun Hill,25.00,22,13,183,2,0,0,2,1,1,0,0,0,0,0,0,0
Donte Moncrief,25.00,0,0,0,0,0,0,1,6,0,0,3,134,2,0,0,0
Keenan Allen,24.00,0,0,0,0,0,0,0,0,0,0,11,121,2,0,0,0
Coby Fleener,24.00,0,0,0,0,0,0,0,0,0,0,4,127,2,0,0,0
Julio Jones,24.00,0,0,0,0,0,0,0,0,0,0,10,189,1,0,0,0
Matt Ryan,24.00,41,30,361,2,1,0,3,4,0,0,0,0,0,0,0,0
C.J. Anderson,23.00,0,0,0,0,0,0,32,168,0,0,2,17,1,0,0,0
