,,Passing,,,,,,Rushing,,,,Receiving,,,,Fumbles,
Player,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
Tom Brady,43.00,45,34,432,3,0,1,3,4,1,0,0,0,0,0,0,0
Daniel Jones,40.00,24,19,177,2,0,0,11,91,2,0,0,0,0,0,0,0
Mike Evans,38.00,0,0,0,0,0,0,0,0,0,0,10,207,3,0,0,0
Jarrett Stidham,31.00,34,23,365,3,2,0,7,34,0,0,0,0,0,0,0,0
Sam Darnold,29.00,37,23,341,3,1,0,5,20,0,0,0,0,0,0,2,0
Patrick Mahomes,29.00,42,29,328,3,1,0,4,8,0,0,1,6,0,0,0,0
Jared Goff,28.00,29,21,255,3,0,0,1,2,0,0,0,0,0,0,0,0
Davante Adams,27.00,0,0,0,0,0,0,0,0,0,0,7,153,2,0,0,0
Austin Ekeler,27.00,0,0,0,0,0,0,10,122,2,0,4,39,0,0,0,0
Deshaun Watson,27.00,18,9,169,3,0,0,8,31,0,0,0,0,0,0,0,0
Christian McCaffrey,25.00,0,0,0,0,0,0,19,121,1,0,6,72,0,0,0,0
Russell Wilson,25.00,38,26,222,1,1,0,4,27,2,0,0,0,0,0,1,0
Amari Cooper,22.00,0,0,0,0,0,0,0,0,0,0,3,105,2,0,0,0
D'Andre Swift,22.00,0,0,0,0,0,0,11,78,1,0,4,39,1,0,0,0
Brock Purdy,21.00,35,22,284,2,1,0,2,-3,0,0,0,0,0,0,0,0
Jamaal Williams,21.00,0,0,0,0,0,0,22,144,1,0,1,13,0,0,0,0
Justin Herbert,20.00,28,21,212,2,0,0,1,2,0,0,0,0,0,0,0,0
Mac Jones,20.00,33,20,203,2,0,0,3,1,0,0,0,0,0,0,0,0
Geno Smith,20.00,29,18,183,2,0,0,5,18,0,0,0,0,0,0,0,0
Travis Etienne,19.00,0,0,0,0,0,0,9,108,1,0,3,32,0,0,0,0
Justin Fields,19.00,21,7,75,1,1,0,10,132,0,0,0,0,0,0,1,0
Dak Prescott,19.00,41,29,282,2,2,0,3,11,0,0,0,0,0,0,1,0
Najee Harris,18.00,0,0,0,0,0,0,22,111,0,0,2,12,1,0,0,0
Aaron Rodgers,18.00,24,15,159,1,0,0,1,2,1,0,0,0,0,0,0,0
Brandon Aiyuk,17.00,0,0,0,0,0,0,1,16,0,0,9,101,1,0,0,0
Jerick McKinnon,17.00,0,0,0,0,0,0,2,4,0,0,5,52,2,0,0,0
D.J. Moore,17.00,0,0,0,0,0,0,0,0,0,0,6,117,1,0,0,0
Dalton Schultz,17.00,0,0,0,0,0,0,0,0,0,0,7,56,2,0,0,0
Tyler Allgeier,15.00,0,0,0,0,0,0,20,83,1,0,1,12,0,0,0,0
A.J. Brown,15.00,0,0,0,0,0,0,0,0,0,0,4,97,1,0,0,0
David Blough,14.00,40,24,222,1,0,0,2,7,0,0,0,0,0,0,0,0
Josh Jacobs,14.00,0,0,0,0,0,0,17,69,1,0,4,26,0,0,0,0
Gardner Minshew,14.00,32,18,274,1,1,0,1,0,0,0,0,0,0,0,0,0
Raheem Mostert,14.00,0,0,0,0,0,0,9,29,0,0,8,62,1,0,0,0
Jalen Nailor,14.00,0,0,0,0,0,0,0,0,0,0,3,89,1,0,0,0
Cordarrelle Patterson,14.00,0,0,0,0,0,0,9,42,1,0,6,42,0,0,0,0
Cam Akers,13.00,0,0,0,0,0,0,19,123,0,0,1,10,0,0,0,0
Joshua Dobbs,13.00,39,20,232,1,1,0,3,12,0,0,0,0,0,0,1,0
Chris Godwin,13.00,0,0,0,0,0,0,0,0,0,0,9,120,0,1,1,0
Richie James,13.00,0,0,0,0,0,0,0,0,0,0,7,76,1,0,0,0
Trey McBride,13.00,0,0,0,0,0,0,0,0,0,0,7,78,1,0,0,0
Shi Smith,13.00,0,0,0,0,0,0,0,0,0,0,4,70,1,0,0,0
Kenneth Walker,13.00,0,0,0,0,0,0,23,133,0,0,1,9,0,0,0,0
Darren Waller,13.00,0,0,0,0,0,0,0,0,0,0,3,72,1,0,0,0
Brock Wright,13.00,0,0,0,0,0,0,0,0,0,0,3,13,2,0,0,0
Kenny Pickett,12.00,27,15,168,1,0,0,5,2,0,0,0,0,0,0,0,0
Tyquan Thornton,12.00,0,0,0,0,0,0,0,0,0,0,3,60,1,0,0,0
Nick Chubb,11.00,0,0,0,0,0,0,14,104,0,0,1,12,0,0,0,0
JaMycal Hasty,11.00,0,0,0,0,0,0,10,33,1,0,6,23,0,0,0,0
