,,Passing,,,,,,Rushing,,,,Receiving,,,,Fumbles,
Player,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
Le'Veon Bell,41.00,0,0,0,0,0,0,26,185,2,0,6,50,1,0,0,0
Cam Newton,41.00,33,21,226,3,0,0,12,83,1,0,0,0,0,0,0,0
Matt Ryan,39.00,39,24,375,4,1,0,2,23,0,0,0,0,0,0,0,0
Ben Roethlisberger,34.00,39,25,350,3,0,1,1,-1,0,0,0,0,0,0,0,0
Aaron Rodgers,33.00,36,24,327,3,0,0,5,28,0,0,0,0,0,0,0,0
Russell Wilson,32.00,37,22,263,2,0,0,10,48,1,0,0,0,0,0,0,0
Andy Dalton,31.00,29,21,302,2,0,0,4,22,1,0,0,0,0,0,1,0
Julio Jones,31.00,0,0,0,0,0,0,0,0,0,0,11,259,1,0,0,0
Matthew Stafford,30.00,34,26,311,3,0,0,3,-2,0,0,0,0,0,0,0,0
Jay Cutler,29.00,46,32,341,2,1,0,2,9,1,0,0,0,0,0,0,0
Derek Carr,28.00,28,22,254,3,0,0,2,2,0,0,0,0,0,0,0,0
A.J. Green,28.00,0,0,0,0,0,0,0,0,0,0,11,224,1,0,0,0
Joe Flacco,27.00,33,25,269,2,1,0,7,16,1,0,0,0,0,0,0,0
Andrew Luck,27.00,53,24,294,2,2,0,5,37,1,0,0,0,0,0,1,0
DeMarco Murray,27.00,0,0,0,0,0,0,32,179,1,0,9,49,0,0,0,0
T.Y. Hilton,26.00,0,0,0,0,0,0,0,0,0,0,10,150,2,0,1,0
Jordy Nelson,26.00,0,0,0,0,0,0,0,0,0,0,8,146,2,0,0,0
Tony Romo,26.00,26,21,205,3,0,0,2,-2,0,0,0,0,0,0,0,0
Joique Bell,25.00,0,0,0,0,0,0,18,83,1,0,5,50,1,0,0,0
C.J. Anderson,23.00,0,0,0,0,0,0,21,58,3,0,0,0,0,0,0,0
Jamaal Charles,23.00,0,0,0,0,0,0,10,91,1,0,2,20,1,0,0,0
Tom Brady,22.00,44,28,317,2,1,0,4,7,0,0,0,0,0,0,0,0
Teddy Bridgewater,22.00,27,19,309,2,1,0,3,7,0,0,0,0,0,0,0,0
Eddie Lacy,22.00,0,0,0,0,0,0,13,73,1,0,5,33,1,0,0,0
Kyle Orton,22.00,57,38,355,1,2,0,1,1,1,0,0,0,0,0,0,0
Calvin Johnson,21.00,0,0,0,0,0,0,0,0,0,0,8,158,1,0,0,0
Jonathan Stewart,21.00,0,0,0,0,0,0,20,155,1,0,0,0,0,0,0,0
Julian Edelman,20.00,0,0,0,0,0,0,1,4,0,0,8,141,1,0,0,0
Arian Foster,20.00,0,0,0,0,0,0,24,127,1,0,2,21,0,0,0,0
Shaun Hill,20.00,22,16,213,2,0,0,2,-1,0,0,0,0,0,0,0,0
Andre Williams,20.00,0,0,0,0,0,0,24,131,1,0,3,16,0,0,0,0
Jarius Wright,20.00,0,0,0,0,0,0,1,23,0,0,4,123,1,0,0,0
Odell Beckham Jr.,19.00,1,0,0,0,0,0,1,9,0,0,11,130,1,0,0,0
Jared Cook,18.00,0,0,0,0,0,0,0,0,0,0,4,61,2,0,0,0
Percy Harvin,18.00,0,0,0,0,0,0,2,3,0,0,6,124,1,0,0,0
Drew Stanton,18.00,30,15,239,1,0,1,4,17,0,0,0,0,0,0,0,0
Josh McCown,17.00,39,20,250,2,2,0,4,8,0,0,0,0,0,0,1,0
Alex Smith,17.00,39,26,293,1,1,0,4,26,0,0,0,0,0,0,0,0
Geno Smith,17.00,29,18,254,1,1,0,6,33,0,0,0,0,0,0,0,0
Cole Beasley,16.00,0,0,0,0,0,0,0,0,0,0,3,42,2,0,0,0
Martavis Bryant,16.00,0,0,0,0,0,0,0,0,0,0,4,109,1,0,0,0
Mike Evans,16.00,0,0,0,0,0,0,0,0,0,0,4,45,2,0,0,0
Matt Forte,16.00,0,0,0,0,0,0,13,26,1,1,8,74,0,0,1,0
Charles Johnson,16.00,0,0,0,0,0,0,0,0,0,0,4,103,1,0,0,0
Mychal Rivera,16.00,0,0,0,0,0,0,0,0,0,0,7,109,1,0,0,0
Doug Baldwin,15.00,0,0,0,0,0,0,0,0,0,0,5,97,1,0,0,0
Vincent Jackson,15.00,0,0,0,0,0,0,0,0,0,0,10,159,0,0,0,0
Alshon Jeffery,15.00,0,0,0,0,0,0,0,0,0,0,6,95,1,0,0,0
Marshawn Lynch,15.00,0,0,0,0,0,0,23,86,0,0,5,27,1,0,1,0
James Starks,15.00,0,0,0,0,0,0,10,75,1,0,2,26,0,0,0,0
Ryan Tannehill,15.00,33,23,227,1,0,0,2,6,0,0,0,0,0,0,0,0
Martellus Bennett,14.00,0,0,0,0,0,0,0,0,0,0,12,84,1,0,0,0
Rob Gronkowski,14.00,0,0,0,0,0,0,0,0,0,0,8,87,1,0,0,0
Eli Manning,14.00,42,26,260,1,1,0,0,0,0,0,0,0,0,0,0,0
Blake Bortles,13.00,39,20,205,1,1,0,3,10,0,0,0,0,0,0,0,0
Drew Brees,13.00,49,29,235,1,1,0,1,6,0,0,0,0,0,0,0,0
Justin Forsett,13.00,0,0,0,0,0,0,13,71,1,0,2,7,0,0,0,0
Steven Jackson,13.00,0,0,0,0,0,0,16,50,1,0,2,26,0,0,0,0
Greg Olsen,13.00,0,0,0,0,0,0,0,0,0,0,10,72,1,0,0,0
Mark Sanchez,13.00,20,10,96,2,1,0,1,7,0,0,0,0,0,0,0,0
Steve Smith,13.00,0,0,0,0,0,0,0,0,0,0,7,70,1,0,0,0
Kamar Aiken,12.00,0,0,0,0,0,0,0,0,0,0,6,65,1,0,0,0
Ryan Fitzpatrick,12.00,19,13,135,0,0,0,9,15,1,0,0,0,0,0,0,0
