,,Passing,,,,,,Rushing,,,,Receiving,,,,Fumbles,
Player,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
Derek Carr,44.00,59,40,513,4,0,0,1,13,0,0,0,0,0,0,1,0
Aaron Rodgers,41.00,38,28,246,4,0,0,6,60,0,1,0,0,0,0,0,0
Tom Brady,37.00,33,22,315,4,0,0,1,15,0,0,0,0,0,0,0,0
Blake Bortles,35.00,54,33,337,3,0,0,4,22,0,1,0,0,0,0,0,0
Dak Prescott,30.00,39,19,287,2,1,0,7,38,1,0,0,0,0,0,0,0
Carson Palmer,29.00,46,35,363,3,1,0,0,0,0,0,0,0,0,0,1,0
Matt Ryan,29.00,35,28,288,3,0,0,2,9,0,0,0,0,0,0,0,0
Kirk Cousins,28.00,56,38,458,2,1,0,3,-1,0,0,0,0,0,0,0,0
Jordan Howard,25.00,0,0,0,0,0,0,26,153,1,0,4,49,0,0,0,0
Josh McCown,24.00,49,25,341,2,2,1,3,10,0,0,0,0,0,0,0,0
Amari Cooper,23.00,0,0,0,0,0,0,0,0,0,0,12,173,1,0,0,0
Andrew Luck,23.00,35,19,210,2,1,0,9,60,0,0,0,0,0,0,1,0
Marcus Mariota,23.00,22,18,270,2,0,0,3,11,0,0,0,0,0,0,0,0
Drew Brees,22.00,35,27,265,1,0,0,1,1,1,0,0,0,0,0,0,0
Andy Dalton,22.00,42,27,284,1,1,0,4,21,1,0,0,0,0,0,1,0
Jonathan Stewart,22.00,0,0,0,0,0,0,25,95,2,0,1,25,0,0,1,0
Jameis Winston,22.00,32,16,180,2,0,1,3,16,0,0,0,0,0,0,0,0
Matt Forte,21.00,0,0,0,0,0,0,25,82,2,0,2,16,0,0,0,0
Nick Foles,20.00,22,16,223,2,0,0,1,-1,0,0,0,0,0,0,0,0
J.J. Nelson,19.00,0,0,0,0,0,0,0,0,0,0,8,79,2,0,0,0
DeMarco Murray,18.00,0,0,0,0,0,0,21,123,1,0,1,5,0,0,0,0
Theo Riddick,18.00,0,0,0,0,0,0,11,56,0,0,8,77,1,0,0,0
Dez Bryant,17.00,0,0,0,0,0,0,0,0,0,0,4,113,1,0,0,0
Devonta Freeman,17.00,0,0,0,0,0,0,11,35,1,0,4,23,1,0,0,0
Tyrod Taylor,17.00,38,19,183,0,0,0,5,48,1,0,0,0,0,0,0,0
Jamison Crowder,16.00,0,0,0,0,0,0,0,0,0,0,9,107,1,0,0,0
Jay Cutler,16.00,31,20,252,1,0,0,1,2,0,0,0,0,0,0,0,0
Tyler Eifert,16.00,0,0,0,0,0,0,0,0,0,0,9,102,1,0,0,0
Ryan Fitzpatrick,16.00,34,16,228,1,0,0,4,13,0,0,0,0,0,0,0,0
Rob Gronkowski,16.00,0,0,0,0,0,0,0,0,0,0,5,109,1,0,0,0
Travis Kelce,16.00,0,0,0,0,0,0,0,0,0,0,7,101,1,0,0,0
Philip Rivers,16.00,47,20,267,2,3,0,0,0,0,0,0,0,0,0,0,0
Sam Bradford,15.00,37,23,228,1,0,0,0,0,0,0,0,0,0,0,0,0
Quincy Enunwa,15.00,0,0,0,0,0,0,0,0,0,0,4,93,1,0,0,0
Melvin Gordon,15.00,0,0,0,0,0,0,23,111,0,0,4,44,0,0,0,0
Andrew Hawkins,15.00,0,0,0,0,0,0,0,0,0,0,5,31,2,0,0,0
Derrick Henry,15.00,0,0,0,0,0,0,16,60,1,0,4,37,0,0,0,0
