,,Passing,,,,,,Rushing,,,,Receiving,,,,Fumbles,
Player,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
Matthew Stafford,41.00,42,27,405,4,1,0,6,37,0,0,0,0,0,0,0,0
Andrew Luck,33.00,50,30,312,3,0,0,4,35,0,0,0,0,0,0,0,0
Philip Rivers,32.00,65,43,503,2,0,0,0,0,0,0,0,0,0,0,0,0
Ryan Fitzpatrick,29.00,26,19,253,2,1,0,4,31,1,0,0,0,0,0,0,0
Brian Hoyer,29.00,36,24,293,3,0,0,5,5,0,0,0,0,0,0,0,0
Blake Bortles,28.00,53,30,331,3,3,0,4,37,0,0,0,0,0,0,0,0
Tom Brady,28.00,37,23,312,3,1,0,4,0,0,0,0,0,0,0,0,0
Andy Dalton,27.00,33,22,243,3,0,0,3,-2,0,0,0,0,0,0,0,0
Devonta Freeman,27.00,0,0,0,0,0,0,13,100,1,0,8,56,1,0,0,0
DeAndre Hopkins,26.00,0,0,0,0,0,0,0,0,0,0,10,148,2,0,0,0
Colin Kaepernick,26.00,27,16,340,2,0,0,3,10,0,0,0,0,0,0,0,0
Martavis Bryant,25.00,0,0,0,0,0,0,1,8,0,0,6,137,2,0,0,0
Chris Ivory,25.00,0,0,0,0,0,0,20,146,1,0,3,50,0,0,0,0
Aaron Rodgers,23.00,29,16,255,2,0,0,2,14,0,0,0,0,0,0,0,0
Matt Ryan,23.00,44,30,295,2,0,0,4,10,0,0,0,0,0,0,1,0
James Starks,23.00,0,0,0,0,0,0,10,112,1,0,1,5,1,0,0,0
LeGarrette Blount,22.00,0,0,0,0,0,0,16,93,1,0,1,11,1,0,0,0
Calvin Johnson,22.00,0,0,0,0,0,0,0,0,0,0,6,166,1,0,0,0
E.J. Manuel,22.00,42,28,263,1,1,0,6,22,1,0,0,0,0,0,0,0
Jay Cutler,21.00,41,26,353,1,1,1,2,12,0,0,0,0,0,0,0,0
Joe Flacco,21.00,53,33,343,2,2,0,0,0,0,0,0,0,0,0,0,0
Cam Newton,21.00,36,20,269,1,2,0,7,30,1,0,0,0,0,0,0,0
Alshon Jeffery,20.00,0,0,0,0,0,0,0,0,0,0,8,147,1,0,0,0
Russell Wilson,20.00,30,18,241,1,0,0,8,53,0,0,0,0,0,0,0,0
Greg Olsen,19.00,0,0,0,0,0,0,0,0,0,0,7,131,1,0,0,0
Steve Smith,19.00,0,0,0,0,0,0,0,0,0,0,7,137,1,0,0,0
Jonathan Stewart,19.00,0,0,0,0,0,0,20,78,2,0,1,8,0,0,0,0
Ryan Tannehill,19.00,29,22,266,2,2,0,2,14,0,0,0,0,0,0,0,0
Drew Brees,18.00,39,30,312,1,0,0,2,2,0,0,0,0,0,0,0,0
John Brown,18.00,0,0,0,0,0,0,0,0,0,0,10,196,0,0,1,0
Landry Jones,18.00,12,8,168,2,0,0,1,-1,0,0,0,0,0,0,0,0
