,,Passing,,,,,,Rushing,,,,Receiving,,,,Fumbles,
Player,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
Tom Brady,46.00,35,25,378,5,0,1,1,6,0,0,0,0,0,0,1,0
Russell Wilson,40.00,49,29,373,4,0,0,7,26,0,0,0,0,0,0,0,0
Blake Bortles,34.00,31,20,244,4,0,0,3,18,0,0,0,0,0,0,0,0
Case Keenum,33.00,33,25,369,3,0,0,6,18,0,0,0,0,0,0,0,0
Kirk Cousins,32.00,30,25,365,3,0,0,1,2,0,0,0,0,0,0,0,0
Todd Gurley,32.00,0,0,0,0,0,0,28,113,2,0,5,36,1,0,0,0
Aaron Rodgers,30.00,42,28,313,3,1,0,4,23,0,0,0,0,0,0,0,0
Jacoby Brissett,29.00,24,17,259,1,0,0,5,14,2,0,0,0,0,0,0,0
Stefon Diggs,29.00,0,0,0,0,0,0,0,0,0,0,8,173,2,0,0,0
Jared Goff,29.00,28,22,292,3,0,0,1,-1,0,0,0,0,0,0,0,0
Brian Hoyer,29.00,37,23,332,2,1,0,1,9,1,0,0,0,0,0,0,0
Eli Manning,28.00,47,35,366,3,2,0,0,0,0,0,0,0,0,0,0,0
Brandin Cooks,27.00,0,0,0,0,0,0,0,0,0,0,5,131,2,1,0,0
Jordan Howard,27.00,0,0,0,0,0,0,23,140,2,0,5,26,0,0,1,0
Drew Brees,26.00,29,22,220,3,0,0,0,0,0,0,0,0,0,0,0,0
Dak Prescott,26.00,18,13,183,2,0,0,3,16,1,0,0,0,0,0,0,0
DeShone Kizer,25.00,47,22,242,2,3,0,7,44,1,0,0,0,0,0,0,0
Carson Palmer,25.00,48,29,325,2,0,0,3,7,0,0,0,0,0,0,0,0
Kareem Hunt,24.00,0,0,0,0,0,0,17,172,1,0,1,11,0,0,0,0
Marcedes Lewis,24.00,0,0,0,0,0,0,0,0,0,0,4,62,3,0,0,0
Chris Thompson,24.00,0,0,0,0,0,0,8,38,0,0,6,150,1,0,0,0
Deshaun Watson,24.00,33,22,301,2,2,0,8,41,0,0,0,0,0,0,0,0
Marcus Mariota,23.00,32,20,225,2,0,0,7,27,0,0,0,0,0,0,0,0
Dalvin Cook,22.00,0,0,0,0,0,0,27,97,1,0,5,72,0,0,0,0
Sammy Watkins,22.00,0,0,0,0,0,0,0,0,0,0,6,106,2,0,0,0
T.Y. Hilton,21.00,0,0,0,0,0,0,0,0,0,0,7,153,1,0,0,0
Carlos Hyde,21.00,0,0,0,0,0,0,25,84,2,0,3,10,0,0,0,0
Tyrod Taylor,21.00,26,20,213,2,0,0,8,13,0,0,0,0,0,0,0,0
Andy Dalton,20.00,27,21,212,2,0,0,2,-2,0,0,0,0,0,0,0,0
Larry Fitzgerald,20.00,0,0,0,0,0,0,0,0,0,0,13,149,1,0,0,0
Odell Beckham Jr.,19.00,0,0,0,0,0,0,0,0,0,0,9,79,2,0,0,0
