,,Passing,,,,,,Rushing,,,,Receiving,,,,Fumbles,
Player,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
Tom Brady,37.00,39,28,341,3,0,0,2,2,1,0,0,0,0,0,0,0
Ben Roethlisberger,37.00,46,27,333,4,0,0,1,0,0,0,0,0,0,0,0,0
Kyler Murray,31.00,32,22,245,1,1,0,11,61,2,0,0,0,0,0,0,0
Josh Allen,29.00,49,32,284,2,2,0,7,38,0,0,1,12,1,0,0,0
Aaron Rodgers,29.00,34,24,325,2,1,0,3,4,1,0,0,0,0,0,0,0
Matthew Stafford,29.00,33,24,276,3,0,0,0,0,0,0,0,0,0,0,0,0
Alvin Kamara,27.00,0,0,0,0,0,0,8,15,2,0,7,83,1,0,0,0
Josh Jacobs,25.00,0,0,0,0,0,0,21,112,2,0,4,24,0,0,0,0
Justin Herbert,24.00,32,20,187,2,1,0,4,10,1,0,0,0,0,0,0,0
Lamar Jackson,24.00,34,24,249,2,1,0,11,55,0,0,0,0,0,0,0,0
Ronald Jones II,24.00,0,0,0,0,0,0,23,192,1,0,1,6,0,0,1,0
Nyheim Hines,23.00,0,0,0,0,0,0,12,70,1,0,5,45,1,0,0,0
Teddy Bridgewater,22.00,24,18,136,2,1,0,3,16,1,0,0,0,0,0,0,0
Kirk Cousins,21.00,36,25,292,2,1,0,1,-1,0,0,0,0,0,0,0,0
Daniel Jones,21.00,28,21,244,0,0,0,9,64,1,0,0,0,0,0,0,0
Devontae Booker,20.00,0,0,0,0,0,0,16,81,2,0,1,2,0,0,0,0
D'Andre Swift,20.00,0,0,0,0,0,0,16,81,0,0,5,68,1,0,0,0
Marquez Valdes-Scantling,20.00,0,0,0,0,0,0,0,0,0,0,4,149,1,0,0,0
Rex Burkhead,18.00,0,0,0,0,0,0,6,31,0,0,4,35,2,0,0,0
Nick Chubb,18.00,0,0,0,0,0,0,19,126,1,0,0,0,0,0,0,0
Antonio Gibson,18.00,0,0,0,0,0,0,13,45,2,0,4,20,0,0,0,0
DeAndre Hopkins,18.00,0,0,0,0,0,0,0,0,0,0,7,127,1,0,0,0
Cam Newton,18.00,17,13,118,1,0,0,11,21,1,0,0,0,0,0,0,0
Philip Rivers,18.00,39,29,308,1,0,0,0,0,0,0,0,0,0,0,0,0
Willie Snead,18.00,0,0,0,0,0,0,0,0,0,0,5,64,2,0,0,0
Tua Tagovailoa,18.00,25,15,169,2,0,0,6,-1,0,0,0,0,0,0,0,0
Chase Claypool,17.00,0,0,0,0,0,0,2,-3,0,0,4,56,2,0,0,0
Wayne Gallman,17.00,0,0,0,0,0,0,18,53,2,0,1,7,0,0,0,0
Diontae Johnson,17.00,0,0,0,0,0,0,0,0,0,0,6,116,1,0,0,0
Cole Beasley,16.00,0,0,0,0,0,0,0,0,0,0,11,109,1,0,0,0
Malcolm Brown,16.00,0,0,0,0,0,0,6,33,2,0,2,18,0,0,0,0
Tee Higgins,16.00,0,0,0,0,0,0,0,0,0,0,7,115,1,0,1,0
Adam Thielen,16.00,0,0,0,0,0,0,0,0,0,0,4,43,2,0,0,0
Stefon Diggs,15.00,0,0,0,0,0,0,0,0,0,0,10,93,1,0,0,0
Marvin Jones,15.00,0,0,0,0,0,0,0,0,0,0,8,96,1,0,0,0
D.J. Moore,15.00,0,0,0,0,0,0,0,0,0,0,4,96,1,0,0,0
Alex Smith,15.00,55,38,390,0,0,0,2,4,0,0,0,0,0,0,0,0
Deshaun Watson,15.00,30,20,163,1,0,0,8,36,0,0,0,0,0,0,0,0
Salvon Ahmed,14.00,0,0,0,0,0,0,21,85,1,0,1,5,0,0,0,0
Joe Burrow,14.00,40,21,213,1,0,0,0,0,0,0,0,0,0,0,0,0
Brandon Aiyuk,13.00,0,0,0,0,0,0,1,-8,0,0,7,75,1,0,0,0
Mike Evans,13.00,0,0,0,0,0,0,0,0,0,0,6,77,1,0,0,0
Justin Jefferson,13.00,0,0,0,0,0,0,0,0,0,0,8,135,0,0,0,0
Boston Scott,13.00,0,0,0,0,0,0,3,63,1,0,1,11,0,0,0,0
JuJu Smith-Schuster,13.00,0,0,0,0,0,0,0,0,0,0,9,77,1,0,0,0
Marvin Hall,12.00,0,0,0,0,0,0,0,0,0,0,2,61,1,0,0,0
Damien Harris,12.00,0,0,0,0,0,0,22,121,0,0,0,0,0,0,0,0
Kareem Hunt,12.00,0,0,0,0,0,0,19,104,0,0,3,28,0,0,0,0
Michael Pittman,12.00,0,0,0,0,0,0,1,21,0,0,7,101,0,0,0,0
Davante Adams,11.00,0,0,0,0,0,0,0,0,0,0,8,66,1,0,1,0
Jared Goff,11.00,37,27,302,0,0,0,5,4,0,0,0,0,0,0,1,0
Rob Gronkowski,11.00,0,0,0,0,0,0,0,0,0,0,2,51,1,0,0,0
Jakobi Meyers,11.00,1,1,24,1,0,0,0,0,0,0,5,59,0,0,0,0
Nick Mullens,11.00,38,24,247,1,2,0,1,3,0,0,0,0,0,0,0,0
Miles Sanders,11.00,0,0,0,0,0,0,15,85,0,1,2,10,0,0,0,0
Ryan Tannehill,11.00,27,15,147,1,0,0,2,9,0,0,0,0,0,0,0,0
Keelan Cole,10.00,0,0,0,0,0,0,0,0,0,0,5,47,1,0,0,0
Alex Collins,10.00,0,0,0,0,0,0,11,43,1,0,1,4,0,0,0,0
Dalvin Cook,10.00,0,0,0,0,0,0,30,96,0,0,4,16,0,0,0,0
Jakeem Grant,10.00,0,0,0,0,0,0,0,0,0,0,4,43,1,0,0,0
Derrick Henry,10.00,0,0,0,0,0,0,19,103,0,0,1,6,0,0,0,0
Jake Luton,10.00,35,18,169,1,1,0,0,0,0,0,0,0,0,0,0,0
J.D. McKissic,10.00,0,0,0,0,0,0,8,6,1,0,7,43,0,0,0,0
Terry McLaurin,10.00,0,0,0,0,0,0,1,27,0,0,7,95,0,0,1,0
James Robinson,10.00,0,0,0,0,0,0,23,109,0,0,2,3,0,0,0,0
Russell Wilson,10.00,37,22,248,0,2,0,8,60,0,0,0,0,0,0,1,0
Keenan Allen,9.00,0,0,0,0,0,0,0,0,0,0,3,39,1,0,0,0
Kalen Ballage,9.00,0,0,0,0,0,0,18,68,0,0,5,34,0,0,0,0
Cameron Brate,9.00,0,0,0,0,0,0,0,0,0,0,3,31,1,0,0,0
Drew Brees,9.00,13,8,76,1,0,0,1,-1,0,0,0,0,0,0,0,0
Kenyan Drake,9.00,0,0,0,0,0,0,16,100,0,0,1,9,0,0,1,0
Chris Godwin,9.00,0,0,0,0,0,0,0,0,0,0,6,92,0,0,0,0
Hunter Henry,9.00,0,0,0,0,0,0,0,0,0,0,4,30,1,0,0,0
Josh Reynolds,9.00,0,0,0,0,0,0,0,0,0,0,8,94,0,0,0,0
Darius Slayton,9.00,0,0,0,0,0,0,0,0,0,0,5,93,0,0,0,0
Pharaoh Brown,8.00,0,0,0,0,0,0,0,0,0,0,2,21,1,0,0,0
DaeSean Hamilton,8.00,0,0,0,0,0,0,0,0,0,0,4,33,1,0,1,0
Darrell Henderson,8.00,0,0,0,0,0,0,7,28,1,0,1,5,0,0,0,0
Aaron Jones,8.00,0,0,0,0,0,0,13,46,0,0,5,49,0,0,0,0
Drew Lock,8.00,47,23,257,1,4,0,2,7,0,0,0,0,0,0,0,0
Carson Wentz,8.00,37,21,208,0,0,0,2,4,0,0,0,0,0,0,0,0
John Brown,7.00,0,0,0,0,0,0,0,0,0,0,6,72,0,0,0,0
Derek Carr,7.00,25,16,154,0,0,0,4,10,0,0,0,0,0,0,0,0
Chase Edmonds,7.00,0,0,0,0,0,0,8,56,0,0,3,21,0,0,0,0
Gus Edwards,7.00,0,0,0,0,0,0,7,42,0,0,1,31,0,0,0,0
D'Onta Foreman,7.00,0,0,0,0,0,0,7,18,0,0,1,5,1,0,0,0
Jonnu Smith,7.00,0,0,0,0,0,0,1,1,1,0,2,14,0,0,0,0
Mark Andrews,6.00,0,0,0,0,0,0,0,0,0,0,7,61,0,0,0,0
Jacoby Brissett,6.00,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0
Antonio Brown,6.00,0,0,0,0,0,0,1,-3,0,0,7,69,0,0,0,0
Corey Clement,6.00,0,0,0,0,0,0,1,5,1,0,0,0,0,0,0,0
Corey Davis,6.00,0,0,0,0,0,0,0,0,0,0,5,67,0,0,0,0
Tyler Higbee,6.00,0,0,0,0,0,0,0,0,0,0,3,60,0,0,0,0
Jerry Jeudy,6.00,0,0,0,0,0,0,0,0,0,0,4,68,0,0,0,0
Tyler Lockett,6.00,0,0,0,0,0,0,0,0,0,0,5,66,0,0,0,0
Isaiah McKenzie,6.00,1,1,12,1,0,0,0,0,0,0,1,2,0,0,0,0
Tim Patrick,6.00,0,0,0,0,0,0,0,0,0,0,4,61,0,0,0,0
Jordan Reed,6.00,0,0,0,0,0,0,0,0,0,0,5,62,0,0,0,0
Richard Rodgers,6.00,0,0,0,0,0,0,0,0,0,0,4,60,0,0,0,0
Durham Smythe,6.00,0,0,0,0,0,0,0,0,0,0,2,9,1,0,0,0
Logan Thomas,6.00,0,0,0,0,0,0,0,0,0,0,4,66,0,0,0,0
Colin Thompson,6.00,0,0,0,0,0,0,0,0,0,0,1,7,1,0,0,0
D.J. Chark,5.00,0,0,0,0,0,0,0,0,0,0,4,56,0,0,0,0
KJ Hamler,5.00,0,0,0,0,0,0,0,0,0,0,4,50,0,0,0,0
Duke Johnson,5.00,0,0,0,0,0,0,14,54,0,0,0,0,0,0,0,0
Cooper Kupp,5.00,0,0,0,0,0,0,0,0,0,0,5,50,0,0,0,0
Baker Mayfield,5.00,20,12,132,0,0,0,3,1,0,0,0,0,0,0,0,0
Latavius Murray,5.00,0,0,0,0,0,0,9,57,0,0,0,0,0,0,0,0
Kyle Rudolph,5.00,0,0,0,0,0,0,0,0,0,0,4,63,0,0,1,0
Cam Sims,5.00,0,0,0,0,0,0,0,0,0,0,4,54,0,0,0,0
Jamaal Williams,5.00,0,0,0,0,0,0,8,30,0,0,3,25,0,0,0,0
Isaiah Wright,5.00,0,0,0,0,0,0,0,0,0,0,6,59,0,0,0,0
Giovani Bernard,4.00,0,0,0,0,0,0,8,30,0,0,4,17,0,0,0,0
Tyler Boyd,4.00,0,0,0,0,0,0,0,0,0,0,6,41,0,0,0,0
Randall Cobb,4.00,0,0,0,0,0,0,0,0,0,0,3,41,0,0,0,0
Chris Conley,4.00,0,0,0,0,0,0,0,0,0,0,4,43,0,0,0,0
James Conner,4.00,0,0,0,0,0,0,13,36,0,0,2,12,0,0,0,0
Mike Davis,4.00,0,0,0,0,0,0,7,32,0,0,4,12,0,0,0,0
Devin Duvernay,4.00,0,0,0,0,0,0,0,0,0,0,3,45,0,0,0,0
Mike Gesicki,4.00,0,0,0,0,0,0,0,0,0,0,2,40,0,0,0,0
Melvin Gordon,4.00,0,0,0,0,0,0,11,46,0,0,0,0,0,0,0,0
Rashard Higgins,4.00,0,0,0,0,0,0,0,0,0,0,3,48,0,0,0,0
T.Y. Hilton,4.00,0,0,0,0,0,0,0,0,0,0,4,40,0,0,0,0
Jerick McKinnon,4.00,0,0,0,0,0,0,18,33,0,0,1,13,0,0,0,0
Cordarrelle Patterson,4.00,0,0,0,0,0,0,12,30,0,0,2,19,0,0,0,0
Samaje Perine,4.00,0,0,0,0,0,0,7,48,0,0,1,7,0,0,0,0
Jalen Reagor,4.00,0,0,0,0,0,0,0,0,0,0,4,47,0,0,0,0
Allen Robinson,4.00,0,0,0,0,0,0,0,0,0,0,6,43,0,0,0,0
Sterling Shepard,4.00,0,0,0,0,0,0,0,0,0,0,6,47,0,0,0,0
Steven Sims,4.00,0,0,0,0,0,0,0,0,0,0,5,46,0,0,0,0
Golden Tate,4.00,0,0,0,0,0,0,0,0,0,0,2,44,0,0,0,0
Cam Akers,3.00,0,0,0,0,0,0,10,38,0,0,0,0,0,0,0,0
Dan Arnold,3.00,0,0,0,0,0,0,0,0,0,0,4,34,0,0,0,0
Brandin Cooks,3.00,0,0,0,0,0,0,0,0,0,0,6,39,0,0,0,0
Eric Ebron,3.00,0,0,0,0,0,0,0,0,0,0,2,38,0,0,0,0
Will Fuller,3.00,0,0,0,0,0,0,0,0,0,0,5,38,0,0,0,0
Dallas Goedert,3.00,0,0,0,0,0,0,0,0,0,0,4,33,0,0,0,0
Taysom Hill,3.00,0,0,0,0,0,0,8,45,0,0,0,0,0,0,1,0
Alfred Morris,3.00,0,0,0,0,0,0,8,34,0,0,0,0,0,0,0,0
Greg Olsen,3.00,0,0,0,0,0,0,0,0,0,0,2,33,0,0,0,0
DeVante Parker,3.00,0,0,0,0,0,0,0,0,0,0,2,31,0,0,0,0
Zach Pascal,3.00,0,0,0,0,0,0,0,0,0,0,4,33,0,0,0,0
Hunter Renfrow,3.00,0,0,0,0,0,0,0,0,0,0,2,30,0,0,0,0
Henry Ruggs,3.00,0,0,0,0,0,0,0,0,0,0,3,31,0,0,0,0
Freddie Swain,3.00,0,0,0,0,0,0,0,0,0,0,3,37,0,0,0,0
Jonathan Taylor,3.00,0,0,0,0,0,0,7,12,0,0,2,25,0,0,0,0
Robert Tonyan,3.00,0,0,0,0,0,0,0,0,0,0,3,33,0,0,0,0
Darren Waller,3.00,0,0,0,0,0,0,0,0,0,0,3,37,0,0,0,0
Greg Ward,3.00,0,0,0,0,0,0,0,0,0,0,5,39,0,0,0,0
James Washington,3.00,0,0,0,0,0,0,0,0,0,0,2,30,0,0,0,0
Mike Williams,3.00,0,0,0,0,0,0,0,0,0,0,2,38,0,0,0,0
Robert Woods,3.00,0,0,0,0,0,0,1,3,0,0,5,33,0,0,0,0
Robby Anderson,2.00,0,0,0,0,0,0,0,0,0,0,4,21,0,0,0,0
Kendrick Bourne,2.00,0,0,0,0,0,0,0,0,0,0,4,26,0,0,0,0
A.J. Brown,2.00,0,0,0,0,0,0,0,0,0,0,1,21,0,0,0,0
