,,Passing,,,,,,Rushing,,,,Receiving,,,,Fumbles,
Player,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
Lamar Jackson,36.00,17,11,163,1,0,0,9,124,2,0,0,0,0,0,0,0
Aaron Rodgers,36.00,33,26,290,3,0,0,6,13,1,0,0,0,0,0,0,0
Drew Lock,34.00,27,21,280,4,0,0,6,4,0,0,0,0,0,0,1,0
Derrick Henry,33.00,0,0,0,0,0,0,26,215,2,0,2,7,0,0,0,0
Baker Mayfield,33.00,47,28,343,2,1,1,5,23,1,0,0,0,0,0,0,0
Tua Tagovailoa,30.00,48,28,316,2,1,0,6,24,1,0,0,0,0,0,0,0
Mitchell Trubisky,30.00,33,24,267,3,0,0,4,23,0,0,0,0,0,0,0,0
Russell Wilson,30.00,27,21,206,4,1,0,1,-1,0,0,0,0,0,0,0,0
Jonathan Taylor,28.00,0,0,0,0,0,0,20,150,2,0,2,15,0,0,0,0
Derek Carr,27.00,45,31,316,2,2,0,3,12,1,0,0,0,0,0,0,0
Miles Sanders,25.00,0,0,0,0,0,0,14,115,2,0,4,21,0,0,0,0
Taysom Hill,23.00,38,28,291,2,1,0,5,33,0,0,0,0,0,0,1,0
Nick Chubb,22.00,0,0,0,0,0,0,17,82,2,0,2,21,0,0,0,0
Tyreek Hill,22.00,0,0,0,0,0,0,1,32,1,0,3,79,1,0,0,0
Kareem Hunt,22.00,0,0,0,0,0,0,6,33,1,0,6,77,1,0,0,0
Josh Allen,21.00,43,24,238,2,1,0,6,28,0,0,0,0,0,0,0,0
Mike Davis,21.00,0,0,0,0,0,0,11,51,2,0,5,42,0,0,0,0
Jalen Hurts,21.00,30,17,167,1,0,0,18,106,0,0,0,0,0,0,1,0
Patrick Mahomes,21.00,34,24,393,2,3,0,5,9,0,0,0,0,0,0,0,0
David Montgomery,21.00,0,0,0,0,0,0,11,113,1,0,3,42,0,0,0,0
Philip Rivers,21.00,28,19,244,2,0,0,0,0,0,0,0,0,0,0,0,0
Teddy Bridgewater,20.00,40,30,283,0,0,0,3,31,1,0,0,0,0,0,0,0
Kirk Cousins,20.00,37,24,225,1,0,1,5,41,0,0,0,0,0,0,1,0
KJ Hamler,20.00,0,0,0,0,0,0,0,0,0,0,2,86,2,0,0,0
T.Y. Hilton,20.00,0,0,0,0,0,0,0,0,0,0,5,86,2,0,0,0
Ryan Tannehill,20.00,24,19,212,2,0,0,0,0,0,0,0,0,0,0,0,0
Cam Akers,19.00,0,0,0,0,0,0,29,171,0,0,2,23,0,0,0,0
Tom Brady,19.00,23,15,196,2,0,0,3,-2,0,0,0,0,0,0,0,0
Andy Dalton,19.00,23,16,185,2,0,0,1,-1,0,0,0,0,0,0,0,0
Stefon Diggs,19.00,0,0,0,0,0,0,1,1,0,0,10,130,1,0,0,0
Justin Herbert,19.00,44,36,243,2,1,0,0,0,0,0,0,0,0,0,0,0
Travis Kelce,19.00,0,0,0,0,0,0,0,0,0,0,8,136,1,0,0,0
Kyler Murray,19.00,35,24,244,1,0,0,13,47,0,0,0,0,0,0,0,0
Mike Gesicki,18.00,0,0,0,0,0,0,0,0,0,0,5,65,2,0,0,0
