,,Passing,,,,,,Rushing,,,,Receiving,,,,Fumbles,
Player,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
Ben Roethlisberger,36.00,45,30,299,4,0,0,1,10,0,0,0,0,0,0,0,0
Russell Wilson,35.00,42,26,258,2,1,1,7,86,1,0,0,0,0,0,1,0
Antonio Brown,32.00,0,0,0,0,0,0,0,0,0,0,10,144,3,0,0,0
Tom Brady,31.00,37,30,340,3,0,0,0,0,0,0,0,0,0,0,0,0
Kirk Cousins,31.00,32,22,322,3,0,0,3,11,0,0,0,0,0,0,0,0
Keenan Allen,27.00,0,0,0,0,0,0,1,3,0,0,12,159,2,0,0,0
Drew Brees,25.00,41,29,385,2,1,0,1,2,0,0,0,0,0,0,0,0
Blaine Gabbert,25.00,34,22,257,3,2,0,3,13,0,0,0,0,0,0,0,0
Andy Dalton,24.00,25,15,154,3,0,0,3,4,0,0,0,0,0,0,0,0
LeSean McCoy,24.00,0,0,0,0,0,0,13,114,1,0,1,12,1,0,0,0
Kenny Stills,24.00,0,0,0,0,0,0,0,0,0,0,7,180,1,0,0,0
Ryan Fitzpatrick,23.00,37,22,275,2,0,0,3,9,0,0,0,0,0,0,0,0
Carson Wentz,23.00,27,14,168,2,0,2,6,13,0,0,0,0,0,0,0,0
Philip Rivers,22.00,32,20,251,2,0,0,0,0,0,0,0,0,0,0,0,0
Matthew Stafford,22.00,31,21,299,2,0,0,3,3,0,0,0,0,0,0,1,0
Mark Ingram,21.00,0,0,0,0,0,0,11,134,1,0,3,21,0,0,0,0
Latavius Murray,21.00,0,0,0,0,0,0,15,95,2,0,1,1,0,0,0,0
Brandin Cooks,20.00,0,0,0,0,0,0,0,0,0,0,6,149,1,0,0,0
Matt Ryan,20.00,27,19,195,2,0,0,3,12,0,0,0,0,0,0,0,0
Tyrod Taylor,20.00,25,15,158,1,0,0,4,38,1,0,0,0,0,0,1,0
D'Onta Foreman,19.00,0,0,0,0,0,0,10,65,2,0,3,15,0,0,0,0
Alvin Kamara,19.00,0,0,0,0,0,0,8,42,0,1,6,74,1,0,0,0
