,,Passing,,,,,,Rushing,,,,Receiving,,,,Fumbles,
Player,Pts*,Att,Cmp,Yds,TD,Int,2Pt,Att,Yds,TD,2Pt,Rec,Yds,TD,2Pt,FL,TD
Matthew Stafford,39.00,36,28,335,5,2,0,4,2,0,0,0,0,0,0,0,0
Kevin Smith,38.00,0,0,0,0,0,0,16,140,2,0,4,61,1,0,0,0
Aaron Rodgers,29.00,34,23,299,3,1,0,5,28,0,0,0,0,0,0,0,0
Tony Romo,29.00,37,23,292,3,0,0,2,-2,0,0,0,0,0,0,0,0
Jay Cutler,28.00,31,18,286,2,1,0,5,10,1,0,0,0,0,0,0,0
Rex Grossman,28.00,38,25,292,2,1,0,3,10,1,0,0,0,0,0,0,0
Cam Newton,26.00,38,22,280,1,4,1,7,37,2,0,0,0,0,0,0,0
Ray Rice,26.00,0,0,0,0,0,0,20,104,2,0,5,43,0,0,0,0
Matt Moore,24.00,20,14,160,3,0,0,3,2,0,0,0,0,0,0,0,0
Jordy Nelson,24.00,0,0,0,0,0,0,0,0,0,0,6,123,2,0,0,0
Nate Washington,23.00,0,0,0,0,0,0,0,0,0,0,9,115,2,0,0,0
Vincent Jackson,22.00,0,0,0,0,0,0,0,0,0,0,7,165,1,0,0,0
Torrey Smith,22.00,0,0,0,0,0,0,0,0,0,0,6,165,1,0,0,0
Tom Brady,21.00,27,15,234,2,0,0,2,10,0,0,0,0,0,0,1,0
Josh Freeman,21.00,38,28,342,2,2,0,1,5,0,0,0,0,0,0,0,0
Rob Gronkowski,21.00,0,0,0,0,0,0,0,0,0,0,4,96,2,0,0,0
Christian Ponder,21.00,33,19,211,2,3,0,5,71,0,0,0,0,0,0,0,0
Alex Smith,21.00,38,20,267,2,1,0,7,17,0,0,0,0,0,0,0,0
Joe Flacco,20.00,27,17,270,2,1,0,3,-2,0,0,0,0,0,0,0,0
Philip Rivers,19.00,31,21,280,2,2,0,0,0,0,0,0,0,0,0,0,0
Victor Cruz,18.00,0,0,0,0,0,0,0,0,0,0,6,128,1,0,0,0
Jake Locker,18.00,19,9,140,2,0,0,1,11,0,0,0,0,0,0,0,0
Chris Ogbonnaya,18.00,0,0,0,0,0,0,21,115,1,0,2,19,0,0,0,0
Carson Palmer,18.00,23,17,164,1,0,0,3,5,1,0,0,0,0,0,0,0
Matt Ryan,18.00,32,22,316,1,0,0,6,3,0,0,0,0,0,0,0,0
Michael Bush,17.00,0,0,0,0,0,0,30,109,1,0,2,20,0,0,1,0
Andy Dalton,17.00,45,24,373,1,3,0,4,32,0,0,0,0,0,0,0,0
Jabar Gaffney,17.00,0,0,0,0,0,0,0,0,0,0,7,115,1,0,0,0
Maurice Jones-Drew,17.00,0,0,0,0,0,0,21,87,1,0,4,31,0,0,0,0
Cedric Benson,16.00,0,0,0,0,0,0,15,41,2,0,0,0,0,0,0,0
LeGarrette Blount,16.00,0,0,0,0,0,0,18,107,1,0,1,6,0,0,0,0
Tim Tebow,16.00,20,9,104,0,0,0,8,68,1,0,0,0,0,0,0,0
Vince Young,16.00,36,23,258,2,3,0,6,5,0,0,0,0,0,0,0,0
Percy Harvin,15.00,0,0,0,0,0,0,5,21,0,0,6,73,1,0,0,0
Johnny Knox,15.00,0,0,0,0,0,0,0,0,0,0,3,97,1,0,0,0
Jerome Simpson,15.00,0,0,0,0,0,0,0,0,0,0,8,152,0,0,0,0
Michael Turner,15.00,0,0,0,0,0,0,21,100,1,0,1,9,0,0,1,0
Marshawn Lynch,14.00,0,0,0,0,0,0,27,88,1,0,2,1,0,0,0,0
Roddy White,14.00,0,0,0,0,0,0,0,0,0,0,7,147,0,0,0,0
Mike Williams,14.00,0,0,0,0,0,0,0,0,0,0,7,83,1,0,0,0
Jason Witten,14.00,0,0,0,0,0,0,0,0,0,0,3,85,1,0,0,0
Riley Cooper,13.00,0,0,0,0,0,0,0,0,0,0,5,75,1,0,0,0
Tony Gonzalez,13.00,0,0,0,0,0,0,0,0,0,0,5,74,1,0,0,0
Eli Manning,13.00,35,18,264,1,1,0,0,0,0,0,0,0,0,0,1,0
Colt McCoy,13.00,24,17,199,1,1,0,5,27,0,0,0,0,0,0,0,0
Kellen Winslow,13.00,0,0,0,0,0,0,0,0,0,0,9,132,0,0,0,0
Dez Bryant,12.00,0,0,0,0,0,0,0,0,0,0,3,68,1,0,0,0
Nate Burleson,12.00,0,0,0,0,0,0,0,0,0,0,7,63,1,0,0,0
Reggie Bush,12.00,0,0,0,0,0,0,15,32,1,0,4,34,0,0,0,0
Andre Caldwell,12.00,0,0,0,0,0,0,0,0,0,0,3,63,1,0,0,0
Charles Clay,12.00,0,0,0,0,0,0,0,0,0,0,4,69,1,0,0,0
Michael Crabtree,12.00,0,0,0,0,0,0,0,0,0,0,7,120,0,0,0,0
Vernon Davis,12.00,0,0,0,0,0,0,0,0,0,0,5,67,1,0,0,0
Antonio Gates,12.00,0,0,0,0,0,0,0,0,0,0,4,63,1,0,0,0
Brandon Lloyd,12.00,0,0,0,0,0,0,0,0,0,0,5,67,1,0,0,0
Steve Smith,12.00,0,0,0,0,0,0,1,5,0,0,5,41,1,1,0,0
LeSean McCoy,11.00,0,0,0,0,0,0,23,113,0,0,3,2,0,0,0,0
Sidney Rice,11.00,1,1,55,0,0,0,0,0,0,0,3,35,1,0,0,0
Donte' Stallworth,11.00,0,0,0,0,0,0,1,-1,0,0,4,51,1,0,0,0
Kyle Williams,11.00,0,0,0,0,0,0,0,0,0,0,5,54,1,0,0,0
Larry Fitzgerald,10.00,0,0,0,0,0,0,0,0,0,0,3,41,1,0,0,0
BenJarvus Green-Ellis,10.00,0,0,0,0,0,0,20,81,0,0,1,25,0,0,0,0
Joe McKnight,10.00,0,0,0,0,0,0,16,59,0,0,6,62,0,0,1,0
DeMarco Murray,10.00,0,0,0,0,0,0,25,73,0,0,6,32,0,0,0,0
Jonathan Stewart,10.00,0,0,0,0,0,0,8,22,0,0,6,87,0,0,0,0
DeAngelo Williams,10.00,0,0,0,0,0,0,10,73,0,0,1,32,0,0,0,0
Anquan Boldin,9.00,0,0,0,0,0,0,0,0,0,0,1,35,1,0,0,0
Sam Bradford,9.00,40,20,181,1,1,0,2,0,0,0,0,0,0,0,2,0
Justin Forsett,9.00,0,0,0,0,0,0,4,31,1,0,1,2,0,0,0,0
Blaine Gabbert,9.00,41,22,210,0,0,0,2,10,0,0,0,0,0,0,0,0
Brandon Pettigrew,9.00,0,0,0,0,0,0,0,0,0,0,4,37,1,0,0,0
Laurent Robinson,9.00,0,0,0,0,0,0,0,0,0,0,4,34,1,0,0,0
Shane Vereen,9.00,0,0,0,0,0,0,8,39,1,0,0,0,0,0,0,0
Marion Barber,8.00,0,0,0,0,0,0,7,25,1,0,0,0,0,0,0,0
Richard Bartel,8.00,16,8,64,1,0,0,1,9,0,0,0,0,0,0,0,0
Davone Bess,8.00,0,0,0,0,0,0,0,0,0,0,2,25,1,0,0,0
Dwayne Bowe,8.00,0,0,0,0,0,0,0,0,0,0,7,87,0,0,0,0
Joshua Cribbs,8.00,0,0,0,0,0,0,1,2,0,0,3,20,1,0,0,0
Frank Gore,8.00,0,0,0,0,0,0,24,88,0,0,1,6,0,0,0,0
DeSean Jackson,8.00,0,0,0,0,0,0,0,0,0,0,6,88,0,0,0,0
Tarvaris Jackson,8.00,24,14,148,1,2,0,2,10,0,0,0,0,0,0,0,0
Calvin Johnson,8.00,0,0,0,0,0,0,0,0,0,0,5,89,0,0,0,0
Adrian Peterson,8.00,0,0,0,0,0,0,6,26,1,0,0,0,0,0,0,0
Mark Sanchez,8.00,40,24,252,0,1,0,1,0,0,0,0,0,0,0,0,0
Tony Scheffler,8.00,0,0,0,0,0,0,0,0,0,0,2,24,1,0,0,0
James Starks,8.00,0,0,0,0,0,0,11,38,0,0,6,53,0,0,0,0
Arrelious Benn,7.00,0,0,0,0,0,0,1,9,0,0,5,75,0,0,0,0
Earl Bennett,7.00,0,0,0,0,0,0,0,0,0,0,3,75,0,0,0,0
Steve Breaston,7.00,0,0,0,0,0,0,0,0,0,0,6,73,0,0,0,0
Scott Chandler,7.00,0,0,0,0,0,0,0,0,0,0,5,71,0,0,0,0
Donald Driver,7.00,0,0,0,0,0,0,0,0,0,0,4,72,0,0,0,0
Matt Forte,7.00,0,0,0,0,0,0,20,57,0,0,4,26,0,0,0,0
Chaz Schilens,7.00,0,0,0,0,0,0,0,0,0,0,1,11,1,0,0,0
Steve Smith,7.00,0,0,0,0,0,0,0,0,0,0,1,14,1,0,0,0
Titus Young,7.00,0,0,0,0,0,0,0,0,0,0,2,14,1,0,0,0
Doug Baldwin,6.00,0,0,0,0,0,0,0,0,0,0,3,60,0,0,0,0
Dezmon Briscoe,6.00,0,0,0,0,0,0,0,0,0,0,2,7,1,0,0,0
Plaxico Burress,6.00,0,0,0,0,0,0,0,0,0,0,4,64,0,0,0,0
Brent Celek,6.00,0,0,0,0,0,0,0,0,0,0,6,60,0,0,0,0
Tom Crabtree,6.00,0,0,0,0,0,0,0,0,0,0,2,5,1,0,0,0
Kellen Davis,6.00,0,0,0,0,0,0,0,0,0,0,1,4,1,0,0,0
Anthony Fasano,6.00,0,0,0,0,0,0,0,0,0,0,2,8,1,0,0,0
Fred Jackson,6.00,0,0,0,0,0,0,7,17,0,0,5,50,0,0,0,0
John Kuhn,6.00,0,0,0,0,0,0,1,2,1,0,1,-1,0,0,0,0
Marcedes Lewis,6.00,0,0,0,0,0,0,0,0,0,0,7,64,0,0,0,0
Hakeem Nicks,6.00,0,0,0,0,0,0,0,0,0,0,3,69,0,0,0,0
Kyle Rudolph,6.00,0,0,0,0,0,0,0,0,0,0,3,7,1,0,0,0
Mike Williams,6.00,0,0,0,0,0,0,0,0,0,0,2,62,0,0,0,0
Roy Williams,6.00,0,0,0,0,0,0,0,0,0,0,5,62,0,0,0,0
Jared Cook,5.00,0,0,0,0,0,0,0,0,0,0,5,51,0,0,0,0
Early Doucet,5.00,0,0,0,0,0,0,0,0,0,0,6,50,0,0,0,0
Harry Douglas,5.00,0,0,0,0,0,0,0,0,0,0,4,51,0,0,0,0
Ryan Fitzpatrick,5.00,39,20,209,0,2,0,7,16,0,0,0,0,0,0,0,0
Steven Jackson,5.00,0,0,0,0,0,0,15,42,0,0,3,19,0,0,0,0
Brandon LaFell,5.00,0,0,0,0,0,0,0,0,0,0,3,51,0,0,0,0
Brian Leonard,5.00,0,0,0,0,0,0,2,6,0,0,5,57,0,0,0,0
Greg Little,5.00,0,0,0,0,0,0,0,0,0,0,5,59,0,0,0,0
Jordan Norwood,5.00,0,0,0,0,0,0,0,0,0,0,1,51,0,0,0,0
Marcel Reece,5.00,0,0,0,0,0,0,6,45,0,0,2,16,0,0,0,0
Andre Roberts,5.00,0,0,0,0,0,0,0,0,0,0,3,51,0,0,0,0
Daniel Thomas,5.00,0,0,0,0,0,0,15,50,0,0,0,0,0,0,0,0
Devin Aromashodu,4.00,0,0,0,0,0,0,0,0,0,0,1,42,0,0,0,0
Fred Davis,4.00,0,0,0,0,0,0,0,0,0,0,6,52,0,0,1,0
Jermaine Gresham,4.00,0,0,0,0,0,0,0,0,0,0,3,48,0,0,0,0
Andrew Hawkins,4.00,0,0,0,0,0,0,0,0,0,0,4,47,0,0,0,0
Aaron Hernandez,4.00,0,0,0,0,0,0,0,0,0,0,4,44,0,0,0,0
Darrius Heyward-Bey,4.00,0,0,0,0,0,0,0,0,0,0,4,43,0,0,0,0
Jason Hill,4.00,0,0,0,0,0,0,0,0,0,0,3,49,0,0,0,0
Thomas Jones,4.00,0,0,0,0,0,0,8,48,0,0,0,0,0,0,0,0
Dustin Keller,4.00,0,0,0,0,0,0,0,0,0,0,5,40,0,0,0,0
Dexter McCluster,4.00,0,0,0,0,0,0,9,45,0,0,1,3,0,0,0,0
Legedu Naanee,4.00,0,0,0,0,0,0,0,0,0,0,3,41,0,0,0,0
Bernard Scott,4.00,1,0,0,0,0,0,9,40,0,0,0,0,0,0,0,0
Visanthe Shiancoe,4.00,0,0,0,0,0,0,0,0,0,0,2,42,0,0,0,0
Danny Woodhead,4.00,0,0,0,0,0,0,5,27,0,0,2,28,0,0,0,0
Lance Ball,3.00,0,0,0,0,0,0,5,18,0,0,2,26,0,0,0,0
Jackie Battle,3.00,0,0,0,0,0,0,8,33,0,0,1,3,0,0,0,0
Martellus Bennett,3.00,0,0,0,0,0,0,0,0,0,0,3,31,0,0,0,0
Kevin Boss,3.00,0,0,0,0,0,0,0,0,0,0,5,37,0,0,0,0
Anthony Dixon,3.00,0,0,0,0,0,0,7,32,0,0,0,0,0,0,0,0
Jermichael Finley,3.00,0,0,0,0,0,0,0,0,0,0,1,30,0,0,0,0
Brandon Gibson,3.00,0,0,0,0,0,0,0,0,0,0,4,37,0,0,0,0
Matt Hasselbeck,3.00,25,13,124,0,1,0,1,17,0,0,0,0,0,0,0,0
Lavelle Hawkins,3.00,0,0,0,0,0,0,0,0,0,0,1,32,0,0,0,0
Roy Helu,3.00,0,0,0,0,0,0,8,35,0,0,2,3,0,0,0,0
Santonio Holmes,3.00,0,0,0,0,0,0,0,0,0,0,4,39,0,0,0,0
Kendall Hunter,3.00,0,0,0,0,0,0,11,27,0,0,1,15,0,0,0,0
Brandon Jacobs,3.00,0,0,0,0,0,0,12,21,0,0,3,11,0,0,0,0
Ryan Mathews,3.00,0,0,0,0,0,0,13,37,0,0,2,14,0,0,1,0
Tyler Palko,3.00,37,24,230,0,3,0,1,-6,0,0,0,0,0,0,0,0
Javon Ringer,3.00,0,0,0,0,0,0,0,0,0,0,3,35,0,0,0,0
Brad Smith,3.00,0,0,0,0,0,0,0,0,0,0,3,35,0,0,0,0
Chester Taylor,3.00,0,0,0,0,0,0,1,34,0,0,0,0,0,0,0,0
Demaryius Thomas,3.00,0,0,0,0,0,0,0,0,0,0,2,37,0,0,0,0
Mike Tolbert,3.00,0,0,0,0,0,0,3,14,0,0,5,24,0,0,0,0
Patrick Turner,3.00,0,0,0,0,0,0,0,0,0,0,3,36,0,0,0,0
David Anderson,2.00,0,0,0,0,0,0,0,0,0,0,1,23,0,0,0,0
Mark Clayton,2.00,0,0,0,0,0,0,0,0,0,0,3,26,0,0,0,0
Rashied Davis,2.00,0,0,0,0,0,0,0,0,0,0,2,27,0,0,0,0
Ed Dickson,2.00,0,0,0,0,0,0,0,0,0,0,2,21,0,0,0,0
Jarett Dillard,2.00,0,0,0,0,0,0,0,0,0,0,3,29,0,0,0,0
Michael Jenkins,2.00,0,0,0,0,0,0,0,0,0,0,4,30,0,0,1,0
Chris Johnson,2.00,0,0,0,0,0,0,12,13,0,0,3,15,0,0,0,0
Lance Kendricks,2.00,0,0,0,0,0,0,0,0,0,0,2,21,0,0,0,0
Maurice Morris,2.00,0,0,0,0,0,0,7,29,0,0,1,8,0,0,0,0
Brandon Myers,2.00,0,0,0,0,0,0,0,0,0,0,2,23,0,0,0,0
Jake O'Connell,2.00,0,0,0,0,0,0,0,0,0,0,3,22,0,0,0,0
Greg Olsen,2.00,0,0,0,0,0,0,0,0,0,0,3,23,0,0,0,0
Preston Parker,2.00,0,0,0,0,0,0,0,0,0,0,1,20,0,0,0,0
Leonard Pope,2.00,0,0,0,0,0,0,0,0,0,0,3,26,0,0,0,0
Naaman Roosevelt,2.00,0,0,0,0,0,0,0,0,0,0,2,28,0,0,0,0
Eddie Royal,2.00,0,0,0,0,0,0,1,10,0,0,3,15,0,0,0,0
Mike Thomas,2.00,0,0,0,0,0,0,0,0,0,0,3,23,0,0,0,0
Eric Weems,2.00,0,0,0,0,0,0,0,0,0,0,3,20,0,0,0,0
Wes Welker,2.00,0,0,0,0,0,0,0,0,0,0,2,22,0,0,0,0
Beanie Wells,2.00,0,0,0,0,0,0,8,33,0,0,0,0,0,0,1,0
Darrel Young,2.00,0,0,0,0,0,0,0,0,0,0,1,27,0,0,0,0
Jason Avant,1.00,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0
Jonathan Baldwin,1.00,0,0,0,0,0,0,0,0,0,0,3,16,0,0,0,0
Jake Ballard,1.00,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0
Ramses Barden,1.00,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0
Deion Branch,1.00,0,0,0,0,0,0,0,0,0,0,2,19,0,0,0,0
Randall Cobb,1.00,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0
Toby Gerhart,1.00,0,0,0,0,0,0,7,18,0,0,1,7,0,0,0,0
Ryan Grant,1.00,0,0,0,0,0,0,4,16,0,0,0,0,0,0,0,0
Shonn Greene,1.00,0,0,0,0,0,0,3,10,0,0,1,4,0,0,0,0
Chad Hall,1.00,0,0,0,0,0,0,2,11,0,0,0,0,0,0,0,0
Brian Hartline,1.00,0,0,0,0,0,0,1,9,0,0,1,19,0,0,0,0
Will Heller,1.00,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0
Jesse Holley,1.00,0,0,0,0,0,0,0,0,0,0,1,17,0,0,0,0
Stevie Johnson,1.00,0,0,0,0,0,0,0,0,0,0,2,16,0,0,0,0
Felix Jones,1.00,0,0,0,0,0,0,5,18,0,0,1,4,0,0,0,0
Spencer Larsen,1.00,0,0,0,0,0,0,5,13,0,0,0,0,0,0,0,0
Erik Lorig,1.00,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0
Owen Marecic,1.00,0,0,0,0,0,0,0,0,0,0,2,13,0,0,0,0
Mohamed Massaquoi,1.00,0,0,0,0,0,0,0,0,0,0,2,19,0,0,0,0
Reagan Maui'a,1.00,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0
Zach Miller,1.00,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0
Denarius Moore,1.00,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0,0
Ben Obomanu,1.00,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0
Kevin Ogletree,1.00,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0
Montell Owens,1.00,0,0,0,0,0,0,2,10,0,0,0,0,0,0,0,0
Michael Palmer,1.00,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0
Logan Paulsen,1.00,0,0,0,0,0,0,0,0,0,0,2,17,0,0,0,0
Austin Pettis,1.00,0,0,0,0,0,0,0,0,0,0,2,12,0,0,0,0
Bilal Powell,1.00,0,0,0,0,0,0,7,11,0,0,1,7,0,0,0,0
Dante Rosario,1.00,0,0,0,0,0,0,0,0,0,0,1,18,0,0,0,0
Da'Rel Scott,1.00,0,0,0,0,0,0,2,11,0,0,1,9,0,0,0,0
Jason Snelling,1.00,0,0,0,0,0,0,7,11,0,0,1,4,0,0,0,0
Matt Spaeth,1.00,0,0,0,0,0,0,0,0,0,0,1,13,0,0,0,0
C.J. Spiller,1.00,0,0,0,0,0,0,3,2,0,0,2,18,0,0,0,0
Golden Tate,1.00,0,0,0,0,0,0,0,0,0,0,1,16,0,0,0,0
D.J. Ware,1.00,0,0,0,0,0,0,3,-3,0,0,2,17,0,0,0,0
